,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? https://youtu.be/P_Dc3BDP8wI ,2017-03-04 15:52:47,0,0,838175419438403585,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0737459019506,0.118593435526
1,1,1,1,Tinker Town Tiger: Supporting President Donald Trump. http://tinkertowntiger.blogspot.com/2017/03/supporting-president-donald-trump.html?spref=tw …,2017-03-04 15:51:44,0,0,838175156124192768,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.0737459019506,0.118593435526
2,2,2,2,@Donald_Trump_0 Not so silent now is it??? Lock him up along with all associates involved in coup!,2017-03-04 15:49:19,0,0,838174548516298753,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0737459019506,0.118593435526
3,3,3,3,"@Donald_Trump_0 Ah!!! What's it doing yo America? By the way,for all U folks crying foul about harvesting, Migrant workers come in legally!",2017-03-04 15:46:10,0,0,838173753515335681,"{'neg': 0.173, 'neu': 0.77, 'pos': 0.057, 'compound': -0.5951}",0.0737459019506,0.118593435526
4,4,4,4,@MailOnline close in looks like Donald Trump.,2017-03-04 15:41:49,0,0,838172661188608000,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.0737459019506,0.118593435526
5,5,5,5,Donald Trump said nigger? I'm so shocked? https://twitter.com/doncheadle/status/838163171055566848 …,2017-03-04 15:35:46,1,0,838171137737515008,"{'neg': 0.547, 'neu': 0.453, 'pos': 0.0, 'compound': -0.8049}",0.0737459019506,0.118593435526
6,6,6,6,@CrapTaxidermy @packfanRyan Donald Trump's baby pictures!!!!!,2017-03-04 14:29:57,0,0,838154574577942528,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0737459019506,0.118593435526
7,7,7,7,"BREAKING: Donald Trump DOES IT, Releases Criminal Information on Barack Obama http://www.angrypatriotmovement.com/trump-releases-criminal-information-obama/ …",2017-03-04 14:25:34,0,0,838153472373555201,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",0.0737459019506,0.118593435526
8,8,8,8,"Donald Trump Accuses
Obama Of Wiretapping;
Obama Responds
“Unequivocally False” –
Update",2017-03-04 14:10:40,0,0,838149721160105986,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0737459019506,0.118593435526
9,9,9,9,"Meet the Donald Trump-Loving, Sanctuary City-Bashing Black Republican Running for NYC Mayor http://observer.com/2017/03/meet-the-donald-trump-loving-sanctuary-city-bashing-black-republican-running-for-nyc-mayor/ …",2017-03-04 14:08:56,0,0,838149285682298881,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0737459019506,0.118593435526
10,10,10,10,"@JordynPhelps a strong denial would have been ""the US govt didn't wire tap Donald Trump's phones""",2017-03-04 13:46:35,0,0,838143662219530245,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5106}",0.0737459019506,0.118593435526
11,11,11,11,"Donald Trump is impressive, at least in how often and how well he lies. #blotus !  http://www.motherjones.com/kevin-drum/2017/03/donald-trump-impressive-student-political-weasel-wording … via @MotherJones",2017-03-04 13:23:13,2,2,838137781314547717,"{'neg': 0.119, 'neu': 0.639, 'pos': 0.242, 'compound': 0.4389}",0.0737459019506,0.118593435526
12,12,12,12,"Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://bit.ly/2lJORD8 
#corruptmedia questions",2017-03-04 13:14:41,4,2,838135633549922304,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}",0.0737459019506,0.118593435526
