,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,@Phatyo it's sad that no one will say they like Donald Trump in public in fear that they could get hurt.,2017-03-07 15:35:39,1,0,839258273014513664,"{'neg': 0.391, 'neu': 0.526, 'pos': 0.082, 'compound': -0.8555}",0.0670912755188,0.125059614467
1,1,1,"""Is it possible that Donald Trump has tweeted himself into irrelevance?"" 
-- The Age, Australian newspaper 
",2017-03-07 15:24:41,4,1,839255514756317186,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
2,2,2,dailyrapid: Donald Trump’s Justice Department Nominees Shrug Off Democratic Demands for Special Prosecutor … https://twitter.com/dailyrapid/status/839252167009542144 …,2017-03-07 15:20:26,0,0,839254443820474368,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.7269}",0.0670912755188,0.125059614467
3,3,3,Donald Trump is for Donald Trump NOT America. https://twitter.com/KeithOlbermann/status/839247829268893696 …,2017-03-07 14:59:04,0,0,839249065758048257,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
4,4,4,Interesting Article! Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-07 13:55:13,0,0,839232999631765506,"{'neg': 0.312, 'neu': 0.497, 'pos': 0.192, 'compound': -0.4003}",0.0670912755188,0.125059614467
5,5,5,Hacker Kim Dotcom on Wikileaks CIA Documents: Donald Trump Was Spied on 24-7 with His Phone http://www.thegatewaypundit.com/2017/03/hacker-kim-dotcom-wikileaks-cia-documents-donald-trump-spied-24-7-phone/ …,2017-03-07 13:39:53,0,0,839229140263915521,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
6,6,6,"""It's disturbing"" Al Franken DESTROYS Donald Trump and Jeff Sessions LIES https://youtu.be/1jiZ4zeKvNo  via @YouTube",2017-03-07 13:23:31,0,0,839225020643696643,"{'neg': 0.504, 'neu': 0.496, 'pos': 0.0, 'compound': -0.9035}",0.0670912755188,0.125059614467
7,7,7,@YoungDems4Trump @POTUS Donald Trump's stay in the WH will be brief due to his declining health and or his collusion with Russia.,2017-03-07 12:33:35,2,0,839212453464535040,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
8,8,8,dailyrapid: Donald Trump Surprises Tourists at the White House http://dlvr.it/NYzbQj https://twitter.com/dailyrapid/status/839206411905060864 …,2017-03-07 12:10:19,0,0,839206599591854082,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2263}",0.0670912755188,0.125059614467
9,9,9,"Sean Spicer is getting grilled on Donald Trump weekend Obama tweet and the healthcare debacle, which he does not have straight answers!",2017-03-07 11:53:46,2,0,839202435646242816,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.2401}",0.0670912755188,0.125059614467
10,10,10,@Dputamadre Are you going to make excuses for Donald Trump's sick and demented behavior? Are you?,2017-03-07 11:50:58,0,0,839201728729923588,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.5661}",0.0670912755188,0.125059614467
11,11,11,Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-07 11:21:47,0,0,839194386248368131,"{'neg': 0.406, 'neu': 0.594, 'pos': 0.0, 'compound': -0.6249}",0.0670912755188,0.125059614467
12,12,12,Donald Trump gets to decide whether you deserve overtime pay #TimeForOT http://www.huffingtonpost.com/entry/donald-trump-overtime-pay_us_58b75299e4b019d36d108dd3?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-07 10:36:08,0,0,839182896078409728,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.1027}",0.0670912755188,0.125059614467
13,13,13,Why Donald Trump's economic growth goals are a terrible idea - VICE News http://ift.tt/2mxYUhU  #mcgmoney,2017-03-07 10:35:30,0,0,839182735382048768,"{'neg': 0.186, 'neu': 0.659, 'pos': 0.156, 'compound': -0.128}",0.0670912755188,0.125059614467
14,14,14,"Unlikely, but possible: Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME @RoguePOTUSStaffhttps://apple.news/AnnJHVXHgSki-OVHFJiX61A …",2017-03-07 10:25:33,0,0,839180234939371520,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
15,15,15,Donald Trump and Press Release Plagairism https://www.plagiarismtoday.com/2017/03/07/donald-trump-and-press-release-plagairism/ … via @plagiarismtoday,2017-03-07 10:08:54,0,1,839176041935552516,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
16,16,16,"""I love Wikileaks"" -Donald Trump, 10/1/16 (The Hill) #wikileaks
3/7/17:  WikiLeaks Reveals CIA hacking toolshttp://wapo.st/2mB89hH?tid=ss_tw-bottom …",2017-03-07 09:51:45,0,0,839171728240754688,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}",0.0670912755188,0.125059614467
17,17,17," Donald Trump endorses new health care bill

https://twitter.com/i/moments/839104033449209856 …",2017-03-07 09:27:30,0,0,839165623661920256,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.6808}",0.0670912755188,0.125059614467
18,18,18,BestCelebrityNews President Donald Trump Surprises White House Tour Guests … Hillary All… https://goo.gl/fb/TS27KK ,2017-03-07 09:16:38,0,0,839162889130885120,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.2263}",0.0670912755188,0.125059614467
19,19,19,TheLibertyEagle: Donald Trump Greets Schoolkids During White House Tour http://www.thelibertyeagle.com/donald-trump-greets-schoolkids-during-white-house-tour/ … pic.twitter.com/l7unqYPksL #mcgnews,2017-03-07 08:22:27,0,0,839149256120414210,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.1531}",0.0670912755188,0.125059614467
20,20,20,"@realDonaldTrump @foxandfriends and in less than 47 days you #DonaldTrump have let #russia take over the #Whitehouse
#russiagate",2017-03-07 07:54:33,3,1,839142234129838080,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0670912755188,0.125059614467
