,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,0,0,0,0,0,0,0,@Oprah I heard a rumor U may run for POTUS! I would like to volunteer my time to see that happen. U are a true success story! I'd b honored!,2017-03-01 15:58:29,0,0,837089689744076800,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.9284}",0.0667826086957,0.0898
1,1,1,1,1,1,1,1,1,1,1,"Actually, How Donald Trump Eats His Steak Matters http://www.eater.com/2017/2/28/14753248/trump-steak-well-done-ketchup-personality …",2017-03-01 15:46:07,0,0,837086580032536577,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}",0.0667826086957,0.0898
2,2,2,2,2,2,2,2,2,2,2,Wallace: 'Tonight Donald Trump Became the President of the United States' http://insider.foxnews.com/2017/02/28/chris-wallace-praises-trump-address-congress-says-he-became-president …,2017-03-01 15:42:57,1,0,837085782670213120,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.0667826086957,0.0898
3,3,3,3,3,3,3,3,3,3,3,Bill Maher On President Donald Trump's Speech: There's Two Trumps | Hard... https://youtu.be/tsWI07e10y0  via @YouTube,2017-03-01 15:42:05,0,0,837085566076334080,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
4,4,4,4,4,4,4,4,4,4,4,Donald Trump Just Said The One Thing That No Other President Ever Has Before. We Can’t Stop Cheering This. http://theatlantic.ga/4Z5  #NRApic.twitter.com/eiK3NVGTA2,2017-03-01 15:37:10,0,0,837084325468233728,"{'neg': 0.171, 'neu': 0.7, 'pos': 0.128, 'compound': -0.0258}",0.0667826086957,0.0898
5,5,5,5,5,5,5,5,5,5,5,"""Donald Trump took 61 minutes to tell 51 lies."" - @angela_rye https://twitter.com/cnnnewsroom/status/837044637059674116 …",2017-03-01 15:26:51,5,1,837081729131249669,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
6,6,6,6,6,6,6,6,6,6,6,"Maybe it was Donald Trump, Jr. #FindOuthttps://twitter.com/RobPulseNews/status/837053196019236864 …",2017-03-01 15:24:55,1,1,837081245423136768,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
7,7,7,7,7,7,7,7,7,7,7,CNN Had A Shocking Reaction To Donald Trump’s Speech http://greatamericandaily.com/2017/03/01/cnn-shocking-reaction-donald-trump-speech/ …,2017-03-01 15:14:34,0,0,837078639564980224,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",0.0667826086957,0.0898
8,8,8,8,8,8,8,8,8,8,8,Donald Trump to Katy Tur: Be quiet! (How soon we let bygones be bygones) https://twitter.com/katyturnbc/status/836783151347302401 …,2017-03-01 15:10:52,3,1,837077707192053760,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
9,9,9,9,9,9,9,9,9,9,9,Rt Donald Trump is right about Sweden http://fb.me/6bviHYux3 ,2017-03-01 15:04:33,0,0,837076119027232770,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
