,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,Analysis: Donald Trump's presidency has veered onto a road with no... http://ln.is/Yv03A  by #washingtonpost via @c0nvey,2017-03-05 14:47:19,0,0,838521332765687809,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08175,0.0590833333333
1,1,1,@ReliableSources @plantecbs So we can now all just say.. Donald Trump Touched me Inappropriately.. By False reporting leading by Example,2017-03-05 14:17:38,0,0,838513861514915840,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08175,0.0590833333333
2,2,2,The only minority Donald Trump cares about and advocates for is the 3% of scientist who don't believe in global warming.,2017-03-05 13:53:49,6,0,838507869293137920,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5574}",0.08175,0.0590833333333
3,3,3,It's Donald Trump's great wall pic.twitter.com/cTtLgLsgVr,2017-03-05 11:56:57,1,0,838478459483619328,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.08175,0.0590833333333
4,4,4,Did you know that Donald Trump is the father of April the giraffes baby? #icanmakestuffuptoodonald #baselessclaims #TrumpLies #BigLittleLies,2017-03-05 09:39:17,0,0,838443812515102721,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08175,0.0590833333333
5,5,5,Imagine your head on that statue @BenSasse. #SNL immortalizes TBD Republican who saves the country from Donald Trump http://uproxx.it/2mS8cmr ,2017-03-05 09:09:20,0,0,838436278404263941,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08175,0.0590833333333
6,6,6,"@washingtonpost ""Donald Trump is who we thought he was""  Nuts?",2017-03-05 06:44:56,0,0,838399937855504386,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.08175,0.0590833333333
7,7,7,Donald Trump is a sick man. Paranoid about being wire tapped in his golden nest at t-rump tower. The world is laughing at us. Putin wins.,2017-03-05 05:06:00,3,1,838375038764081152,"{'neg': 0.16, 'neu': 0.633, 'pos': 0.208, 'compound': 0.3818}",0.08175,0.0590833333333
8,8,8,"Eminem Slams President Donald Trump, Calls Him 'a Bitch' - Us Weekly http://dlvr.it/NXtGDz ",2017-03-05 03:48:33,1,0,838355548449878016,"{'neg': 0.257, 'neu': 0.743, 'pos': 0.0, 'compound': -0.5859}",0.08175,0.0590833333333
9,9,9,"Sources: Donald Trump Listened In On Phone Lines At Mar-A-Lago
http://crwd.fr/2m6ZzET pic.twitter.com/TJwyoNGtnD",2017-03-04 22:24:03,0,0,838273886269628418,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08175,0.0590833333333
10,10,10,"Donald Trump holding campaign rallies in October 2016.  Meanwhile, Obama administration wiretapping Trump Tower. pic.twitter.com/CUYXWFUdRj",2017-03-04 19:52:11,0,1,838235666819477506,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.08175,0.0590833333333
11,11,11,"It's insane to me that it's possible to tweet something super gnarly and mean to Donald Trump, and then get picked up by the Secret Service.",2017-03-04 19:44:56,0,0,838233845195550722,"{'neg': 0.088, 'neu': 0.784, 'pos': 0.127, 'compound': 0.296}",0.08175,0.0590833333333
