,Unnamed: 0,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,"Okay #DonaldTrump what say you about #FlintWaterCrisis!?  I forgot,  you're too busy worrying about #TheApprentice and #Obama  Do your job!https://twitter.com/CNN/status/838507395450040320 …",2017-03-05 14:01:11,1,0,838509721527123968,"{'neg': 0.136, 'neu': 0.777, 'pos': 0.087, 'compound': -0.2695}",0.101785714286,0.0752142857143
1,1,Hot mic CATCHES Donald Trump talking about Russia in private http://ln.is/www.youtube.com/AKdIn … via @YouTube,2017-03-05 13:01:14,0,0,838494637300015106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.101785714286,0.0752142857143
2,2,Take notice of what the Word of GOD says.  It doesn't say they were led by Donald Trump!,2017-03-05 12:54:01,0,0,838492818893078528,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.481}",0.101785714286,0.0752142857143
3,3,Donald Trump says he believes Barack Obama likes him http://www.huffingtonpost.com/entry/donald-trump-obama-likes-me_us_5899367de4b09bd304bd3dac?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-05 12:20:34,0,0,838484403437326336,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.101785714286,0.0752142857143
4,4,Flag #MAGA plus #DJT signature t-shirt on sale! https://www.amazon.com/dp/B01KGQUUB6/  #trump #potus #DonaldTrump #PresidentTrump #spicer #WhiteHouse #USApic.twitter.com/swmsi4GVMi,2017-03-05 10:43:00,0,0,838459850468175872,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.101785714286,0.0752142857143
5,5,Weekend Update: Eric and Donald Trump Jr. - SNL https://youtu.be/-OBiSNOumtU  via @YouTube #SNL Classic!  Take that #DonaldTrump,2017-03-05 07:46:31,2,1,838415433908817921,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.101785714286,0.0752142857143
6,6,"@donaldtrump rants, WH asks for an investigation and promises to never mention it again. The farce is strong with these clowns. https://twitter.com/nprpolitics/status/838404503636324353 …",2017-03-05 07:10:44,0,0,838406431279837184,"{'neg': 0.173, 'neu': 0.623, 'pos': 0.204, 'compound': 0.2263}",0.101785714286,0.0752142857143
7,7,Donald Trump isn’t the only villain – the Republican party shares the blame  | Jonathan Freedland https://www.theguardian.com/commentisfree/2017/mar/03/donald-trump-villain-republican-party-blame-russia?CMP=share_btn_tw …,2017-03-05 07:02:31,0,0,838404363907313665,"{'neg': 0.113, 'neu': 0.518, 'pos': 0.369, 'compound': 0.6623}",0.101785714286,0.0752142857143
8,8,Donald Trump isn’t the only villain – the Republican party shares the blame http://fb.me/8MXBgAcKc ,2017-03-05 02:15:53,0,0,838332228639862784,"{'neg': 0.125, 'neu': 0.468, 'pos': 0.407, 'compound': 0.6623}",0.101785714286,0.0752142857143
9,9,Unreal  We have the tweets Donald Trump’s Russia conspirator Roger Stone deleted after melting down  #Resisthttp://www.palmerreport.com/politics/donald-trumps-russia-conspirator-roger-stone-deletes-tweets-total-nutjob-meltdown/1788/ …,2017-03-05 00:11:28,7,7,838300919955587072,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.101785714286,0.0752142857143
10,10, Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets  #Resistancehttp://www.palmerreport.com/opinion/donald-trump-leaked-classified-info-tower-wiretap/1782/ …,2017-03-04 17:12:51,12,8,838195571873701888,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3182}",0.101785714286,0.0752142857143
11,11, Donald Trump’s White House counsel caught improperly meddling in Trump-Russia   #Resistance investigation http://www.palmerreport.com/news/donald-trumps-white-house-counsel-don-mcgahn-caught-meddling-trump-russia-investigation/1784/ … via,2017-03-04 17:00:28,32,41,838192453668732931,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.101785714286,0.0752142857143
12,12," Carter Page fires back, says Donald Trump was behind Russia conspiracy at GOP Convention  #Resistancehttp://www.palmerreport.com/opinion/carter-page-fires-back-says-donald-trump-behind-russia-conspiracy-gop-convention/1781/ …",2017-03-04 16:50:09,11,22,838189856874463234,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.5267}",0.101785714286,0.0752142857143
13,13,@AdventureUs15 @bangela72 @crehage @Ahsia89 @realDonaldTrump if there's money to be made from talking shit about Donald Trump I'm in!,2017-03-04 16:35:01,3,0,838186048878493696,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5983}",0.101785714286,0.0752142857143
