,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,JUST IN: Donald Trump Jr. Revealed To Have Paid $50k For Pro-Russia Think-Tank http://bipartisanreport.com/2017/03/02/just-in-donald-trump-jr-revealed-to-have-paid-50k-for-pro-russia-think-tank/ … via @Bipartisan Report,2017-03-02 15:28:50,71,92,837444617176039426,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0942047102355,0.0747037351868
1,Enjoying speaking to students about what Donald Trump means for Canada at an event hosted by the @Queens_IAApic.twitter.com/AxHbe81D9U,2017-03-02 15:59:59,15,7,837452456795619329,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5267}",0.0942047102355,0.0747037351868
2,"Donald Trump's tax returns have answers. 

They need to be released.",2017-03-02 15:05:28,822,158,837438736665190401,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0942047102355,0.0747037351868
3,The ultimate case for a special prosecutor and the eventual resignation of Donald Trump http://www.dailykos.com/story/2017/3/2/1639388/-The-ultimate-case-for-a-special-prosecutor-and-the-eventual-resignation-of-Donald-Trump …,2017-03-02 15:59:57,0,0,837452450550317057,"{'neg': 0.13, 'neu': 0.71, 'pos': 0.16, 'compound': 0.128}",0.0942047102355,0.0747037351868
4,everything is a response to the alt-right and Donald Trump,2017-03-02 15:59:57,1,0,837452448172228608,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0942047102355,0.0747037351868
5,"ChristiChat: RT LindaSuhler: The difference here?
Dems invited Khan specifically to attack Donald Trump -- Preside… https://twitter.com/i/web/status/837431354170060800 …",2017-03-02 15:38:25,1,1,837447028175224833,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4767}",0.0942047102355,0.0747037351868
6,#parisiswaitingforyou #paris #DonaldTrump https://twitter.com/Anne_Hidalgo/status/835175467271475200 …,2017-03-02 15:59:55,0,0,837452441666879488,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0942047102355,0.0747037351868
7,Patrick Stewart: Donald Trump Made Me Want To Become American Citizen http://bit.ly/2mfiH5E  (VIDEO)pic.twitter.com/ZW5Gmtbhlz,2017-03-02 12:58:44,46,24,837406845358723076,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}",0.0942047102355,0.0747037351868
8,Don't expect President #DonaldTrump to do a damn thing about the #NationalDebt. @KSNewDemocrathttp://fb.me/WdqTXSUV ,2017-03-02 15:59:55,0,0,837452440593104896,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",0.0942047102355,0.0747037351868
9,I liked a @YouTube video http://youtu.be/gK3ZmAtVIPk?a  Donald Trump Dresses Up His Act: The Daily Show - Between the Scenes,2017-03-02 15:59:54,0,0,837452435266408450,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",0.0942047102355,0.0747037351868
10,"Donald #Trump was a bit tough on himself for his communication skills,
but I think he may have improved now that... http://fb.me/1kYFIwvq9 ",2017-03-02 15:59:54,0,0,837452435006201856,"{'neg': 0.053, 'neu': 0.769, 'pos': 0.177, 'compound': 0.5994}",0.0942047102355,0.0747037351868
11,Truly inspiring words from President Donald Trump. Proud to be an American!  #JointAddress #JointSessionpic.twitter.com/w20H3ItCsX,2017-02-28 20:23:25,119,80,836793975944040448,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.8439}",0.0942047102355,0.0747037351868
