Text,Date,Favorites,Retweets,Tweet ID
#FirstWordsToAliens Please Take Donald Trump back with you!!,2017-03-04 14:51:52,5,0,838160088644923392
Hillary Clinton slams Donald Trump on #Snapchat #Snapchat http://dlvr.it/NXgdGY pic.twitter.com/vQvN1F7gSJ,2017-03-04 13:47:17,0,0,838143836605972480
BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://NewsUnitedStates.co.vu/1iZ pic.twitter.com/7mdqJzkNQW,2017-03-04 12:50:06,2,0,838129448784297986
Big Survey Shows Firm Majority Support for Donald Trump's Refugee Reform - Breitbart http://ln.is/www.breitbart.com/bi/xXrej …,2017-03-04 12:19:16,1,1,838121687975616513
"As Working Class Americans Struggle To Make Ends Meet, Donald Trump Takes Yet Another Trip To His Florida Resort http://fb.me/1gsrEfajc ",2017-03-04 12:19:06,0,0,838121645420199946
Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://bit.ly/2lJORD8 ,2017-03-04 11:28:17,2,1,838108858216243204
@PrincessMoonbat @jackiekashian @FullFrontalSamB @realDonaldTrump This is not Donald Trump's real account.,2017-03-04 11:23:24,0,0,838107630186938369
@jackiekashian @FullFrontalSamB @realDonaldTrump That's not the real Donald Trump dumbass.,2017-03-04 11:21:40,0,0,838107192200998912
Obama EPA Head Savages Donald Trump’s Environmental Policies http://NewsUnitedStates.co.vu/1hd pic.twitter.com/nm8uKNPZPC,2017-03-04 11:16:18,0,0,838105839818809344
President Donald Trump Accuses Obama of Wire Tapping Him but Offers No Evidence http://fb.me/3la64AXLW ,2017-03-04 10:44:01,0,0,838097716207042560
Do You Think Obama Would Wiretap Donald Trump? http://NewsUnitedStates.co.vu/1hT pic.twitter.com/BkcpHgCVBO,2017-03-04 10:39:15,0,0,838096518368284672
BREAKING: Donald Trump Releases His Dirt on Obama. It’s BIG and About Time! TRUTH WINS. –  http://www.teaparty.org/breaking-donald-trump-releases-dirt-obama-big-time-truth-wins-222032/ …,2017-03-04 10:39:08,0,0,838096486349037568
SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://viid.me/qbBj9F pic.twitter.com/m8u6lXUHi9,2017-03-04 10:35:14,1,1,838095508581175297
SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://NewsUnitedStates.co.vu/1hS pic.twitter.com/fWIYccRpbZ,2017-03-04 10:33:19,0,0,838095022633308160
Do You Think Obama Would Wiretap Donald Trump? http://TheNewsbreaking.co.vu/JN pic.twitter.com/6XFpBKtblD,2017-03-04 10:32:15,0,0,838094753820377088
Here Are The Many Ways Donald Trump Scares The Crap Out Of Democrats http://NewsUnitedStates.co.vu/1hO pic.twitter.com/i3H1bFeQdJ,2017-03-04 10:27:29,1,0,838093556082339841
"Donald Trump misses Obama and wants him back as much as the American people. Just call him, and tell'em you're still in love in him!",2017-03-04 09:51:58,1,0,838084616514912257
"Donald Trump is a deranged man! He's clearly insane. Like, poof...flanito!!!",2017-03-04 09:39:30,0,0,838081480463159300
"Donald Trump is fighting alone, but he is still winning, for us all! @realDonaldTrump",2017-03-04 09:35:49,0,0,838080555484864512
WATCH: Donald Trump Releases Short Video and Asks EVERYONE to Watch It http://NewsUnitedStates.co.vu/1h6 pic.twitter.com/5fEp8eW7u5,2017-03-04 09:13:31,0,0,838074941639532544
Donald Trump claims 'sick' Barack Obama had his 'phones tapped in Trump Tower' before US election win http://ln.is/www.thesun.co.uk/new/A4Ded …,2017-03-04 08:43:18,0,0,838067335856599040
"@realDonaldTrump I back Donald Trump %..But I just pray he also helps our homeless Men, Women, & Children as well here in America..",2017-03-04 08:34:42,0,0,838065175467081728
Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign http://NewsUnitedStates.co.vu/1gu pic.twitter.com/iT7LwC5h2A,2017-03-04 08:22:56,1,0,838062210689581056
Donald Trump points out Democrat hypocrisy over Russian face time -- http://ln.is/www.gopusa.com/9Pmr6 …,2017-03-04 08:22:32,0,0,838062110840090624
Donald Trump Suggests 'The Apprentice' Has Died A 'Sad' Death http://NewsUnitedStates.co.vu/1gn pic.twitter.com/YjSdSzxQjo,2017-03-04 08:16:00,1,0,838060467268378625
"""We r witnessing. .silent coup 2unseat&render effectively immaterial Donald Trump as president of the USA.""-Rush
#ObamaSedition
#Obamagate",2017-03-04 08:05:42,4,4,838057875725508608
Donald Trump accuses Obama of 'wire-tapping' his office before election https://www.theguardian.com/us-news/2017/mar/04/donald-trump-accuses-obama-of-wire-tapping-his-office-before-election?CMP=share_btn_tw … #prepper,2017-03-04 07:35:46,0,0,838050343858524160
"BREAKING: Donald Trump DOES IT, Releases Criminal Information on Barack Obama http://NewsUnitedStates.co.vu/1ga pic.twitter.com/TaagRjUYt8",2017-03-04 07:18:19,1,1,838045951193309184
Big Survey Shows Firm Majority Support for Donald Trump’s Refugee Reform http://NewsUnitedStates.co.vu/1gY pic.twitter.com/mLvxJc2vAF,2017-03-04 07:14:15,2,4,838044925442740225
AWE! Donald Trump Was Just Caught Doing Something Super Nice For Kids! He’s An Inspiration! http://viid.me/qbZbXH pic.twitter.com/dzRVXToZ6x,2017-03-04 06:12:59,4,1,838029507894259712
AWE! Donald Trump Was Just Caught Doing Something Super Nice For Kids! He’s An Inspiration! http://NewsUnitedStates.co.vu/1gC pic.twitter.com/I9BIKWt7Hd,2017-03-04 06:12:56,0,0,838029497265856512
#DonaldTrump claims former President #BarackObama tapped his phone lines in #TrumpTower  https://www.instagram.com/p/BRN_nOfgYTW/ ,2017-03-04 05:56:50,0,0,838025446923055105
"""The warning signs of fascism that Americans should be watching for under president Donald Trump"" #newshttp://qz.com/874872/fascism-under-donald-trump-the-warning-signs-of-fascism-that-americans-should-watch-for-in-2017 …",2017-03-04 05:54:57,0,0,838024969397366786
"Is Donald Trump going to blame everything on Obama? Man, grow up, run the country and shut up.",2017-03-04 05:54:56,0,0,838024966977253376
.@gop how long are you going to let Donald Trump make a fool of himself and our country https://twitter.com/JohnJHarwood/status/838022760634941440 …,2017-03-04 05:53:04,3,2,838024495403270144
Donald Trump accuses Barack Obama of 'wire tapping' his phones http://dailym.ai/2lK1ttZ  via http://dailym.ai/android ,2017-03-04 04:50:52,11,1,838008843653296128
Donald Trump accuses Obama of 'wire-tapping' his office before election http://NewsUnitedStates.co.vu/1fn pic.twitter.com/cmY92D9Yot,2017-03-04 04:39:40,1,0,838006026976686081
Donald Trump Claims Barack Obama Ordered Wire Tap On Trump Tower Before Election http://NewsUnitedStates.co.vu/1fl pic.twitter.com/L72nTXx3Vf,2017-03-04 04:39:17,9,12,838005928867725312
Bill Maher Calls For Return Of The Liberal Bad Boys To Take On Donald Trump http://NewsUnitedStates.co.vu/1fS pic.twitter.com/F0v8V1Q6sV,2017-03-04 01:16:32,0,0,837954905763524608
Bill Maher Shreds The Media For Praising 'Defective' Donald Trump's Speech To Congress http://NewsUnitedStates.co.vu/1fA pic.twitter.com/fkWoE9F2rz,2017-03-03 23:51:25,1,1,837933484832239616
The New Yorker’s David Remnick on the dangers of normalizing Donald Trump – video http://NewsUnitedStates.co.vu/1eh pic.twitter.com/IsUJL5jjLI,2017-03-03 19:51:09,0,0,837873018676248577
The Guardian's Sabrina Siddiqui on being a Muslim reporter in Donald Trump's America – video http://NewsUnitedStates.co.vu/1eg pic.twitter.com/EbbBCkiXFy,2017-03-03 19:51:06,0,0,837873006751821824
Donald Trump Wasn't the Only Boob in Congress! https://malialitman.com/2017/03/02/donald-trump-wasnt-the-only-boob-in-congress/ … via @malialitman,2017-03-03 19:17:44,0,0,837864609017135105
