Text,Date,Favorites,Retweets,Tweet ID
"Did #Obama Spy On #DonaldTrump During Election 

http://buff.ly/2mxPGCQ ",2017-03-06 14:14:07,0,0,838875367586816001
"Is #Obama Using Loyalist In Government To Undermine #DonaldTrump
http://buff.ly/2mcECbL ",2017-03-06 14:12:41,0,0,838875005815558145
"Retweeted Donald Trump Exposed (@DTrumpExposed):

It's time to invoke the 25th Amendment!  
RETWEET to show your... http://fb.me/2cBwSbfW9 ",2017-03-06 13:45:34,0,0,838868179573166082
I'm starting to think Donald Trump held a rally at Walmart to get supporters. https://twitter.com/jonanthony7/status/838834546342825984 …,2017-03-06 13:06:00,3,0,838858224774209536
"""Donald Trump is the most powerful cornered animal in the world"" - the guardian https://apple.news/ATOO5MDSUSV2JkP3erUF_eg …",2017-03-06 12:36:26,1,1,838850783126794240
"Did #Obamy Spy On #DonaldTrump During Election
https://youtu.be/v40RBLxrpZI pic.twitter.com/LFDlEV4ef8",2017-03-06 11:47:06,0,0,838838367865483266
"Problems With Anonymous Sources #FakeNews #DonaldTrump
https://youtu.be/F5XJzzEsBTI pic.twitter.com/cDQcZ3JcC7",2017-03-06 11:27:08,0,0,838833343869386752
Is Donald Trump really worth some tax cuts? http://www.motherjones.com/kevin-drum/2017/03/donald-trump-really-worth-some-tax-cuts … via @motherjones,2017-03-06 09:40:52,0,0,838806601742053378
Donald Trump Russia Probe: Americans Want Special Prosecutor | http://Time.com  http://time.com/4691594/donald-trump-russia-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+timeblogs%2Fswampland+%28TIME%3A+Politics%29 …,2017-03-06 09:05:55,0,0,838797803115642882
Donald Trump and Rex Tellerson all want the oil in Iraq and their interests are protected by the  new travel orders. #Trumprussia #trumplies,2017-03-06 09:04:38,0,0,838797482842796035
where is Donald Trump??? He loves the media attention and he loves to talk! all of a sudden after he tweets false crap he is hiding!!,2017-03-06 08:57:21,0,0,838795649785065472
Late Night King David Letterman Calls Donald Trump a 'Stupid Son of a B*tch' via @politicususahttp://www.politicususa.com/2017/03/06/late-night-king-david-letterman-calls-donald-trump-stupid-son-btch.html …,2017-03-06 07:21:49,1,1,838771606159667200
"Did #Obama Spy On #DonaldTrump During Election
http://ift.tt/2n5uYqC pic.twitter.com/PYqYwPhB4o",2017-03-06 04:30:21,0,0,838728456431108096
"The Problem With Anonymous News Sources #FakeNews #DonaldTrump
http://ift.tt/2mLW9un pic.twitter.com/uIzjKD3caM",2017-03-06 04:30:20,0,0,838728450957524992
And Donald Trump does it so well. https://twitter.com/jonanthony7/status/838507124791644160 …,2017-03-05 21:24:24,1,0,838621261848707072
Streisand: 'Donald Trump is Making Me Gain Weight' http://www.breitbart.com/big-hollywood/2017/03/05/barbra-streisand-trump-making-gain-weight/ … making her uglier too ugh,2017-03-05 21:01:51,1,1,838615585969733632
The Only Question Now is When Donald Trump Realized How Much Trouble He Was In via @politicususahttp://www.politicususa.com/2017/03/04/question-when-donald-trump-realized-trouble.html …,2017-03-05 18:44:20,0,1,838580980495564801
POLL: Do You Support Donald Trump’s Plan To IMMEDIATELY Deport ALL Criminal Aliens? http://fb.me/IyHM4ThF ,2017-03-05 17:35:29,1,0,838563651908849664
Has Donald Trump Been Your Pick For President Since The Beginning Of Election Season? http://fb.me/2hV8HcPTd ,2017-03-05 17:34:03,1,0,838563292628967425
Donald Trump will sign anything as long as he thinks he can get to Beaverville. https://twitter.com/jonanthony7/status/838508844565286913 …,2017-03-05 16:47:56,2,0,838551686427754497
Donald Trump supporters how many heads are up that ass. https://twitter.com/jonanthony7/status/838514265669660675 …,2017-03-05 16:43:29,4,0,838550567299366912
