Text,Date,Favorites,Retweets,Tweet ID
BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://USATrump.co.vu/5YC pic.twitter.com/y9iCJMcxZ2,2017-03-04 15:59:04,5,2,838177000867016704
Is Donald Trump one of you? #FirstWordsToAliens,2017-03-04 15:50:38,0,0,838174879820046336
Who should receive a standing ovation? 1) Lindsey Graham or 2)Donald Trump when it comes to critic on #Russian meddling in our election #米露,2017-03-04 15:49:46,0,0,838174659703001088
"4/1/1957
Lying press! Yes, impeachment proceedings against me begin tomorrow. But today's nuclear strike against China is totally unrelated.pic.twitter.com/vcIiSN6mPA",2017-03-04 15:44:12,0,0,838173260797751296
"10/20/1781
My military advisor, Benedict Arnold, was right! Washington met with British Officers yesterday at Yorktown! Investigate him!pic.twitter.com/z1OXPd0VMN",2017-03-04 15:36:33,9,4,838171336161673220
Investigate Donald Trump http://petitions.moveon.org/s/IYP2tU  @moveon,2017-03-04 15:30:46,0,0,838169881606418432
Donald Trump is losing bigly at golf,2017-03-04 15:26:53,1,0,838168904811823104
"@realDonaldTrump : Stop lying! Mark Singer, The New Yorker, ""an existence unmolested by the rumbling of a soul."" That's You Donald Trump https://twitter.com/tribelaw/status/838102754971238401 …",2017-03-04 15:20:14,1,1,838167229451526144
"""I have so many words I have the best words""

#DonaldTrump #tapp #bigly #honeredpic.twitter.com/edwF740rCZ",2017-03-04 15:16:36,0,0,838166316683051009
The Only Question Now is When Donald Trump Realized How Much Trouble He Was In via @politicususahttp://www.politicususa.com/2017/03/04/question-when-donald-trump-realized-trouble.html …,2017-03-04 15:16:33,0,0,838166301746966528
Donald Trump tweets photo of Democrat Chuck Schumer with Vladimir Putin in swipe at Russia investigation https://www.yahoo.com/news/donald-trump-tweets-photo-democrat-175700077.html …,2017-03-04 15:14:58,0,0,838165904277950465
Donald Trump's joint session address played nice for a night in front of Congress—and ..... by Sarah Kendzior https://qz.com/922104/donald-trumps-joint-session-address-played-nice-for-a-night-in-front-of-congress-and-used-a-technique-straight-out-of-the-autocrats-playbook/ …,2017-03-04 15:11:59,0,0,838165153820504064
@nowthisnews  it must be Donald Trump's sister or maybe a cousin. MEAN  runs in their family.,2017-03-04 15:08:39,4,0,838164312921255936
Donald Trump is 'tapp' shit crazy!,2017-03-04 15:08:02,1,0,838164158851997697
"Stefan Molyneux 

Did President Obama Spy On Donald Trump? | True News https://www.youtube.com/watch?v=Q_0HAWWeC4E&feature=share …",2017-03-04 15:07:25,0,0,838164003805278209
Donald Trump the mother of all Shit Storms pic.twitter.com/BOBzzXAuIa,2017-03-04 15:06:25,0,0,838163751496900610
"Donald Trump may be smart, but mentally he prematurely ejaculates http://theblu.ga/7hw  See full story here: http://theblu.ga/7hw …pic.twitter.com/tAU86z0Pg0",2017-03-04 15:06:15,0,0,838163709058916352
Donald Trump is drowning in the swamp,2017-03-04 15:02:24,1,0,838162740887826433
Daily reminder that Hillary Clinton beat Donald Trump by 2.8 million votes.,2017-03-04 15:00:50,518,165,838162345666936832
"In 1927, Donald Trump’s father was arrested after a Klan riot in Queens http://fb.me/31hcuOi0C ",2017-03-04 15:00:09,0,0,838162175952707585
