Text,Date,Favorites,Retweets,Tweet ID
Trevor Noah Smacks Down Donald Trump: 'He's A Proven Troll' http://fb.me/1MCtDMTgw ,2017-03-07 15:05:12,0,0,839250611560402945
Donald Trump Falsely Blames Barack Obama For Relea... http://www.topbuzz.com/article/i6394763897911378441?app_id=1106&c=tw …,2017-03-07 14:56:41,0,0,839248467168006150
Alec Baldwin has some advice for Donald Trump on Twitter: Let it go http://flip.it/JdsXCz  #alecbaldwinforpresident,2017-03-07 14:21:47,0,0,839239683670429696
Trump Job-Approval Numbers Tick Up Slightly But Are Still Underwater: President Donald Trump remains strikingly… http://m.tbnn.it/NZ1qdK ,2017-03-07 14:20:15,0,0,839239296775147520
Patton Oswalt’s Daughter Sent Donald Trump A Postcard Letting Him Know How She Feels: Now we wait for an… http://m.tbnn.it/NZ1V2K  | @good,2017-03-07 14:02:14,0,0,839234763701415936
@ChrisMurphyCT @CTDems #DonaldTrump  Affordable Healthcare is a human right!,2017-03-07 06:44:05,0,0,839124500478365696
@realDonaldTrump That Donald Trump as my favorite president of the united states of America I vote for.,2017-03-07 06:37:39,0,0,839122881502134272
TOTAL MAGA: (Donald Trump Parody) http://fb.me/6xfV1IsNm ,2017-03-07 05:13:19,0,0,839101657455656960
Trump to Planned Parenthood: You can have federal funds if you stop abortions: President Donald Trump has offered… http://m.tbnn.it/NYcjzd ,2017-03-06 19:24:11,0,0,838953398846140416
Trump Asking Congress To Probe Bizarre Wiretap Claims Shows Limit Of His Power: President Donald Trump’s… http://m.tbnn.it/NYZg8h  | @tpm,2017-03-06 17:02:10,0,0,838917655419486208
"What the fuck has happened to my Country?
Donald Trump is a disgrace.
Donald Trump idiots are a disgrace.
This nightmare needs to end.",2017-03-06 16:46:25,12,1,838913692565716992
