Text,Date,Favorites,Retweets,Tweet ID
Sources: Donald Trump Listened In On Phone Lines At Mar-A-Lago https://www.buzzfeed.com/aramroston/sources-donald-trump-listened-in-on-phone-lines-at-mar-a-lag?utm_term=.vteD7aQNQR … via @aramroston,2017-03-06 15:23:23,0,0,838892798518648832
Donald Trump has it hard as a president. American intellectuals aren't giving him a break ,2017-03-06 13:43:54,0,0,838867761329758208
I liked a @YouTube video http://youtu.be/shwoimUdmck?a  Inside Donald Trump's 'Worst Deal:' Five-Star Azerbaijan Hotel | Morning Joe | MSNBC,2017-03-06 12:51:43,0,0,838854627563044864
Kim Jong-un should put on a dress and try to use a public restroom in the United States if he wants Donald Trump's attention.,2017-03-06 09:34:39,2,1,838805038009044992
Barbara Streisand Claims Donald Trump Is Making Her Fat http://www.barstoolsports.com/chicago/barbara-streisand-claims-donald-trump-is-making-her-fat/ … - great article.,2017-03-06 09:11:57,0,0,838799324838494209
Donald Trump complains protesters saying 'resist' are slowing down his presidential agenda http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-complain-resist-protesters-slow-down-us-president-agenda-congress-address-a7603241.html …,2017-03-06 08:20:38,0,0,838786407099400192
POLL: Do You Support Donald Trump’s Plan To IMMEDIATELY Deport ALL Criminal Aliens? http://en-volve.com/2016/09/01/poll-do-you-support-donald-trumps-plan-to-immediately-deport-all-criminal-aliens/ …,2017-03-06 07:57:52,0,0,838780681778053124
Poll: Has Donald Trump Been Your Pick For President Since The Beginning Of Election Season? http://en-volve.com/2016/08/30/poll-has-donald-trump-been-your-pick-for-president-since-the-beginning-of-election-season/ …,2017-03-06 07:56:22,0,0,838780304118669312
Thank you Donald Trump for bringing us all closer to the eve of destruction. https://twitter.com/Max_Fisher/status/838774377428762629 …,2017-03-06 07:36:31,0,0,838775305598808064
Donald Trump relied on Breitbart to claim Barack Obama tapped his phones -Fucking nutjob https://apple.news/Au5yKsDllNDO838Y9JG-a5A …,2017-03-06 04:04:25,0,0,838721931448832002
Donald Trump has evolved from being a conspiracy-theory candidate to a conspiracy-theory president -The Independent https://apple.news/A7r6q8a1cRUC9pdJ9Qc6yPQ …,2017-03-06 04:03:54,0,0,838721801849081858
Donald Trump thinks about Barack Obama so much that he has jungle fever.,2017-03-05 17:23:43,0,0,838560692005281792
