Text,Date,Favorites,Retweets,Tweet ID
I liked a @YouTube video http://youtu.be/8wDbiqtgrLc?a  CNN guest says what we're ALL thinking about Donald Trump,2017-03-05 15:17:40,0,0,838528969888645122
"Not maybe, perhaps, or possibly. Donald Trump told Newsmax he's positive Pres Obama ordered wiretaps on his Trump Tower last year.",2017-03-05 15:12:55,0,0,838527776659550208
Director de FBI pide desestimar denuncia de Donald Trump http://www.diariolasamericas.com/c4116400 ,2017-03-05 14:46:36,0,2,838521153597616128
@msnbc President Obama could sue Donald Trump for telling lies on him about the wiretapping. President Obama is a gentleman. He won't do it,2017-03-05 14:37:18,0,0,838518813553459200
@CNN Donald Trump tell lies all the time. This wiretapping claim is yet another one of his many lies. Donald Trump is unfit to be President,2017-03-05 14:16:18,0,0,838513529040830465
The climate movement goes to war with Donald Trump: http://inthesetimes.com/features/climate_movement_trump_resistance_democratic_party.html … via @inthesetimesmag,2017-03-05 13:59:51,0,1,838509389959036928
I liked a @YouTube video http://youtu.be/VBOBtWCt6yw?a  Cat is scared of Donald Trump,2017-03-05 13:52:58,0,0,838507655052345344
"Donald Trump: Bonkers, paranoid or trapped? http://www.stuff.co.nz/world/americas/90084462/OPINION-Donald-Trump-Bonkers-paranoid-or-trapped …",2017-03-05 13:46:11,0,0,838505947819565057
Donald Trump's tweets to deflect attention from 'Russiagate' are not working http://www.smh.com.au/world/if-trumps-tweets-are-a-bid-to-deflect-attention-from-russiagate-its-not-working-20170305-gur0tw.html … via @smh,2017-03-05 13:43:24,0,0,838505246573887489
Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building http://www.palmerreport.com/opinion/trump-russia-conspirator-alex-oronov-dies-suspiciously-he-lived-in-donald-trumps-building/1786/ … via @PalmerReport,2017-03-05 13:35:58,0,1,838503378032410625
@msnbc If we had a competent news media in our country Donald Trump wouldn't be President.Trump is a fool& news media failed to do their job,2017-03-05 13:34:10,0,0,838502923285975042
"Google Home: Yes, Donald Trump is https://winning.pic.twitter.com/YH62aXPkhY  http://brevardcountymarketing.blogspot.com/2017/03/google-home-yes-donald-trump-is.html …",2017-03-05 13:24:34,0,0,838500506687401986
@ericshawntv @foxnews @potus I believe Donald Trump.,2017-03-05 13:01:24,2,0,838494677179432960
"Bruce Bartlett, former adviser to Ronald Reagan, compares Donald Trump to Nixon and it's EPIC http://www.dailykos.com/story/2017/3/4/1640099/-Bruce-Bartlett-former-adviser-to-Ronald-Reagan-compares-Donald-Trump-to-Nixon-and-it-s-EPIC …",2017-03-05 12:34:45,0,0,838487972592898048
Chuck Todd panelist slams Donald Trump: That is juvenile behavior http://www.dailykos.com/story/2017/3/5/1640346/-Chuck-Todd-panelist-slams-Donald-Trump-That-is-juvenile-behavior …,2017-03-05 12:18:15,0,0,838483821104414720
Actor Don Cheadle Says that Donald Trump Referred to Black Women as N***ers http://www.dailykos.com/story/2017/3/5/1640286/-Actor-Don-Cheadle-Says-that-Donald-Trump-Referred-to-Black-Women-as-N-ers …,2017-03-05 12:17:53,0,0,838483727038705664
@FoxNews @HomeDepot lots confidence in AMERICAN business right now. Thank You Donald Trump,2017-03-05 12:15:55,1,0,838483234132480001
