Text,Date,Favorites,Retweets,Tweet ID
RT Moneyish: This profession is poised to get rich under Donald Trump http://on.wsj.com/2n7XfwD pic.twitter.com/pugs5eFSxY,2017-03-06 15:41:26,0,0,838897341193203716
ITS ENOUGH STOP STOP STOP OUR PRESIDENT IS MR DONALD TRUMP AND THATS FINAL EXCEPT IT IM 70 YEARS OLD AND I HAVE NEVER SEEN ANYTHING LIKE THS,2017-03-06 15:33:32,0,0,838895354019999744
President Donald Trump is the most powerful cornered animal in the world | Lawrence Douglas https://www.theguardian.com/commentisfree/2017/mar/06/president-donald-trump-most-powerful-cornered-animal-world?CMP=share_btn_tw …,2017-03-06 15:24:24,2,1,838893051498070017
Donald Trump ( CRAZy),2017-03-06 15:17:20,0,0,838891276711804928
Donald Trump Don't Need to be President he's crazy & lie ...Our poor country pray ppl,2017-03-06 15:15:01,0,1,838890690834681856
"Wife leaves her marriage of 22 years because her husband was a donald trump supporter ""I felt like I had been fooling ...",2017-03-06 14:55:45,0,0,838885842462593025
Axios: Chuck Schumer Plans New 'Blue Wall' to Block Donald Trump's Border Wall - Breitbart http://bit.ly/2mtV6i8 ,2017-03-06 14:18:18,0,0,838876417844736003
Limbaugh: 'It Isn’t Unreasonable at All for Donald Trump to Suspect That He’s Being Tapped' - Breitbart http://ln.is/www.breitbart.com/vi/gPPDb …,2017-03-06 14:06:26,38,25,838873431932301312
"Being able to say ""Academy Award Winning Suicide Squad"" is almost as strange as being able to say ""45th President of the US, Donald Trump.""",2017-03-06 13:44:45,17,1,838867976967323655
@2018Republicans @realDonaldTrump This is Donald Trump's way of flipping a bird to the entire U.S. Marine Corp.!,2017-03-06 13:43:59,0,0,838867784348155904
"Donald Trump spends 31 percent of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://m.dailykos.com/stories/1640646 ",2017-03-06 13:15:42,0,0,838860665943109632
I can not believe the lie Donald Trump made up on President Obama. The world is laughing at the United States.,2017-03-06 13:00:39,0,0,838856878935408640
"The first american demagogue - the worldfolio How Donald Trump creates his own bully pulpit via social networks, sidestepping ...",2017-03-06 12:33:19,0,0,838849997915422724
Donald Trump's New Travel Ban Faces Fresh Legal Challenges - Forbes http://dlvr.it/NYVGkW ,2017-03-06 12:29:05,0,0,838848934369898497
