Text,Date,Favorites,Retweets,Tweet ID
Mark Levin: 'Donald Trump Is the Victim' in Alleged Obama Wiretapping Scandal | Fox News Insider http://insider.foxnews.com/2017/03/05/mark-levin-donald-trump-barack-obama-wiretapping?nmsrc=email&utm_source=newsletter&utm_campaign=scoop&utm_medium=email …,2017-03-06 15:47:29,0,0,838898863054315520
President Donald Trump is the most powerful cornered animal in the world https://www.theguardian.com/commentisfree/2017/mar/06/president-donald-trump-most-powerful-cornered-animal-world?CMP=Share_iOSApp_Other …,2017-03-06 15:45:45,0,0,838898425726824449
Exorcists Warn About Dangers of Wiccan 'Spell to Bind Donald Trump'  http://www.ncregister.com/blog/armstrong/exorcists-warn-about-dangers-of-wiccan-spell-to-bind-donald-trump … #NCRegister,2017-03-06 13:52:56,0,0,838870034717929472
Donald Trump Has Already Picked His Favorite Muslims http://fb.me/5XgJyytzH ,2017-03-06 12:39:52,0,0,838851646025150465
Analysis | The dangerous rage of Donald Trump http://fb.me/7M7A7iFO3 ,2017-03-06 12:32:12,0,0,838849718276890624
Donald Trump And Steve Bannon Involved In Massive Oval Office Argument (VIDEO) http://fb.me/55XxObHdQ ,2017-03-06 12:12:54,0,0,838844862971576320
"Donald Trump spends 31% of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://fb.me/5A1WEhhXS ",2017-03-06 12:10:16,0,0,838844198367350784
Let Me Explain Why Paul Ryan is an Even Bigger Scumbag Than Donald Trump http://fb.me/8w3X7S9lI ,2017-03-06 11:30:04,0,0,838834079709552640
This is not a repeat.  Donald Trump Signs Executive Order Banning Travel from Six Terror-Tied Countries - Breitbart http://bit.ly/2mbvoMT ,2017-03-06 10:24:02,1,0,838817462267228160
@BuckSexton @glennbeck More conspiracy to protect Donald Trump,2017-03-06 04:54:32,0,0,838734542731108353
I added a video to a @YouTube playlist http://youtu.be/oMspOEVxWfM?a  Van Jones: Donald Trump Became President of the United States Tonight,2017-03-06 02:48:26,0,0,838702806831882240
I liked a @YouTube video http://youtu.be/oMspOEVxWfM?a  Van Jones: Donald Trump Became President of the United States Tonight,2017-03-06 02:48:21,0,0,838702785352826880
I added a video to a @YouTube playlist http://youtu.be/jA48jwis1Gs?a  Reaction to President Donald Trump's Address to Congress,2017-03-06 02:39:31,0,0,838700564657614852
I liked a @YouTube video from @kfyo http://youtu.be/jA48jwis1Gs?a  Reaction to President Donald Trump's Address to Congress,2017-03-06 02:39:25,0,0,838700539298840576
I added a video to a @YouTube playlist http://youtu.be/jEqqhwUshes?a  Van Jones on Joint Address: Donald Trump Became President Tonight,2017-03-06 02:18:04,0,0,838695166454149120
I liked a @YouTube video from @teriobrien http://youtu.be/jEqqhwUshes?a  Van Jones on Joint Address: Donald Trump Became President Tonight,2017-03-06 02:17:58,0,0,838695141120561153
"I liked a @YouTube video from @1791l http://youtu.be/2-BnBmw-R2c?a  ""Democrat should have become worried tonight"" Van Jones on Donald Trump's",2017-03-06 01:57:48,1,0,838690065563992068
I added a video to a @YouTube playlist http://youtu.be/d7LosfFWHO0?a  Chris Wallace: ‘I Feel Like Tonight Donald Trump Became the President,2017-03-06 01:55:12,0,0,838689411621654529
I liked a @YouTube video from @thedailyshtshow http://youtu.be/d7LosfFWHO0?a  Chris Wallace: ‘I Feel Like Tonight Donald Trump Became the,2017-03-06 01:55:09,0,0,838689399080640512
"@Intrigue_Jones 
... so who is Donald Trump going to blame?",2017-03-05 19:42:30,0,0,838595620487122944
"@maddow @TheDemocrats 253K signatures & counting-Petition: Investigate Donald Trump https://www.dailykos.com/campaigns/petitions/sign-the-petition-investigate-donald-trump?link_id=0&can_id=b6cd3ddaef4b1dee152f5bf8ab971860&source=email-re-the-vote-to-investigate-trump-is-tuesday-add-your-name&email_referrer=re-the-vote-to-investigate-trump-is-tuesday-add-your-name&email_subject=re-the-vote-to-investigate-trump-is-tuesday-add-your-name …
#FakeRussianFacts #resist",2017-03-05 16:56:36,0,0,838553866845106177
‘Donald Trump started this’: ABC host goes ballistic on Sarah Huckabee Sanders’ wiretapping spin http://fb.me/1P21SndMp ,2017-03-05 16:06:29,0,0,838541254468100099
