Text,Date,Favorites,Retweets,Tweet ID
We all know what Donald Trump can do with his import tax. https://twitter.com/woodywood1999/status/837442013645529088 …,2017-03-02 15:24:44,3,2,837443587264524288
By the way please bill Donald Trump. https://twitter.com/jonanthony7/status/837436014582972416 …,2017-03-02 14:56:35,4,2,837436503751966720
"For Donald Trump Jr., lingering questions about meeting with pro-Russia group - ABC News - http://abcn.ws/2mPM3oj  via @ABC",2017-03-02 12:14:05,1,1,837395606234677248
What messaging app should you use now that Donald Trump is the president-elect? | The Verge https://www.google.com.au/amp/www.theverge.com/platform/amp/2016/11/10/13585712/secure-encrypted-messaging-services-signal-imessage-president-trump …,2017-03-02 11:58:09,1,0,837391595531988992
Donald Trump ROCKS ! http://fb.me/7aaaqIu6m ,2017-03-02 10:06:50,1,0,837363583679774720
HIGH SCHOOL PUNISHES STUDENT FOR SUPPORTING DONALD TRUMP http://govtslaves.info/?p=108419  via @https://twitter.com/govtslaves,2017-03-02 09:59:38,0,0,837361772768149504
"Donald Trump Jr. was likely paid at least $50,000 for October event https://www.wsj.com/articles/donald-trump-jr-was-likely-paid-at-least-50-000-for-event-held-by-hosts-allied-with-russia-on-syria-1488473640 … via @WSJ",2017-03-02 09:15:31,0,0,837350671443636224
Jennifer Garner 'Looking Forward to Helping' Donald Trump http://bit.ly/2melM6k  via @BreitbartNews,2017-03-02 03:02:14,0,0,837256731562430464
@politicususa the biggest evidence that Donald Trump cannot perform the duties of President you can't take responsibility for his actions,2017-03-02 00:35:24,0,0,837219776367734784
@farrellt66 @LadydeManorBorn Donald Trump was meant to be president  #MAGA #PresidentTrump ,2017-03-01 22:11:14,3,1,837183495675895808
@zachheltzel @floramcg7 every single person Donald Trump has appointed got away with committing felonies and fraud. They all belong in jail,2017-03-01 19:37:14,4,0,837144743205228549
Jennifer Garner 'Looking Forward to Helping' Donald Trump http://bit.ly/2melM6k  via @BreitbartNews,2017-03-01 17:08:47,3,3,837107381871915008
