Text,Date,Favorites,Retweets,Tweet ID
Someone should let Donald Trump know that no number of Twitter tantrums and desperate deflection is going to work. The truth will prevail,2017-03-05 12:51:25,0,0,838492167765123072
'THIS IS WATERGATE' Donald Trump claims ‘sick’ Barack Obama had his ‘phones tapped ... - Wake Up People… https://twitter.com/i/web/status/838452860052467712 …,2017-03-05 10:17:30,0,0,838453433267007488
"""Donald Trump isn’t rambling to distract. He is trying to get out ahead of damaging information to save his... http://fb.me/T1ief8gJ ",2017-03-05 07:11:13,0,0,838406553774489600
Donald Trump is my President.,2017-03-05 06:17:56,0,0,838393144240705536
"Barrack Obama is a bad, sick guy – Donald Trump http://dlvr.it/NXwB3J ",2017-03-05 05:59:06,0,0,838388403481669633
"Schumer: 'I Don't See Any Place' Democrats Can Work with Donald Trump http://ln.is/www.breitbart.com/bi/2jjeT …
What a sad statement!",2017-03-05 04:08:37,0,0,838360598870110208
'THIS IS WATERGATE' Donald Trump claims ‘sick’ Barack Obama had his ‘phones tapped ... - Wake Up People… https://twitter.com/i/web/status/838316950254141440 …,2017-03-05 01:17:21,0,0,838317499934523393
Wilbur Ross At Nexus Of Donald Trump Russian Deal | Rachel Maddow | MSNBC https://youtu.be/WX8dgbr5EI8  via @YouTube,2017-03-05 00:42:00,0,1,838308604318998528
COMMENTARY: George W. Bush offers his view of Donald Trump http://ift.tt/2mFsqmR ,2017-03-04 21:24:47,0,0,838258971865677824
COMMENTARY: Democrats failing to offer an alternative to Donald Trump http://ift.tt/2mFsenq ,2017-03-04 21:24:43,0,0,838258954383785984
COMMENTARY: Donald Trump has fans all over Asia http://ift.tt/2lMlS1F ,2017-03-04 21:24:43,0,0,838258953087770624
"Alex Oronov, organizer of Russia-Ukraine blackmail plan sent to Donald Trump, dies suspiciously http://www.palmerreport.com/opinion/alex-oronov-organizer-russia-ukraine-blackmail-plan-sent-donald-trump-dropped-dead/1785/ … via @PalmerReport",2017-03-04 19:36:54,3,4,838231823276716033
How This Iconic Skating Rink Tells the Story of Donald Trump http://dailysign.al/2lAeG8x  via @kelseyjharkness @DailySignal,2017-03-04 18:55:51,0,0,838221492487929857
"Big Baby Donald Trump: Schwarzenegger Can’t Quit Celebrity Apprentice, He’s Fired! http://freakoutnation.com/2017/03/big-baby-donald-trump-schwarzenegger-cant-quit-celebrity-apprentice-hes-fired/ …",2017-03-04 18:16:42,0,0,838211639300263937
Russian Oligarch’s Plane Shadowed Donald Trump’s Plane (VIDEO) http://freakoutnation.com/2017/03/russian-oligarchs-plane-shadowed-donald-trumps-plane-video/ …,2017-03-04 18:09:18,0,0,838209778170146816
"tape with Obama, ordering wiretap Secret U.S. spy court approved wiretap requests FISC last year, on Donald Trump , for Hillary’s Campaign. pic.twitter.com/NnIopVeR91",2017-03-04 18:04:28,1,0,838208559154249729
"tape with Obama, ordering wiretap Secret U.S. spy court approved wiretap requests FISC last year, on Donald Trump , for Hillary’s Campaign. pic.twitter.com/Y89FiYKByN",2017-03-04 18:01:45,1,0,838207877038792704
"Trump Tweets Obama ""Wiretapped"" Him, Media Races to Defend Obama https://goo.gl/Q9yt4m  #BarackObama #DonaldTrump via @ConstitutionNat",2017-03-04 17:39:22,0,0,838202241202991104
Donald Trump Has Officially Gone Insane With Obama Wire Tap Claim http://thedailybanter.com/2017/03/trump-officially-gone-insane-obama-wire-tap-claim/ … via @thedailybanter,2017-03-04 17:02:28,1,1,838192958931369985
"Donald Trump panics over Russia: Jeff Sessions, Priebus, Bannon all huddled at Mar-a-Lago http://www.palmerreport.com/opinion/donald-trump-russia-panic-time-jeff-sessions-priebus-bannon-huddled-mar-lago/1780/ … via @PalmerReport",2017-03-04 16:41:34,1,0,838187697357324290
Vladimir Putin’s cataclysmic endgame once elevating Donald Trump proves to have been a mistake http://www.palmerreport.com/opinion/vladimir-putins-cataclysmic-endgame-once-elevating-donald-trump-proves-to-have-been-a-mistake/1777/ … via @PalmerReport,2017-03-04 16:39:17,0,0,838187123069038593
How dumb is Donald Trump? I’ve known since November about Trump Tower wiretap over Russia http://www.palmerreport.com/opinion/ive-known-since-november-trump-tower-wiretapped-russia-dumb-donald/1779/ … via @PalmerReport,2017-03-04 16:37:22,2,0,838186642234085376
Trump-Russia conspirator J.D. Gordon begins ratting out Donald Trump http://www.palmerreport.com/opinion/trump-russia-conspirator-j-d-gordon-begins-ratting-donald-trump/1747/ … via @PalmerReport,2017-03-04 16:33:02,0,0,838185550012157952
"Carter Page fires back, says Donald Trump was behind Russia conspiracy at GOP Convention http://www.palmerreport.com/opinion/carter-page-fires-back-says-donald-trump-behind-russia-conspiracy-gop-convention/1781/ … via @PalmerReport",2017-03-04 16:30:04,0,0,838184802440347648
Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets http://www.palmerreport.com/opinion/donald-trump-leaked-classified-info-tower-wiretap/1782/ … via @PalmerReport,2017-03-04 16:28:38,159,137,838184443244326912
'THIS IS WATERGATE' Donald Trump claims ‘sick’ Barack Obama had his ‘phones tapped ... - Wake Up People… https://twitter.com/i/web/status/838181073066602497 …,2017-03-04 16:17:39,0,0,838181678782742528
How This Iconic Skating Rink Tells the Story of Donald Trump http://dailysign.al/2lAeG8x  via @kelseyjharkness @DailySignal,2017-03-04 16:02:58,0,0,838177981428281348
