Text,Date,Favorites,Retweets,Tweet ID
BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN http://www.usanewsflash.com/donald-trump-makes-move-take-nancy-pelosi/ …,2017-03-05 15:47:11,0,0,838536400505032704
I liked a @YouTube video http://youtu.be/gK3ZmAtVIPk?a  Donald Trump Dresses Up His Act: The Daily Show - Between the Scenes,2017-03-05 14:20:55,0,0,838514689265004544
"@realDonaldTrump--The NY TIMES, WASHINGTON POST, CNN, and MSNBC are many times more trustworthy than President Donald Trump.",2017-03-05 14:09:11,0,0,838511735946502144
Ten ways Donald Trump has already made America - and the world - great again http://www.haaretz.com/us-news/.premium-1.775333 …,2017-03-05 12:57:58,0,0,838493816235700224
#donaldtrump needs to leave #obama out of all of his ridiculous shit. Obama is a trillion times the human trump will EVER be.,2017-03-05 12:05:53,2,0,838480707584409604
ABC-7 suspends sportscaster Mark Giangreco for calling Donald Trump a 'cartoon lunatic' http://crwd.fr/2lSPrRP pic.twitter.com/LyAC3Cwh0j,2017-03-05 09:06:07,2,3,838435466265378816
Why Donald Trump Will Not Be Impeached http://lawnewz.com/opinion/why-donald-trump-will-not-be-impeached/ … via @law_newz,2017-03-05 08:37:11,0,0,838428184706236416
.@jack Your daily reminder that you need to ban Donald Trump from Twitter.  Please read if you haven't: http://www.huffingtonpost.com/entry/an-open-letter-to-twitter-ceo-jack-dorsey_us_587b0babe4b03e071c14fdc8 …,2017-03-05 07:39:17,0,0,838413616047083520
We have the tweets Donald Trump’s Russia conspirator Roger Stone deleted after melting down http://www.palmerreport.com/politics/donald-trumps-russia-conspirator-roger-stone-deletes-tweets-total-nutjob-meltdown/1788/ … via @PalmerReport,2017-03-05 07:32:12,0,0,838411831781822464
Mark Levin PROVES Obama Wiretapping on President Donald Trump | Fox & Fr... https://youtu.be/91fNfGjZdM0  via @YouTube,2017-03-05 07:10:09,16,19,838406283841658880
Even Donald Trump officials 'do not know' where he got wiretap claims from https://www.yahoo.com/news/even-donald-trump-officials-not-120500662.html?.tsrc=fauxdal …,2017-03-05 06:47:41,0,0,838400627763982340
@realDonaldTrump @foxandfriends Was it Donald Trump?,2017-03-05 05:28:12,0,0,838380627070234626
"@maggieNYT same here. Gilmore girls season 2. Melissa McCarthy says ""Not that Basta*d, Donald Trump"" when asked the owner of a property.",2017-03-05 05:09:21,0,0,838375884449009664
Pick for medicare post faces questions on indiana contracts _ the kansas city star President Donald Trump's pick to oversee ...,2017-03-05 04:51:30,0,0,838371392169127937
I voted for Donald Trump and Mike Pence. pic.twitter.com/w2bgWDtytC,2017-03-04 22:09:37,0,0,838270254958723074
Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign http://dlvr.it/NXnPLf ,2017-03-04 21:44:09,2,1,838263845357408257
How quickly we've normalized the completely insane presidency of Donald Trump. https://twitter.com/BresPolitico/status/838073927473721348 …,2017-03-04 21:29:14,9,3,838260089228300293
Was the Firing Of Sally Yates Planned Before Donald Trump Was Inaugurated? http://www.redstate.com/streiff/2017/03/04/firing-sally-yates-planned-donald-trump-inaugurated/ …,2017-03-04 20:51:15,0,0,838250532523425795
Grayson Allen might be the only American that's hated more than Donald Trump.,2017-03-04 19:48:17,2,1,838234685268459520
Obama Administration CONFIRMS Wiretapping on Donald Trump | Watters World 3/4/17 | Fox News http://youtu.be/OSdODs7XWSY ,2017-03-04 19:39:50,0,0,838232558454337537
“Trump’s own staff has no idea what Donald Trump is talking about” by @JustinSalhanihttps://thinkprogress.org/trumps-own-staff-has-no-idea-what-donald-trump-is-talking-about-add534282282#.3duormg8c …,2017-03-04 18:36:33,0,0,838216635227856896
I liked a @YouTube video from @gumbinoyt http://youtu.be/fG0JmJy3pmk?a  Donald Trump vs Hillary Clinton - ERB animated (Epic rap battles of,2017-03-04 18:21:47,2,0,838212918059630597
Is Obama’s ‘Wire Tapp’ The End Of Donald Trump? Maybe! A Holy-Shit-Y’all Investigation Into WTF! -  https://wonkette.com/613824/is-obamas-wire-tapp-the-end-of-donald-trump-maybe-a-holy-shit-yall-investigation-into-wtf …,2017-03-04 16:45:16,0,0,838188627037298689
AWE! Donald Trump Was Just Caught Doing Something Super Nice For Kids! H... https://www.youtube.com/watch?v=xYfivMccGy8&feature=share …,2017-03-04 16:36:58,0,0,838186538609541120
"One thing that this Donald Trump Presidency isn't and that's ""boring"".",2017-03-04 16:30:02,0,0,838184794345328641
