Text,Date,Favorites,Retweets,Tweet ID
President Donald Trump is the most powerful cornered animal in the world | Lawrence Douglas https://www.theguardian.com/commentisfree/2017/mar/06/president-donald-trump-most-powerful-cornered-animal-world?CMP=share_btn_tw …,2017-03-06 15:38:34,22,16,838896618313302016
Kellyanne Conway: Donald Trump has info and intelligence the rest of us do not - http://go.shr.lc/2lSmLG5  - @washtimes,2017-03-06 15:30:50,0,0,838894673045372929
More political vomit from Dems on President Donald Trump &his travel ban. I thought Trump is President. Didn't realize Dems know it all!,2017-03-06 14:59:45,0,0,838886852123889664
"Look, the truth is, Donald Trump didn't attack Khan, actually - Khan attacked Trump - President Trump was simply defending himself. https://twitter.com/hktparty/status/838864949963284489 …",2017-03-06 13:49:44,61,12,838869229847908353
Donald Trump's most important friend in Congress http://fb.me/5WJ5FxLDR ,2017-03-06 13:44:30,0,0,838867914757390336
Donald Trump's cousin prob https://twitter.com/wbrz/status/838865614806605824 …,2017-03-06 13:39:56,0,0,838866762343067650
'Law & Order: SVU' star details 'lost' Donald Trump episode - http://whatyouknow.rocks/law-order-svu-star-details-lost-donald-trump-episode/ …pic.twitter.com/kwEu9Q6XdS,2017-03-06 12:45:42,0,0,838853114539147269
@trump2021 Thank God for Pres Trump. We need him now more than ever! #Trump #TrumpPressConference #Donald #DonaldTrump #USA #America #pic.twitter.com/tUd5O4kkL1,2017-03-06 12:44:59,0,0,838852934951649280
#JailObama #Obamagate We hope Donald Trump asks Jeff Sessions to wipe the smirk off Obama’s face — because he... http://fb.me/5DWQbJCfM ,2017-03-06 10:41:35,0,0,838821878718398464
#JailObama #Obamagate We hope Donald Trump asks Jeff Sessions to wipe the smirk off Obama’s face — because he... http://fb.me/3speSoP4c ,2017-03-06 10:40:40,0,0,838821648929271808
"I've yet to be mistreated by a Muslim. But if you've got time, I can tell u about the white Southern Baptist males n my life! #DonaldTrump",2017-03-06 10:29:46,3,0,838818908626890752
"In Bizarre Series of Tweets, Don Cheadle Claims Donald Trump Used Racist Slur with Friend’s Father https://www.yahoo.com/celebrity/bizarre-series-tweets-don-cheadle-195015429.html?.tsrc=fauxdal …",2017-03-06 10:21:44,0,0,838816886171271170
We hope Donald Trump asks Jeff Sessions to wipe the smirk off Obama’s face — because he deserves to be... http://fb.me/27L89X0dz ,2017-03-06 09:46:37,0,0,838808046163886087
We hope Donald Trump asks Jeff Sessions to wipe the smirk off Obama’s face — because he deserves to be... http://fb.me/64zm7nkkH ,2017-03-06 09:46:17,0,0,838807963074760705
J.K. Rowling trolls Donald Trump with the most British reference ever - http://whatyouknow.rocks/j-k-rowling-trolls-donald-trump-with-the-most-british-reference-ever/ …pic.twitter.com/E6R83c9o3y,2017-03-06 09:05:43,0,0,838797753954283523
Watch live: Donald Trump signs new travel ban - but Nigeria tells citizens not to go to US - The Telegraph https://apple.news/AoK8eTHiBQm2a2ilDll45fg …,2017-03-06 08:58:05,0,0,838795834108096517
"In the era of Donald Trump, Germans debate a military buildup GERMANS NO DUMMIES--THAT'S FOR SURE! THEY GET IT! https://wpo.st/NYQf2 ",2017-03-06 07:18:36,8,5,838770798940782593
"""Donald Trump’s presidency has veered onto a road with no centerlines or guardrails.""",2017-03-06 06:27:03,0,0,838757825199353856
"@realDonaldTrump 
Trumpsters 
He's dangerous
This presidency has failed
Wake up
https://youtu.be/XevYDFKBJYE 
#donaldtrump#startrek#election",2017-03-06 06:00:16,0,1,838751086752198656
Hey #DonaldTrump here's what happened in #Sweden. http://fb.me/1IHYamshh ,2017-03-06 05:09:17,0,0,838738253633236992
Louis Farrakhan - Donald Trump Must Destroy  Obama's Legacy https://www.youtube.com/watch?v=E3DbR-fws8o&feature=share …,2017-03-06 01:31:34,0,0,838683464668962816
Axios: #ChuckSchumer Plans New #BlueWall' to Block Donald Trump's Border Wall - Breitbart http://bit.ly/2mtV6i8 ,2017-03-06 00:32:31,0,0,838668605478866948
Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://bi... https://gab.ai/Katskan/posts/5846900 …,2017-03-06 00:19:34,1,0,838665345808265217
Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign - Breitbart http://bit.ly/2lJORD8  via @BreitbartNews,2017-03-06 00:19:28,0,0,838665318704812032
"In Bizarre Series of Tweets, Don Cheadle Claims Donald Trump Used Racist Slur with Friend’s Father http://a.msn.com/0C/en-us/AAnOZBq?ocid=st … I believe Cheadle",2017-03-05 23:32:13,0,0,838653430751178753
"People really listen to Donald Trump as if he not human and he can't lie. This guy is a ""yuge"" business man. That's how he get over on ppl",2017-03-05 22:24:45,0,0,838636449855582209
"#Comey
https://youtu.be/XevYDFKBJYE 
#donaldtrump #startrek #election #Hillary",2017-03-05 19:48:23,0,1,838597098325016576
Donald Trump look like he go die from skin cancer before his 4 years even up like no human being should be orange,2017-03-05 19:37:23,0,1,838594328998072321
BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? – @@,2017-03-05 19:13:13,0,0,838588250587611136
Donald Trump’s Greatest Allies Are the Liberal Elites: Chris Hedges http://www.truthdig.com/report/item/donald_trumps_greatest_allies_are_the_liberal_elites_20170305/#.WLy4KegKjjE.twitter …,2017-03-05 17:15:26,1,0,838558609403432960
