Text,Date,Favorites,Retweets,Tweet ID
"Donald Trump spends 31 percent of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://www.dailykos.com/story/2017/3/6/1640646/-Donald-Trump-spends-31-of-time-on-vacation-plays-golf-8-times-in-6-weeks-on-taxpayer-dime … Dumpster = POS",2017-03-06 15:34:57,0,0,838895710502268932
dailyrapid: Limbaugh: ‘It Isn’t Unreasonable at All for Donald Trump to Suspect That He’s Being Tapped’ … https://twitter.com/dailyrapid/status/838886971246178305 …,2017-03-06 15:00:43,0,0,838887091564077060
I liked a @YouTube video from @informoverload http://youtu.be/G19m8A8qGoc?a  Donald Trump Has Angry Meltdown In Oval Office,2017-03-06 14:13:21,0,0,838875171574394880
Barack Obama Spotted Out for First Time Since Denying Donald Trump's Unsubstantiated Wiretap Claims http://ln.is/people.com/politics/pf80P … via @people,2017-03-06 13:12:31,1,0,838859863522480133
The ‘#MorningJoe’-Donald #Trump #Bromance Is #Over http://thebea.st/2mtsapU  via @thedailybeast,2017-03-06 13:04:13,0,0,838857775639842817
dailyrapid: Donald Trump’s Executive Order: Officials Must Identify Immigration Applicants Who Support ‘Acts of Vi… https://twitter.com/dailyrapid/status/838842934300594176 …,2017-03-06 12:10:19,0,0,838844211701088256
dailyrapid: Donald Trump’s Executive Order: Officials Must Identify Immigration Applicants Who Support ‘Acts of Vi… https://twitter.com/dailyrapid/status/838841645613228032 …,2017-03-06 12:00:51,0,0,838841827189010432
So nasty... These folks think they are so bright--but they're the dummies who voted for Donald Trump. https://twitter.com/_Makada_/status/838832892419665921 …,2017-03-06 11:55:29,1,0,838840479148085248
Donald Trump’s Executive Order: Officials Must Identify Immigration Applicants Who Support ‘Acts of Violence’ http://ift.tt/2lUsCdF  #mcg…,2017-03-06 11:51:22,0,0,838839443108823041
"""We have as president a man who is erratic, vindictive, volatile,  obsessive, a chronic liar....”  Peter Wehner  #DonaldTrump",2017-03-06 11:44:51,0,0,838837803601571843
"President Donald Trump signs new travel ban, exempts Iraq - CNN https://apple.news/AMIhEbAy3T92Dq0VAKTS53w …",2017-03-06 11:33:23,0,0,838834917794590720
Donald Trump trying to run the country like Death Row Records,2017-03-06 10:42:31,0,1,838822116279603201
Donald Trump's tremendous Sermon on the Mount http://www.denverpost.com/2017/02/21/donald-trumps-tremendous-sermon-on-the-mount/ …,2017-03-06 10:25:06,0,0,838817734125371392
"Donald Trump as president is not working for whatever reason and carrying on will had deadly consequences. 

Pause this presidency.",2017-03-06 10:22:13,3,2,838817007650865152
