Text,Date,Favorites,Retweets,Tweet ID
"Flashback via Buzzfeed:
Sources: Donald Trump Listened In On Phone Lines At... http://ln.is/cnkiF  by #MMFlint via @c0nvey",2017-03-04 15:53:50,0,0,838175683910254592
President Donald Trump is in Florida at his Mar-a-Lago club for the fourth weekend out of the past five weekends http://bos.gl/NmoiNz4 ,2017-03-04 15:45:02,58,85,838173469149966339
Is Obama’s ‘Wire Tapp’ The End Of Donald Trump? Maybe! A Holy-Shit-Y’all Investigation Into WTF! -  http://ln.is/wonkette.com/613824/w8eJq …,2017-03-04 15:41:23,6,1,838172549980770304
"Bruce Bartlett, former adviser to Ronald Reagan, compares Donald Trump to Nixon and it's EPIC http://www.dailykos.com/story/2017/3/4/1640099/-Bruce-Bartlett-former-adviser-to-Ronald-Reagan-compares-Donald-Trump-to-Nixon-and-it-s-EPIC …",2017-03-04 15:30:37,0,0,838169841538301956
"@RickCanton ""The pipeline will be built from US steel"" - Donald Trump",2017-03-04 15:21:28,1,0,838167540778078208
"@RickCanton ""I do not have business ties to Russia."" - Donald Trump",2017-03-04 15:21:10,1,0,838167465519611906
"Speaking at @Harvard_Law, scholar Michael Sandel examined the forces that lifted Donald Trump to the presidency http://hvrd.me/Dvfu309hIU8 ",2017-03-04 14:50:09,5,4,838159658133094404
Does Donald Trump cheat at golf? A Washington Post investigation. https://wpo.st/ctAf2 ,2017-03-04 14:48:12,0,0,838159166896230401
@TheFix Jeff Sessions crosses the line by a nose ahead of Donald Trump who fell backward with a thud after tripping on the media's low bar,2017-03-04 14:45:20,1,1,838158446176452610
"Another thing: Donald Trump is really bad at his job. He's unable to process info, manage his staff, stay focused. He's just a crappy POTUS.",2017-03-04 14:41:29,17,6,838157477300613121
Yo if you support Donald Trump and you act like this you're an asshole https://twitter.com/flippineugene/status/838147421334978560 …,2017-03-04 14:37:36,0,0,838156499910291456
Donald Trump is an impressive student of political weasel wording http://www.motherjones.com/kevin-drum/2017/03/donald-trump-impressive-student-political-weasel-wording … via @motherjones #45 #lies #pathetic,2017-03-04 14:36:40,0,0,838156263804514304
