Text,Date,Favorites,Retweets,Tweet ID
*ALL TIME BEST* SJW Pepper Sprayed Donald Trump Protester Compilation 20... https://www.youtube.com/watch?v=D2KM_6W3cmc&feature=share …,2017-03-06 15:41:23,1,0,838897326433402880
Don Cheadle claims Donald Trump used the 'n-word' on the golf course| of course he did.  Who's shocked? @cspanwjhttps://www.google.com/amp/www.telegraph.co.uk/news/2017/03/06/don-cheadle-claims-donald-trump-used-n-word-golf-course/amp/ …,2017-03-06 15:25:04,3,2,838893221627441152
$500 says Donald Trump couldn't pass the American Government exam I just took,2017-03-06 15:14:08,2,0,838890470352781315
"Donald Trump is redirecting and buying time to ""fix"" his Russian problem",2017-03-06 15:07:12,0,0,838888724263993345
Donald Trump to Great Lakes: Drop dead http://on.freep.com/2lnzaWi  via @freep,2017-03-06 15:05:35,0,0,838888320008613888
@morningmoneyben @Austan_Goolsbee - If only there were some high level Exxon executive Donald Trump could talk to to make sure of accuracy.,2017-03-06 14:59:42,1,0,838886836638531584
@_cingraham @maddow Now Almost Everything is Starting to make sense About Donald Trump's link to Russia he is preparing way for Big Oil.....,2017-03-06 14:54:48,0,0,838885603215355905
Limbaugh: 'It Isn’t Unreasonable at All for Donald Trump to Suspect That He’s Being Tapped' - Breitbart http://bit.ly/2mckNRR ,2017-03-06 14:28:39,0,0,838879023669334016
"#UK, #Australia Won’t Fund Free #Abortions After #DonaldTrump Defunds #InternationalPlannedParenthood...http://www.tldm.org/news33/uk-australia-wont-fund-free-abortions-after-donald-trump-defunds-international-planned-parenthood.htm …",2017-03-06 14:08:49,1,0,838874034100125698
That Donald Trump is a disaster frfr,2017-03-06 14:08:36,0,0,838873975992238081
Conway: Donald Trump has info and intelligence the rest of us do not - Then why does he tweet such stupid shit? https://apple.news/Af-MefDOSP-62k6oWRh47_Q …,2017-03-06 12:51:30,2,1,838854575599796224
"A good bet: Donald Trump may not last the year, betting website says http://www.salon.com/2017/03/06/a-good-bet-donald-trump-may-not-last-the-year-betting-website-says/#.WL3IcmPh8MA.twitter …",2017-03-06 12:37:11,0,0,838850972327751681
Clown Chuck Schumer's Plan To DEFEAT Donald #Trumphttp://thefederalistpapers.org/?p=113972 ,2017-03-06 12:31:42,0,0,838849591277678592
Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-06 12:31:39,0,0,838849580108296192
"BREAKING. Donald Trump is starting a new political party called: ""No Accountability, Zero Immigrants.""",2017-03-06 12:30:02,3,1,838849172610613248
" “NYT op-ed calls for Donald Trump to 'Pause This Presidency'”

https://twitter.com/i/moments/838785442866728960 …",2017-03-06 12:20:46,0,0,838846839428366336
Spies have ‘considerable intelligence’ of collusion between Russian officials and Donald Trump team http://www.independent.co.uk/news/world/americas/donald-trump-russia-collusion-campaign-us-spies-nsa-agent-considerable-intelligence-a7613266.html …,2017-03-06 12:01:55,0,0,838842096358469638
Spies have ‘considerable intelligence’ of collusion between Russian officials and Donald Trump team http://www.independent.co.uk/news/world/americas/donald-trump-russia-collusion-campaign-us-spies-nsa-agent-considerable-intelligence-a7613266.html …,2017-03-06 11:56:08,0,0,838840641056567298
"@CNN Donald Trump is there when a company announces they are expanding to say that it is because of him, where is he when job cuts occur?",2017-03-06 11:44:20,3,1,838837670512050176
#music #culture ACLU Will Sue Over New Trump Travel Ban - Donald Trump signed a revised version of his infamous... http://ow.ly/knCk50a07QQ ,2017-03-06 10:47:14,0,0,838823302965694464
"https://www.google.com/amp/s/www.washingtonpost.com/amphtml/news/the-fix/wp/2017/03/05/trumps-evidence-free-claim-about-obama-wiretapping-him-is-indefensible-so-his-aides-arent-defending-it/ … look here 
Donald Trump is overwhelmed from  election, his business and running the White House  Vacation weekend.",2017-03-06 09:58:51,0,0,838811126834024448
" NYT op-ed calls for Donald Trump to 'Pause This Presidency'
#ThingsWeShouldInvestigate #Resisthttps://twitter.com/i/moments/838785442866728960 …",2017-03-06 09:58:24,0,0,838811011767484417
God bless Donald Trump and God bless the United States of America https://twitter.com/jessiejaneduff/status/838425824437100546 …,2017-03-06 09:58:19,1,0,838810990238183426
We talked about Donald Trump in class today because we were learning about defamation LMAO,2017-03-06 09:52:45,0,0,838809589575450624
Obama Admin Source Confirms Wiretapping Happened Against Donald Trump http://fb.me/8ODAqlYPT ,2017-03-06 09:37:15,0,0,838805690403729408
Obama Admin Source Confirms Wiretapping Happened Against Donald Trump | ... http://ln.is/www.youtube.com/CsL3n … via @YouTube,2017-03-06 09:37:07,0,0,838805656228544512
Donald Trump Attacks Bring Team Obama out of Retirement http://bit.ly/2n6o6ct ,2017-03-06 09:23:42,0,0,838802280619130881
" NYT op-ed calls for Donald Trump to 'Pause This Presidency'

https://twitter.com/i/moments/838785442866728960 …",2017-03-06 09:19:33,0,0,838801236946268169
I firmly believe this was a real quote made by Donald Trump pic.twitter.com/BsLgFuU5Pz,2017-03-06 09:01:44,2,0,838796752895504384
DEADLINE: David Letterman Calls On Alec Baldwin To Save America From Donald Trump http://ift.tt/2mbkPcD ,2017-03-06 08:04:07,0,0,838782250766512131
"I bet he'd laugh his ass off! ""What would Mark Twain think of Donald Trump?"" http://www.rawstory.com/2017/03/what-would-mark-twain-think-of-donald-trump/ … #DumbDonald #Trump #fb",2017-03-06 07:33:37,0,0,838774575970336773
Kellyanne Conway: Donald Trump has info and intelligence the rest of us do not - http://go.shr.lc/2lSmLG5  - @washtimes,2017-03-06 07:32:54,1,0,838774394843500544
"Al Franken DESTROYS ""LIAR"" Donald Trump and Jeff Sessions https://youtu.be/rt6XugWs2_0  via @YouTube",2017-03-06 07:25:20,3,1,838772494358220800
Late Night King David Letterman Calls Donald Trump a 'Stupid Son of a B*tch'  http://www.politicususa.com/2017/03/06/late-night-king-david-letterman-calls-donald-trump-stupid-son-btch.html …,2017-03-06 07:17:50,16,17,838770605973508096
fuck donald trump,2017-03-06 07:09:31,0,0,838768512801910786
Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-06 06:51:50,0,0,838764063572246528
Legal affairs of Donald Trump - Wikipedia omg!! #Impeach45 #TrumpTaxReturns #GoFundRepub $ makes them talk https://en.m.wikipedia.org/wiki/Legal_affairs_of_Donald_Trump …,2017-03-06 06:49:16,0,0,838763417318146050
#Impeach45 #GoFundRepub David Letterman calls Donald Trump crazy and says Russians groomed him http://dailym.ai/2n4jIL4  via @MailOnline,2017-03-06 06:36:41,0,0,838760247426760704
"Donald Trump is in trouble whether his wiretap claim was true or not, Chuck Schumer says https://www.yahoo.com/news/donald-trump-trouble-whether-wiretap-182240851.html?soc_src=hl-viewer&soc_trk=tw … via @YahooNews",2017-03-06 06:02:09,0,0,838751560020549632
Donald Trump’s Worst Deal - The New Yorker https://www.google.com/amp/www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal/amp …,2017-03-06 06:01:27,0,0,838751380517109761
Spies have ‘considerable intelligence’ of collusion between Russian officials and Donald Trump team http://www.independent.co.uk/news/world/americas/donald-trump-russia-collusion-campaign-us-spies-nsa-agent-considerable-intelligence-a7613266.html …,2017-03-06 05:58:15,0,0,838750577790177280
"How donald trump surfed public anger to the presidency  As evening fell on November 6, just two days before what is arguably the most ...",2017-03-06 05:57:03,0,0,838750276303609856
