Text,Date,Favorites,Retweets,Tweet ID
Congress to probe Donald Trump's explosive claims Barack Obama wiretapped him http://www.telegraph.co.uk/news/2017/03/05/trump-renews-attack-obama/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-05 15:52:51,0,0,838537825851162624
Donald Trump’s Hoodwinking Of Working Class People Now Complete http://bit.ly/2lu3fDv  -via Flynxpic.twitter.com/k4Htyz7WXY,2017-03-05 15:36:34,0,0,838533728813068288
RT @AmazngEbooks Does the thriller ZERO GOD warn about Donald Trump? Read the post by @TommyBirkAuthor http://smarturl.it/TBtrum  #amreading,2017-03-05 15:28:15,1,2,838531633577865216
"@100PercFEDUP @howardmclainjr Birds of a feather flock together! But, they never believed millions of Americans would vote 4 Donald Trump!",2017-03-05 15:28:10,0,1,838531613474582528
"Acknowledge the elephant in the room: Donald Trump is mentally ill, and will NOT get any better. How much damage do we have to endure?",2017-03-05 14:38:44,0,0,838519171252117506
"#TrumpTaxReturns #HR305 #TrumpTaxes #S26
Al Franken: 'We don't know what the Russians have on Donald Trump' -  http://abcn.ws/2n2vuFE  @ABC",2017-03-05 14:32:14,0,0,838517539449765890
"“We don’t know what the Russians have on Donald Trump. And ... we need to see his tax returns.”
@AlFranken #S26 #HR305 #HR371
#MNproud",2017-03-05 14:29:56,0,0,838516958761009154
RT @AmazngEbooks Does the thriller ZERO GOD warn about Donald Trump? Read the post by @TommyBirkAuthor http://smarturl.it/TBtrum  #amreading,2017-03-05 13:24:17,0,0,838500435279425537
"Donald Trump, Mosul, China: Your Morning Briefing https://nyti.ms/2n315qM ",2017-03-05 12:27:46,0,0,838486213724155904
Donald Trump's Bad Deals: Marty Rosenberg on Trump Taj Mahal | Election ... https://youtu.be/r7j86EC6gAM  via @YouTube We all know what Trump is.,2017-03-05 11:40:30,0,0,838474319839776769
@Impeach_D_Trump Donald Trump just cannot take a good picture. That face is worth a million lies.,2017-03-05 10:54:29,2,0,838462740700270593
Donald Trump With A Shocking Statement About Marijuana: I Will Legalize It In All 50 States! http://longlivehealthtip.online/donald-trump-with-a-shocking-statement-about-marijuana-i-will-legalize-it-in-all-50-states/ …,2017-03-05 10:37:13,1,3,838458391869652993
‘DC insiders seek to defeat Donald Trump - even in aftermath of his victory’ – ex CIA agent - YouTube https://www.youtube.com/watch?v=OhkcU1Ls0fs …,2017-03-05 10:11:01,1,0,838451801150140417
Ten ways Donald Trump has already made America - and the world - great again http://www.haaretz.com/us-news/.premium-1.775333 …,2017-03-05 09:34:43,0,0,838442665523937280
Mark Levin PROVES Obama Wiretapping on President Donald Trump | Fox & Friends 3/5/17 - YouTube https://www.youtube.com/watch?v=91fNfGjZdM0 …,2017-03-05 08:16:38,1,1,838423014974844929
Weekend Update on Donald Trump's Wiretapping Accusation - SNL https://youtu.be/O4PlNQ9Uhzg  via @YouTube,2017-03-05 08:15:11,0,0,838422650263326720
#MarkLevin PROVES #Obama #wiretapping @POTUS #DonaldTrump. |Fox & Fr... https://youtu.be/91fNfGjZdM0  via @YouTube #wiretap #Obamagate #sessions,2017-03-05 08:03:15,1,0,838419646755790848
"Senator Franken: 

""The president of the United States did not tap Donald Trump's phone. I mean, that's just... http://fb.me/8KmRv4nj0 ",2017-03-05 07:51:42,0,0,838416738970664960
"Poll: Do you believe Barack Obama wiretapped Donald Trump?; I voted NO, https://goo.gl/Qqj9xD  #poll via @opinionstage",2017-03-05 07:45:19,0,0,838415134641045504
@CNNPolitics @brontyman @Bakari_Sellers @CNN Are we still talking about Donald Trump. Why isnt he fired and in some type of mental ward.,2017-03-05 07:44:18,0,0,838414875680518144
"A history lesson on Donald Trump, Roy Cohn and Sen. Joe McCarthy http://strib.mn/2m6BzS4  #McCarthy #Trump",2017-03-05 06:10:43,1,0,838391325296844801
"Roger Stone, Sean Hannity, Donald Trump, Mark Levine, Alex Jones & Steve Bannon are destroying our country they are  #racist & #Hypocrite",2017-03-05 04:31:29,5,0,838366352335319040
Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building http://www.palmerreport.com/opinion/trump-russia-conspirator-alex-oronov-dies-suspiciously-he-lived-in-donald-trumps-building/1786/ … via @PalmerReport,2017-03-05 03:49:12,3,4,838355713709780993
