Text,Date,Favorites,Retweets,Tweet ID
Analysis: Donald Trump's presidency has veered onto a road with no... http://ln.is/Yv03A  by #washingtonpost via @c0nvey,2017-03-05 14:47:19,0,0,838521332765687809
@ReliableSources @plantecbs So we can now all just say.. Donald Trump Touched me Inappropriately.. By False reporting leading by Example,2017-03-05 14:17:38,0,0,838513861514915840
The only minority Donald Trump cares about and advocates for is the 3% of scientist who don't believe in global warming.,2017-03-05 13:53:49,6,0,838507869293137920
It's Donald Trump's great wall pic.twitter.com/cTtLgLsgVr,2017-03-05 11:56:57,1,0,838478459483619328
Did you know that Donald Trump is the father of April the giraffes baby? #icanmakestuffuptoodonald #baselessclaims #TrumpLies #BigLittleLies,2017-03-05 09:39:17,0,0,838443812515102721
Imagine your head on that statue @BenSasse. #SNL immortalizes TBD Republican who saves the country from Donald Trump http://uproxx.it/2mS8cmr ,2017-03-05 09:09:20,0,0,838436278404263941
"@washingtonpost ""Donald Trump is who we thought he was""  Nuts?",2017-03-05 06:44:56,0,0,838399937855504386
Donald Trump is a sick man. Paranoid about being wire tapped in his golden nest at t-rump tower. The world is laughing at us. Putin wins.,2017-03-05 05:06:00,3,1,838375038764081152
"Eminem Slams President Donald Trump, Calls Him 'a Bitch' - Us Weekly http://dlvr.it/NXtGDz ",2017-03-05 03:48:33,1,0,838355548449878016
"Sources: Donald Trump Listened In On Phone Lines At Mar-A-Lago
http://crwd.fr/2m6ZzET pic.twitter.com/TJwyoNGtnD",2017-03-04 22:24:03,0,0,838273886269628418
"Donald Trump holding campaign rallies in October 2016.  Meanwhile, Obama administration wiretapping Trump Tower. pic.twitter.com/CUYXWFUdRj",2017-03-04 19:52:11,0,1,838235666819477506
"It's insane to me that it's possible to tweet something super gnarly and mean to Donald Trump, and then get picked up by the Secret Service.",2017-03-04 19:44:56,0,0,838233845195550722
