Text,Date,Favorites,Retweets,Tweet ID
"I liked a @YouTube video http://youtu.be/sqBAb1sUgZ0?a  President Donald Trump Speech Today 2/28/2017 , Addresses the Joint Session of",2017-03-04 14:48:59,0,0,838159364712185856
@MagaFeed @DonaldJTrumpJr Obama is going down as 1 of the worst president this country has ever thank God for Donald Trump and we are proud,2017-03-04 12:48:54,1,0,838129145913589760
‘This is Watergate’: Donald Trump accuses Barack Obama of ‘wire tapping’ Trump Tower; Australia sinks the boot into… https://sharingzones.wordpress.com/2017/03/04/this-is-watergate-donald-trump-accuses-barack-obama-of-wire-tapping-trump-tower-australia-sinks-the-boot-into-india-sydney-celebrates-mardi-gras …,2017-03-04 11:52:12,0,0,838114876484648960
@MMFlint @Salon I hope Donald Trump sues you for slender,2017-03-04 11:43:48,1,0,838112761250971648
I've just posted a new blog: 'This is Watergate': Donald Trump accuses Barack Obama of 'wire tapping' Trump Tower;… http://bit.ly/2lIxRws ,2017-03-04 09:56:34,0,0,838085774209867777
Donald Trump claims 'sick' Barack Obama had his 'phones tapped in Trump Tower' before US election win https://www.thesun.co.uk/news/3009405/donald-trump-barack-obama-wires-tapped-trump-tower/ …,2017-03-04 09:39:07,0,0,838081385554305024
"@realDonaldTrump What President Obama did to Donald Trump, his political opponent is very Putinesque!  Democrats can not win on issues!",2017-03-04 09:28:45,0,0,838078773991874561
@tedlieu You're an idiot!https://twitter.com/tedlieu/status/838044902961229824 …,2017-03-04 08:09:20,0,0,838058790721236992
No wonder why @NancyPelosi @SenSchumer was throwing smoke with #Russians #sessions @GenFlynn scam #ObamaGate @GenFlynn should be reinstated!,2017-03-04 07:58:05,2,3,838055956571279360
Next #Hannity is going to be a ratings bonanza BOMBSHELL!https://twitter.com/seanhannity/status/838021551794577409 …,2017-03-04 07:54:18,0,0,838055004351021057
F'ing morons. #WaPo #DonaldTrump #CNN #MSNBC #FauxNews #BBC #CBC #DNC #RNC #USNavy #CTV #IllegitimatePOTUS #PresidentPIG #DouchebagInChiefhttps://twitter.com/washingtonpost/status/837276051801796608 …,2017-03-04 03:59:58,0,0,837996036123656195
"With all due respect,regarding past administration's habits & ethics you owe it to us, the American people full transparency! #WheresTheBillhttps://twitter.com/justinamash/status/837886601598484480 …",2017-03-03 23:48:14,0,0,837932684957511680
@foxandfriends @FoxNews C'Mon get out in front of it! @seanhannity @IngrahamAngle @BretBaier @DRUDGE @TuckerCarlson #WheresTheBill #MAGAhttps://twitter.com/BreitbartNews/status/837839794650611712 …,2017-03-03 23:43:23,0,0,837931464666800129
"To even be associated with them these days. Embarrassing ""Not On This Planet ""@NancyPelosi ""Fake Cryer"" @SenSchumer Give me a break!https://twitter.com/jess7719/status/837925591865139200 …",2017-03-03 23:39:36,1,0,837930509594312704
"@RandPaul #WheresTheBill the #Russians have it, the #Russians have it! Look for it there! Maybe fake Cryer @SenSchumer knows where it at?",2017-03-03 23:02:14,0,0,837921105864081408
@RandPaul @seanhannity @BretBaier @SpeakerRyan @newtgingrich @realDonaldTrump @POTUS #WheresTheBill ?,2017-03-03 22:52:13,0,0,837918585674579969
WTF @SpeakerRyan @seanhannity @BretBaier? Where's the bill & when can we read it?https://twitter.com/RandPaul/status/837345592590348288 …,2017-03-03 22:50:00,0,0,837918030852050944
Senator demands to see 'secret' Obamacare bill https://youtu.be/lSE-D3iRQDc  via @YouTubehttps://twitter.com/nv4donaldtrump/status/837916917356609536 …,2017-03-03 22:45:54,0,0,837916995265835009
Great performance by @RandPaul tonight!love the fact he has balls to shine a light on this!@SpeakerRyan @BretBaier @seanhannity WTF?,2017-03-03 22:45:35,1,0,837916917356609536
"LET'S GET AMERICA & HER VALUES BACK AGAIN. DONALD TRUMP IS THE MAN, WE HAVE TO GET IT GOING BY 2020...",2017-03-03 21:33:59,2,1,837898898131697664
.@CedricRichmond @KellyannePolls @donlemon #CNNTonight #CNN #KellyanneConway #TrumpAdmin #CedricRichmond #DonaldTrump #DNC #RNC #GOP #MSNBCpic.twitter.com/9Igq5O5bIL,2017-03-03 21:06:09,0,0,837891896089407489
