Text,Date,Favorites,Retweets,Tweet ID
"Bumper Sticker Ideas:
» Donald Trump, It's a Jeep Thing
» Jesus Loves You, Everyone Else Thinks Donald Trump is an Asshole",2017-03-07 15:59:56,0,0,839264382802505729
Roger Stone Rides Donald Trump’s Well-Tailored Coattails   https://nyti.ms/1Jn5jzS ,2017-03-07 15:59:52,0,0,839264365983449090
"@julianswainson whichever way you look at that picture, it still looks like Donald Trump@",2017-03-07 15:59:51,0,0,839264364779696129
Hacker Kim Dotcom on Wikileaks CIA Documents: Donald Trump Was Spied on 24-7 with His Phone http://www.thegatewaypundit.com/2017/03/hacker-kim-dotcom-wikileaks-cia-documents-donald-trump-spied-24-7-phone/ …,2017-03-07 15:59:48,0,0,839264351571828736
Donald Trump’s St Patrick’s Day cap ridiculed for featuring clover instead of shamrock http://www.telegraph.co.uk/news/2017/03/07/donald-trumps-st-patricks-day-cap-ridiculed-featuring-clover/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-07 15:59:48,0,1,839264349608792064
"@WhiteHouse I would not let my daughter within 100 yards of Donald Trump, for fear that he might grab her pussy.",2017-03-07 15:59:45,0,0,839264339081195520
Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-07 15:59:45,0,1,839264338347188227
"This is big: ""Donald Trump Met Russian Ambassador During The Campaign, Despite Repeated Denials""
http://www.huffingtonpost.com/entry/donald-trump-kislyak-russia_us_58bf087ee4b0e6e6ccb56870?ks0x2e97iy3ng3c8fr …",2017-03-07 15:59:38,0,0,839264308185956352
"Bumper Sticker Ideas:
» Honk if You're Donald Trump Tweeting
» Keep Calm… Donald Trump
» Hang Up and Be President
» I Brake 4 Fat Donald Tru",2017-03-07 15:59:35,0,0,839264297314222080
US President Donald Trump 'still has confidence' in FBI Director James Comey http://www.jokpeme.com/2017/03/us-president-donald-trump-still-has.html?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/twklD1GhpK,2017-03-07 15:59:35,0,0,839264294252371968
It was March 2017. Donald Trump was president. A member of One Direction was arrested.Women were restless. Anne Geddes remained at large. pic.twitter.com/CFcUkgsytq,2017-03-07 15:59:30,66,10,839264276497985537
Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … from http://flip.it/104T  via @Flipboard,2017-03-07 15:59:25,0,0,839264255568408576
"Donald Trump met and 'warmly greeted' the Russian ambassador during the campaign
http://m.dailykos.com/stories/1641090 ",2017-03-07 15:59:22,1,0,839264242595409921
there’s no way donald trump has never had a live hamster in his butthole.,2017-03-07 15:59:19,71,16,839264229710565381
