Text,Date,Favorites,Retweets,Tweet ID
Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets http://www.palmerreport.com/opinion/donald-trump-leaked-classified-info-tower-wiretap/1782/ … via @PalmerReport,2017-03-05 15:47:20,0,0,838536438132137986
@EliotETC Good thing you got out before Donald Trump started grabbing,2017-03-05 15:28:11,0,0,838531619006857217
"What #NeverTrumpers could #NeverUnderstand.
Donald Trump and the incredible power of psychological truth |  http://fxn.ws/2mNhXTe ",2017-03-05 14:54:25,0,0,838523122106118149
Actor Don Cheadle Says that Donald Trump Referred to Black Women as N***ers http://www.dailykos.com/story/2017/3/5/1640286/-Actor-Don-Cheadle-Says-that-Donald-Trump-Referred-to-Black-Women-as-N-ers …,2017-03-05 14:49:03,0,0,838521768579051521
One of three candidates reportedly being vetted by President Donald Trump to head the U.S. Customs and Border... http://fb.me/50yXweFHF ,2017-03-05 14:43:29,0,0,838520369870946305
Donald Trump inspires me to be more informed and to be more determined to #MAGA #tcot #ccothttps://twitter.com/SantosTrump/status/838518717487149056 …,2017-03-05 14:39:41,0,0,838519413313781760
#inners.  'House Of Cards' Creator Asks Twitter To Remove Donald Trump's Account | The Huffington Post http://m.huffpost.com/us/entry/us_58bc2c08e4b0b99894182ed0 …,2017-03-05 14:19:15,0,0,838514271088586752
Donald Trump's workout and diet routine is ill advised http://a.msn.com/05/en-us/AAmFgu9?ocid=st …,2017-03-05 14:00:13,0,0,838509479436120064
"@jhwarner that was the tweet, I believe, in which she claimed Donald Trump, Jr. smuggled Russians into Trump Tower",2017-03-05 13:59:43,1,0,838509354265493507
"@Donald_Trump_0.   Obama needs to face his illegal ways. Check out his slush fund, govt. paying retirement for his mum-in-law",2017-03-05 13:58:54,2,2,838509147960262656
Mark Levin PROVES Obama Wiretapping on President Donald Trump | Fox & Fr... https://www.youtube.com/watch?v=91fNfGjZdM0&feature=share …,2017-03-05 13:58:37,0,0,838509079601496064
#God's Plan & Concurrent Human Carnage http://pos.li/BFW1  #ISIS #Taliban #AlQaeda #Daesh #DonaldTrump #MikePence #USA #Israel #Iran,2017-03-05 13:31:06,0,0,838502154004475905
The Reality of #Wahhabism in #Islam http://stfi.re/jeykwyo  #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #AlQaeda #DonaldTrump #MikePence,2017-03-05 13:20:40,0,0,838499527694905345
"In 1927, Donald Trump’s father was arrested after a Klan riot in Queens http://fb.me/8yxZJOleB ",2017-03-05 13:04:35,0,0,838495480963268609
"""Donald Trump is nasty""

""By the way, my pussy has teeth but also hands to grab and shred  Republican dicks with ease""",2017-03-05 13:04:30,1,0,838495458196586497
Donald Trump's Ohio voters in the crosshairs of any reduction or elimination of Medicaid expansion: Thomas Suddes http://www.cleveland.com/opinion/index.ssf/2017/03/donald_trumps_ohio_voters_in_t.html#incart_river_mobile_index …,2017-03-05 12:25:10,2,2,838485562029899776
Watch S.N.L. Mercilessly Rip Republicans Who Refuse to Stand up to Donald Trump http://fb.me/5K4U1nS1l ,2017-03-05 12:00:24,0,0,838479326525927424
Separating the wheat from the chaff . . . #DonaldTrump #POTUS #SebastianGorka #Trumprussiapic.twitter.com/XLXfCDnS2U,2017-03-05 11:53:46,3,0,838477656475713536
Maybe the Russians tapped Donald Trump in his tower ,2017-03-05 11:50:48,2,0,838476909960970240
Wikileaks White House Leaks OBAMA Spied Wiretapped Donald Trump Family https://youtu.be/2GVxz7-kMVw  via @YouTube,2017-03-05 11:36:56,0,0,838473421004673024
@infowars Donald Trump doing what he says,2017-03-05 11:30:47,1,0,838471873247723520
@jaketapper Mark Levin PROVES Obama Wiretapping on President Donald Trump | Fox & Friends 3/5/17  https://m.youtube.com/watch?v=91fNfGjZdM0&ebc=ANyPxKpnZDUk3Rn3CX_bTxGYm5Yg_mH2zcD82KgFnr4xQBu_EMTpr3v3PQuzs985yqH8bNaxglkd …,2017-03-05 11:28:23,3,3,838471270261981185
'Saturday Night Live': Alec Baldwin's Donald Trump Can't Stop Tweeting During National Security Briefing | Billboard http://www.billboard.com/articles/news/7597361/alec-baldwin-donald-trump-tweeting-national-security-briefing-snl-saturday-night-live …,2017-03-05 11:25:23,1,1,838470513609560066
"Presidents can't order wire tapps. 
Presidents can't order wire tapps. 
Presidents can't order wire tapps. 
Donald Trump is a douche.",2017-03-05 11:13:22,1,1,838467491915517952
"Donald Trump is a joke, always has been a joke & always will be a joke. Yes, he's @POTUS but that says more about us than it does about him.",2017-03-05 11:06:47,3,0,838465832527212546
Mark Levin PROVES Obama Wiretapping on President Donald Trump | Fox & Fr... https://www.youtube.com/watch?v=91fNfGjZdM0&feature=share …,2017-03-05 11:03:50,0,0,838465090751954944
It's official if you voted for Donald Trump you're an idiot.,2017-03-05 10:57:46,0,0,838463564520259584
Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building https://www.palmerreport.com/opinion/trump-russia-conspirator-alex-oronov-dies-suspiciously-he-lived-in-donald-trumps-building/1786/ … via @PalmerReport,2017-03-05 10:52:15,0,0,838462177514254336
Breaking News: Donald Trump says he is convinced that men in black suits are following him every where he goes.,2017-03-05 10:47:33,0,0,838460995785928706
President @Real DonaldTrump expected to sign new executive order on immigration Monday. http://bit.ly/2lLKyq9 pic.twitter.com/uV4fFhyYek,2017-03-05 10:38:06,2,0,838458616789225472
Three Possible Reasons for Donald Trump’s Latest Obama Rant http://tdig.it/2mq5NSy ,2017-03-05 10:37:28,0,0,838458458093596672
