Text,Date,Favorites,Retweets,Tweet ID
"TV news channels have finally figured out how to call Donald Trump a liar, and it's glorious http://fusion.net/story/335854/cable-news-trump-lies/?utm_source=twitter&utm_medium=social&utm_campaign=socialshare&utm_content=theme_top_desktop … via @fusion",2017-03-06 15:55:48,1,1,838900954762199040
"#NoWorkEthic Donald Trump spends 31 percent of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://www.dailykos.com/story/2017/3/6/1640646/-Donald-Trump-spends-31-of-time-on-vacation-plays-golf-8-times-in-6-weeks-on-taxpayer-dime …",2017-03-06 15:30:07,0,1,838894493214588928
"Donald Trump sends out his troops to dispute the FBI, twist press accounts, and defend his insanity http://www.dailykos.com/story/2017/3/6/1640616/-Donald-Trump-sends-out-his-troops-to-dispute-the-FBI-twist-press-accounts-and-defend-his-insanity …",2017-03-06 15:29:12,0,1,838894262876008450
"@LikeMindedCloth 
You know who's not a ICON??
Donald Trump! That's why I choose this song to rap over
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-06 14:18:00,0,0,838876342519214081
"@RapSpotlights 
They kids should know about my song about Donald Trump!
https://soundcloud.com/summitandsammie/donald-trump-flows-prod-mf-doom …",2017-03-06 14:16:44,0,0,838876025291476992
"You would think a hotelier, like Donald Trump, would get this. You would be wrong. https://twitter.com/ustravel/status/838860254616162304 …",2017-03-06 13:59:24,1,0,838871660849688576
Making sense of Donald Trump’s unsubstantiated accusations against his predecessor - The Economist https://apple.news/ATV2rhRPfSJa4eMe9NpZ0Sg …,2017-03-06 13:22:11,0,0,838862298601177089
White House Sources Say Donald Trump Is Very Upset His White House Is Leaky as Hell - GQ https://apple.news/AiMZM3I3_Q3u9SO0zAA2phw …,2017-03-06 13:21:59,0,0,838862247963332608
Susan Sarandon on Donald Trump: 'I think he's a horrible person' - Entertainment Weekly https://apple.news/AB1SAKZDjTai_X6EvT6_Plg …,2017-03-06 13:20:59,0,0,838861993461297154
Stephen King Trolls Donald Trump’s Wiretap Claim With Hair-Raising Horror Story - TIME https://apple.news/AI056tBbTRg6_blJx0Uradg …,2017-03-06 13:20:44,0,0,838861929842106368
Rep Adam Schiff is on CNN basically saying there is a chance Donald Trump is Batshit crazy. Glad it is being talked about.,2017-03-06 13:18:59,1,0,838861489394057217
WELL LET'S HAVE A TEST.....START WITH DONALD TRUMP. https://twitter.com/washingtonpost/status/838846420476100610 …,2017-03-06 13:12:08,0,0,838859766214574080
I did not vote from him.  He needs to go home & spread his crazy. Chuck Schumer's Plan To DEFEAT Donald Trump http://thefederalistpapers.org/?p=113972 ,2017-03-06 12:49:11,0,0,838853993950507008
The Unbelievable Timeline of Leaks Relating to Donald Trump and Russia http://theresurgent.com/the-unbelievable-timeline-of-leaks-relating-to-donald-trump-and-russia/ … via @ewerickson. No proof offered!,2017-03-06 12:21:53,1,0,838847123223367680
This is what President Donald Trump sees when he opens his Twitter feed http://cnn.it/2lUtsak pic.twitter.com/tGDdYMyOmr,2017-03-06 12:17:06,0,0,838845918594093056
Dude are you telling me Donald Trump doesn't have a private email? And FBI cleared her emails LAST year https://twitter.com/lorddkb/status/838819294255464448 …,2017-03-06 10:33:00,0,0,838819720233091072
"J.K. Rowling trolls Donald Trump with the most Brit. Ref. ever
http://0rn.co/9aF 
Just when you think J.K. Rowling might have...",2017-03-06 09:12:04,0,0,838799350981660672
Barack Obama Spotted Out for First Time Since Denying Donald Trump's Unsubstantiated Wiretap Claims - People https://apple.news/AZvNOXxVTT1G4YgODheOz0Q …,2017-03-06 08:44:52,0,0,838792508347977728
"Silent Coup: Obama, FISA, NSA, Deep State vs. President Donald Trump http://fb.me/TTqWLDII ",2017-03-06 08:34:31,0,0,838789901415931904
David Letterman Wants One More Chance to Interview Donald Trump http://dlvr.it/NYP6n1 pic.twitter.com/L5yHKcnqOz,2017-03-06 08:04:28,0,0,838782342302842881
David Letterman Wants One More Chance to Interview Donald Trump http://dlvr.it/NYP6mZ pic.twitter.com/dNAF8ed6ht,2017-03-06 08:04:27,0,0,838782336187658240
Kinda like how Donald Trump had no chance on winning the presidency? https://twitter.com/sportscenter/status/838575273163489281 …,2017-03-06 07:58:21,8,3,838780801005334529
Blog: Donald Trump channels George Foreman: Taste my power http://www.americanthinker.com/blog/2017/03/donald_trump_channels_george_foreman_taste_my_power.html#.WL18TAs9TgQ.twitter …,2017-03-06 07:12:14,0,0,838769196846698497
Most UPSET Reactions to Donald Trump Winning Election Against Hillary https://youtu.be/XnTnpN2H34A  via @YouTube never get tired of this!,2017-03-06 07:03:33,2,2,838767010674790400
The Unbelievable Timeline of Leaks Relating to Donald Trump and Russia http://theresurgent.com/the-unbelievable-timeline-of-leaks-relating-to-donald-trump-and-russia/ … via @ewerickson,2017-03-06 06:12:56,1,1,838754273731149824
#StephenKing mocks #DonaldTrump over #Obama wiretapping claims; compares his administration to #TheStupids moviehttp://bit.ly/2me18SZ ,2017-03-06 05:25:46,0,0,838742402080862208
The Man Who Taught Donald Trump To Pit Gay People Against Immigrants https://www.buzzfeed.com/lesterfeder/geert-wilders-the-netherlands …,2017-03-06 05:14:15,0,0,838739506153009153
Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets http://fb.me/7I67RRbBo ,2017-03-06 03:34:36,0,0,838714426899464194
"Alex Oronov, organizer of Russia-Ukraine blackmail plan sent to Donald Trump, dies suspiciously http://www.palmerreport.com/opinion/alex-oronov-organizer-russia-ukraine-blackmail-plan-sent-donald-trump-dropped-dead/1785/ … via @PalmerReport",2017-03-05 22:10:52,1,0,838632956088418304
"Carter Page fires back, says Donald Trump was behind Russia conspiracy at GOP Convention http://www.palmerreport.com/opinion/carter-page-fires-back-says-donald-trump-behind-russia-conspiracy-gop-convention/1781/ … via @PalmerReport",2017-03-05 22:10:23,0,0,838632833774141442
"Apoplectic Donald Trump has Reince Priebus, Steve Bannon removed from Air Force One flight http://www.palmerreport.com/politics/apopleptic-donald-trump-reince-priebus-steve-bannon-removed-air-force-one-flight/1799/ … via @PalmerReport",2017-03-05 22:10:00,0,1,838632737393283072
Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building http://www.palmerreport.com/opinion/trump-russia-conspirator-alex-oronov-dies-suspiciously-he-lived-in-donald-trumps-building/1786/ … via @PalmerReport,2017-03-05 22:09:51,0,0,838632699367686144
Donald Trump’s wiretap tweets may have been distraction from Preibus-Bannon plane incident http://www.palmerreport.com/opinion/donald-trumps-wiretap-tweets-may-distraction-preibus-bannon-plane-incident/1800/ … via @PalmerReport,2017-03-05 22:07:02,1,1,838631990916186113
Donald Trump could be the first President without a dog in the White House in nearly 130 years http://www.independent.co.uk/news/world/americas/donald-trump-white-house-dog-goldendoodle-first-us-president-130-years-bo-a7604206.html …,2017-03-05 21:32:04,0,0,838623191031513088
"How about it @ twitter
Is Twitter Censoring Positive Replies to Donald Trump's Tweets? » Alex Jones' Infowars:
http://crwd.fr/2lTdPjR ",2017-03-05 20:15:01,1,0,838603803167440896
Obama Admin Source Confirms Wiretapping Happened Against Donald Trump | ... https://youtu.be/-wgv-M4g_nc  via @YouTube,2017-03-05 19:44:13,1,0,838596049056956417
Actor Don Cheadle Says that Donald Trump Referred to Black Women as N***ers http://www.dailykos.com/story/2017/3/5/1640286/-Actor-Don-Cheadle-Says-that-Donald-Trump-Referred-to-Black-Women-as-N-ers …,2017-03-05 19:11:38,0,1,838587850220240896
"Donald Trump’s triumph is too much for his son Barron, who can barely stay awake https://www.thesun.co.uk/living/2147584/donald-trumps-late-night-triumph-proves-too-much-for-his-exhausted-young-son-barron-who-can-barely-stay-awake-during-his-dads-victory-speech/ …",2017-03-05 18:54:18,0,0,838583486831296512
Haha! The Ballad Of Donald Trump by @xenihttps://twitter.com/i/moments/838063772258349056 …,2017-03-05 18:21:37,0,0,838575263424344065
"COMMENTARY: Donald Trump can make a difference in Indian Country
Patrick B. McGuigan http://ow.ly/Uc85309C47l ",2017-03-05 18:21:31,0,0,838575237771984896
"Has Donald Trump Been Your Pick For President Since Beginning Of Election Season?; I voted Yes, http://ln.is/en-volve.com/2016/08/pUQCK …",2017-03-05 17:56:50,0,0,838569025613488129
"POLL: Do You Support Donald Trump’s Plan To IMMEDIATELY Deport ALL Criminal Aliens?; I voted YES, http://ln.is/goo.gl/0hLX3 ",2017-03-05 17:54:49,0,0,838568521281986560
ROFLMBO!!  Donald Trump Is Making Barbra Streisand Fat http://www.chicksontheright.com/donald-trump-is-making-barbra-streisand-fat/ … via @chicksonright,2017-03-05 16:41:30,0,0,838550067111931904
Mark Levin PROVES Obama Wiretapping on President Donald Trump: http://youtu.be/zTmty5QnSMQ?a  via @YouTube,2017-03-05 16:20:44,1,2,838544842699517952
