Text,Date,Favorites,Retweets,Tweet ID
#Sessions #donaldtrump #benghazi #fastandfurious #IRSGate #BabyParts #fthood #Media #ChuckyDollSchumer #InvestigateObamahttps://twitter.com/ten_gop/status/837457662883221507 …,2017-03-03 15:42:40,0,0,837810485521047554
Donald Trump's attempt to shift Russia focus to Chuck Schumer is more than a little desperate http://www.huffingtonpost.com/entry/donald-trump-chuck-schumer-russia_us_58b9b656e4b05cf0f40060d4?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-03 15:23:46,0,0,837805729301975040
Michael Moore's 5-point plan for 2017 (and Donald Trump) http://www.msnbc.com/the-last-word/watch/michael-moore-s-5-point-plan-for-2017-and-donald-trump-840016963621 … via @msnbc,2017-03-03 14:52:06,0,0,837797762531897344
Sen. Perdue: Democrats Are 'Focused on Sabotaging' Donald Trump - Breitbart http://www.breitbart.com/big-government/2017/03/02/senator-perdue-democrats-sabotaging-trump-sessions/ …,2017-03-03 14:47:25,23,43,837796584679100416
Bernie Sanders just delivered a scathing response to Donald Trump's first address to Congress http://www.motherjones.com/politics/2017/02/bernie-sanders-donald-trump-congress-speech … via @motherjones,2017-03-03 14:38:46,0,0,837794406652502016
"Oregonian: Arnold Schwarzenegger exits 'Celebrity Apprentice,' and its Donald Trump 'baggage' … pic.twitter.com/bp6M0f82QN",2017-03-03 14:22:21,0,0,837790276181712896
via @TheEconomist Dazed and recused: Donald Trump’s latest Russia scandal http://www.economist.com/blogs/democracyinamerica/2017/03/dazed-and-recused?cid1=cust/ddnew/n/n/n/2017033n/owned/n/n/nwl/n/n/n/email …,2017-03-03 14:19:04,0,0,837789449220046848
My hand to God: Donald Trump has the emotional maturity of a 3rd grader. https://twitter.com/CNN/status/837788676562235393 …,2017-03-03 14:17:11,2,1,837788976169668609
Donald Trump: Good Education ‘Enriches Both the Mind and the Soul’ http://dlvr.it/NXHDKF pic.twitter.com/rNchKntGqS,2017-03-03 14:03:44,0,0,837785589961273344
Why Fox News just can’t quit Donald Trump - Vox http://www.vox.com/videos/2017/3/3/14802304/strikethrough-fox-news-donald-trump-rupert-murdoch-hannity …,2017-03-03 13:28:58,0,0,837776839493877762
"NEW VIDEO: Donald Trump ""will never be president"" | Donald Trump IS YOUR PRESIDENT https://youtu.be/4gqatewYsOU  via @YouTube
#politics #Trump",2017-03-03 13:16:51,0,0,837773792415907840
Homeland Security Still Doesn't Think Donald Trump's Immigration Order Will Work | The Huffington Po http://pinterest.com/pin/153474299782779088/ …,2017-03-03 13:05:28,0,0,837770926422966274
"Trump Fact 42: #DonaldTrump, for inappropriate use of the #StankyLegg, was the first 60 year old to go to juvy. @realDonaldTrump #trumpfacts",2017-03-03 12:49:01,0,1,837766784992296961
