Text,Date,Favorites,Retweets,Tweet ID
Why Donald Trump isn’t involved with Bioceutica anymore (full review) http://mlmcompanies.org/bioceutica/ ,2017-03-06 15:53:15,0,0,838900313612513281
US travel ban questions answered: what has changed and what's next?: As Donald Trump issues a… http://m.tbnn.it/NYTlbL  | #Election2016,2017-03-06 12:00:28,0,0,838841733223874560
"President Donald Trump signs new travel ban, exempts Iraq http://via.fox43.com/Zi7Ql  via @fox43",2017-03-06 09:01:06,0,1,838796591360323586
I liked a @YouTube video http://youtu.be/cb8y39KQZRE?a  Kellyanne Conway Can’t Confirm If Donald trump Definitely Knows He Was Wiretapped,2017-03-06 05:28:23,0,0,838743061849047041
"""President Donald Trump *creates* weekend of fury""

#FixedThatForYouhttps://twitter.com/readingeagle/status/838728403851309059 …",2017-03-06 04:31:19,2,0,838728698866069506
"I liked a @YouTube video http://youtu.be/LnfeSitSbRA?a  Russia Oligarch, Donald Trump Camp Seen Intersecting | Rachel Maddow | MSNBC",2017-03-06 03:51:44,0,0,838718737838714880
#Harrisburg: Trump expected to sign new travel ban order - WASHINGTON (AP) — President Donald Trump is preparin... http://ow.ly/s1EJ509Zlfw ,2017-03-06 00:00:34,0,0,838660562376609793
I liked a @YouTube video http://youtu.be/uAwnXWOBeD8?a  Donald Trump HEATED White House fight CAUGHT ON TAPE!!!,2017-03-05 20:57:36,0,1,838614519261839369
I liked a @YouTube video http://youtu.be/P66oaAbOVLU?a  WOW! CNN guest says what we're ALL thinking about Donald Trump,2017-03-05 20:02:50,0,0,838600735549960192
"I liked a @YouTube video http://youtu.be/UpDaeldGJwk?a  ""There is ZERO proof"" FBI agent DESTROYS Donald Trump's wiretapping story",2017-03-05 17:24:48,0,0,838560965293719552
