Text,Date,Favorites,Retweets,Tweet ID
They're gonna repeal your health care and replace it with a tax cut for Paul Ryan and Donald Trump. https://twitter.com/SpeakerRyan/status/838893035102617600 …,2017-03-06 15:59:59,1,3,838902009713606660
A dear friend of mine who is a Donald Trump supporter and also very inspiring has me rolling around my room... http://fb.me/6uW46S9S4 ,2017-03-06 15:59:56,0,0,838901994186137600
"Jake Tapper DESTROYS Donald Trump's Obama wiretapping claim
@realDonaldTrump'S hysterical nonsense attack. #liarhttp://ln.is/www.youtube.com/jkc4e …",2017-03-06 15:59:52,0,0,838901979694903296
Analysis | The dangerous rage of Donald Trump http://wapo.st/2mXvZBQ?tid=ss_tw …,2017-03-06 15:59:52,0,0,838901977878790144
Here's why Donald Trump is full of shit https://twitter.com/businessinsider/status/838890433765863424 …,2017-03-06 15:59:48,0,0,838901962934484992
"@realDonaldTrump My idea was to bring back honestly and Integrity first, because no rational american should trust what we say at this point",2017-03-06 15:59:47,2,0,838901956970164224
"Donald Trump travel ban: This time 'there should be no surprises', the administration says http://www.abc.net.au/news/2017-03-07/trump-travel-ban-order-the-key-differences-analysis/8330702?pfmredir=sm … via @abcnews #travelban",2017-03-06 15:59:45,0,1,838901949038645248
@thehill I'm OK with that as the things that an egomaniacal idiot wants to do are typically not in our best interests as a nation.,2017-03-06 15:59:43,0,0,838901943292542977
Que contient le nouveau décret anti-immigration de Donald #Trump ? http://bit.ly/2lVECM0  #Cameroun #USApic.twitter.com/wEbzUIY3pm,2017-03-06 15:59:43,0,0,838901943061909504
Esse donald trump é um piroca kkkkkk,2017-03-06 15:59:41,0,0,838901931712073729
"@ScottHounsell like it was talking to Alfa Bank and turned out to be spamming it. There was not wiretapping on ""Donald Trump"" in general.",2017-03-06 15:59:40,0,0,838901930780827648
"Hayden: #DonaldTrump ""apparently forgot that he was president.""; I wish I could forget @realDonaldTrump is #POTUS.https://www.yahoo.com/news/ex-cia-director-on-wiretap-claim-trump-apparently-forgot-that-he-was-president-143941457.html?soc_src=social-sh&soc_trk=tw …",2017-03-06 15:59:40,0,0,838901928692224000
President Donald Trump is the most powerful cornered animal in the world https://www.theguardian.com/commentisfree/2017/mar/06/president-donald-trump-most-powerful-cornered-animal-world?CMP=Share_iOSApp_Other …,2017-03-06 15:59:40,0,0,838901926796283904
Harry Reid - between Donald Trump and Russia http://wapo.st/2eYGzY4?tid=ss_tw … @brettbaier @hannity,2017-03-06 15:59:39,0,0,838901922904027138
John McCain: Donald Trump gets it backwards on Vladimir Putin's Russia (via @Pocket)http://www.usatoday.com/story/opinion/2017/02/13/trump-gets-it-wrong-on-putin-russia-moral-equals-john-mccain-column/97822770/ …,2017-03-06 15:59:33,1,1,838901900166713344
@CNNSitRoom I think we should separate Ivanka from Trump to deter his presidency.,2017-03-06 15:59:30,1,0,838901888137441280
"the best part about donald trump in office is seeing the first response to any of his tweets, they always roast the living fuck out of him",2017-03-06 15:59:29,22,0,838901884219973634
"Sad to read that anyone thinks Lorne Michaels is the ""prince of New York"" when he helped normalized Donald Trump just last year.",2017-03-06 15:59:29,0,0,838901883402084353
Rayuela.- En tremendo enredo se ha metido Donald Trump. Hoy más que nunca su credibilidad está en juego.,2017-03-06 15:59:29,0,0,838901883242610689
Muslims in Congress blast Donald Trump's revised travel ban http://ind.pn/2n7YDzg  #NewslyTweet,2017-03-06 15:59:28,0,0,838901878050127876
"""Somebody need to take his damn twitter or something. It needs to be closed or paused for awhile"" - My Dad on Donald Trump",2017-03-06 15:59:26,0,0,838901870081032194
"Donald Trump spends 31 percent of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://www.dailykos.com/story/2017/3/6/1640646/-Donald-Trump-spends-31-of-time-on-vacation-plays-golf-8-times-in-6-weeks-on-taxpayer-dime …",2017-03-06 15:59:24,0,0,838901863223287808
Donald Trump http://www.truthdig.com/report/item/donald_trumps_greatest_allies_are_the_liberal_elites_20170305/ …,2017-03-06 15:59:24,0,0,838901859746205700
"America, you're doing it wrong! 

#Priorities | #HowBowDah #WakeUpAmerica #DonaldTrump #idiotspic.twitter.com/DXG8x3qJea",2017-03-06 15:59:22,0,0,838901854197149696
"amusing~
“Eat Meatloaf, Donald Trump” by Jay W. Cobb https://thebuckleyclub.com/eat-meatloaf-donald-trump-f3b9e51d8180#.m0hwi4c2r …",2017-03-06 15:59:22,0,0,838901851164663808
@SamuelLJackson Donald Trump is gonna deport you https://twitter.com/SamuelLJackson/status/838857880501641216 …,2017-03-06 15:59:20,0,0,838901843501727745
"Donald Trump is so dumb.
How dumb is he?
He so dumb he don't know that as POTUS he can demand to see the so-called FISA Warrant.",2017-03-06 15:59:19,0,1,838901839668133888
Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-06 15:59:18,0,0,838901834462867456
"Donald Trump spends 31 percent of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://www.dailykos.com/story/2017/3/6/1640646/-Donald-Trump-spends-31-of-time-on-vacation-plays-golf-8-times-in-6-weeks-on-taxpayer-dime …",2017-03-06 15:59:14,0,0,838901817761222662
Donald Trump is delusional. #MAGA,2017-03-06 15:59:13,0,0,838901813717815296
There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS!pic.twitter.com/X64jhPjDcm,2017-03-06 15:59:12,0,0,838901813185249280
Palm Beach's Congresswoman & Donald Trump's local rep making some news with 330 constituents. #TownHall #WeThePeople @realDonaldTrump #LGBThttps://twitter.com/compasscenter/status/838900957253599232 …,2017-03-06 15:59:12,5,2,838901811121696770
"Donald Trump spends 31 percent of time on vacation, plays golf 8 times in 6 weeks—on taxpayer dime http://www.dailykos.com/story/2017/3/6/1640646/-Donald-Trump-spends-31-of-time-on-vacation-plays-golf-8-times-in-6-weeks-on-taxpayer-dime …",2017-03-06 15:59:11,0,0,838901808768561154
Magic Johnson Compares Donald Trump To A Dictator! | TMZ TV http://rincon-movies.com/2017/02/04/magic-johnson-compares-donald-trump-to-a-dictator-tmz-tv/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter … #movies,2017-03-06 15:59:11,1,0,838901806939807744
"#tcot #radio
March 6 2017 Gary Gatehouse GETTINA AFTER LEFTY SHOW DONALD TRUMP COLLUDED WITH THE RUSSIANS https://www.podomatic.com/podcasts/garygatehouse/episodes/2017-03-06T15_58_09-08_00 …",2017-03-06 15:59:10,0,0,838901803383152640
"Retweeted RT en Español (@ActualidadRT):

Donald Trump ha firmado este lunes una nueva orden ejecutiva... http://fb.me/4FzbRM0W7 ",2017-03-06 15:59:08,0,0,838901793283272709
David Moss @StiglerCenter: America's weakened culture of democracy  might explain the rise of Donald Trump,2017-03-06 15:59:07,0,0,838901789567160321
@journorosa Donald Trump has ways of getting even with people who disagree with him.,2017-03-06 15:59:06,0,0,838901786672955392
@tedlieu Donald Trump is the Commander in Chief.  An a member of the USAF you are insubordinate.  As well as being an Idiot! @CantBeatKevinhttps://twitter.com/tedlieu/status/838891081924128768 …,2017-03-06 15:59:06,0,0,838901785876123648
"""Wolf in sheep's clothing"" Your 90-day clock has been ticking. Lacking resources @realDonaldTrump? Can @POTUS do it?http://www.foxnews.com/politics/2017/03/06/gop-lawmakers-get-behind-trump-immigration-order-reboot-amid-new-legal-threats.html …",2017-03-06 15:59:05,0,0,838901783116320769
@realDonaldTrump  New York wasn't able to get enough support for a national election until Donald Trump New York should be proud,2017-03-06 15:59:05,0,0,838901781962735616
