Text,Date,Favorites,Retweets,Tweet ID
#LiberalTerrorism Juan Thompson . Not Donald trump or any of his supporters.,2017-03-03 15:59:58,0,0,837814842085945344
"Akárhogy számoljuk is, Donald Trump szerint még csak ma van március első napja... http://fb.me/7Xl16b5PG ",2017-03-03 15:59:45,0,0,837814787371323393
"@REAL PRESIDENT DONALD TRUMP CNN IS ALWAYS GOING ON HOW GOOD AFRICA IS TO INVEST
DONT MENTION THE MASS KILLING OF WOMEN CHILDREN IN AFRICA",2017-03-03 15:59:44,0,0,837814783256715268
"When #45 (DonaldTrump) held media in roomed with black bags,Russian Spy  was near. Investigate THEM ALL!Find source of Russian Trump flags! pic.twitter.com/lSGP6bEnD1",2017-03-03 15:59:38,0,0,837814755188408320
Comrade donald trump should be in prison for for his collusion in the hacking of our nation....for refusing to comply with our constitution.,2017-03-03 15:59:28,0,0,837814716013629444
@OfficialSPGB @realDonaldTrump for someone that don't like Donald Trump you sure are on his crotch a lot,2017-03-03 15:59:28,0,0,837814713664811008
eu tentando me fazer de dificil pro @ é mais ridiculo q o Donald Trump,2017-03-03 15:59:21,0,0,837814687047766016
"Anti-Semitism Arrived In My Son’s School: This Is On You, Donald Trump http://hollywoodlife.com/2017/03/03/anti-semitism-schools-america-donald-trump-fault-cemeteries/ … via @Hollywoodlife",2017-03-03 15:59:20,2,1,837814679887994880
"Retweeted The Independent (@Independent):

Donald Trump's father 'was arrested at a Ku Klux Klan rally'... http://fb.me/11bNkprIF ",2017-03-03 15:59:19,0,0,837814678197694464
I fucking love Donald trump,2017-03-03 15:59:19,1,0,837814677631614977
Check out this #ebay deal: #4824 Donald Trump REAL Dollar Bill: Cash Money Memorabilia http://dlvr.it/NXJzcy pic.twitter.com/lINn7Ccbm0,2017-03-03 15:59:19,0,0,837814675744030720
Donald Trump: A True Narcissistic Sociopath (Full).  You must clear an hour to watch this!!  Explains a LOT!  https://www.youtube.com/watch?v=jkUFUkvNYAQ&feature=share …,2017-03-03 15:59:18,0,0,837814672879419392
Donald Trump runs into Twitter trouble with repeated spelling errors as his attempt to turn heat on Democrats goes awry …,2017-03-03 15:59:16,0,0,837814666344693762
"@Inform_Yourself @SenateDems Different smoke, different mirrors",2017-03-03 15:59:16,0,0,837814662620200961
Arnold Schwarzenegger exits Celebrity Apprentice blaming Donald Trump http://www.cbc.ca/1.4009305 ,2017-03-03 15:59:15,0,0,837814661219246080
Donald Trump runs into Twitter trouble with repeated spelling errors as his attempt to turn heat on Democrats goes awry …,2017-03-03 15:59:10,0,0,837814640306438145
