Text,Date,Favorites,Retweets,Tweet ID
Newly released inauguration photos confirm: Donald Trump is a pathetic loser http://www.dailykos.com/story/2017/3/7/1641013/-Newly-released-inauguration-photos-confirm-Donald-Trump-is-a-pathetic-loser …,2017-03-07 15:49:55,0,0,839261863061905410
Donald Trump thinks he was pretty clever shifting the Russia focus to Barack Obama. He wasn't http://www.independent.co.uk/voices/donald-trump-russia-barack-obama-wire-tapping-trump-tower-jeff-sessions-a7615071.html …,2017-03-07 15:36:17,0,0,839258431525629952
Hacker Kim Dotcom on Wikileaks CIA Documents: Donald Trump Was Spied on 24-7 with His Phone http://www.thegatewaypundit.com/2017/03/hacker-kim-dotcom-wikileaks-cia-documents-donald-trump-spied-24-7-phone/ …,2017-03-07 15:17:12,0,0,839253630452662274
@CNNPolitics @cnnbrk @POTUS a great president through and through true americans love donald trump,2017-03-07 14:04:14,0,0,839235265633845249
Hacker Kim Dotcom on Wikileaks CIA Documents: Donald Trump Was Spied on 24-7 with His Phone http://www.thegatewaypundit.com/2017/03/hacker-kim-dotcom-wikileaks-cia-documents-donald-trump-spied-24-7-phone/ …,2017-03-07 13:55:34,0,0,839233086458048513
Donald Trump's latest attack on Obama turns out to be completely false http://www.independent.co.uk/news/world/americas/donald-trump-guantanamo-barack-obama-vicious-prisoners-122-terrorists-released-bush-administration-a7616096.html …,2017-03-07 13:43:46,0,0,839230116467179522
Donald Trump's Justice Department Nominees Shrug Off Democratic Demands for Special Prosecutor - Breitbart http://bit.ly/2mTWX0e ,2017-03-07 13:41:01,0,0,839229424981721088
"Donald Trump, the unwanted Palm Beach mansion and the Russian fertilizer king http://fw.to/CrJfwUQ ",2017-03-07 13:36:21,0,0,839228247695110145
Lindsey Graham gave Donald Trump his new number http://usat.ly/2mCdYvk  via @usatoday,2017-03-07 13:35:41,0,0,839228081940332546
CIA provides binders full of classified evidence on Donald Trump and Russia to Senate Intel Committee http://www.palmerreport.com/politics/cia-provides-binders-full-of-classified-evidence-on-donald-trump-and-russia-to-senate-intel-committee/1816/ … PalmerReport,2017-03-07 13:28:11,0,0,839226193538875392
Donald Trump Approval Ratings Hit Lowest Among Past POTUS http://www.inquisitr.com/4034798/donald-trump-approval-ratings-hit-lowest-among-past-potus/ …,2017-03-07 13:21:03,0,0,839224399647617025
"@ARmastrangelo @rosalokey except that Assange is tied to Russia. It's one big slimy ouroboros. 
PS - Donald Trump manufactured the hoax part",2017-03-07 13:01:58,0,1,839219597337317380
Donald Trump says is terrific. Didn't you get the memo? https://twitter.com/AnnCoulter/status/839206197756559360 …,2017-03-07 12:42:38,0,0,839214732334804992
Congress Can Remove Donald Trump From Office Without Impeaching Him http://fb.me/5mG7KYKAa ,2017-03-07 12:16:29,0,0,839208148913242122
"@POTUS @snopes ...Donald Trump, what are you up to and Why? You and Ted Nugent have been photographed together. What are you planning?",2017-03-07 11:16:15,0,0,839192991822671872
Donald trump is retarded,2017-03-07 11:13:10,0,0,839192216157446145
FIRE THEM 'A Day Without a Woman': Anti-Donald Trump protest forces two US districts to cancel school https://www.yahoo.com/news/day-without-woman-anti-donald-162000643.html?soc_src=social-sh&soc_trk=tw … via @YahooNews,2017-03-07 11:12:39,0,0,839192086784135170
"I look at Donald Trump, & I honestly just can't believe that is our PRESIDENT",2017-03-07 11:12:07,1,0,839191951756898305
"@TedNugent @KKK_com You were photographed with Donald Trump before his phony win. He has Klan ties, too, they say.",2017-03-07 10:52:20,0,0,839186971830411264
Limbaugh: 'It Isn’t Unreasonable at All for Donald Trump to Suspect That He’s Being Tapped' - Breitbart http://bit.ly/2mckNRR ,2017-03-07 10:38:43,1,2,839183545633492992
Official Photos End the Donald Trump vs. Barack Obama Inauguration Crowd Size Debate http://people.com/politics/official-photos-released-trump-inauguration/ … via @people,2017-03-07 10:14:36,0,0,839177476035203072
@realDonaldTrump Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:51:50,0,0,839171747115053057
@mike_pence Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:51:38,0,0,839171698385649669
@SenJohnMcCain Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:51:28,0,0,839171656585265152
@FoxNews Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:51:18,0,0,839171613127999488
@PressSec Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:51:05,0,0,839171559076003841
@elizabethforma Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:50:54,0,0,839171513609781248
Donald Trump should stay at the Southern White House until impeachment. Then take a permanent vacation in Russia.,2017-03-07 09:50:44,0,0,839171470249062400
Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 09:37:44,0,0,839168199090266112
“Trumpistan” is India’s new cable news show all about Donald Trump https://news.vice.com/story/trumpistan-is-indias-new-morning-cable-news-show-all-about-donald-trump … via @vicenews,2017-03-07 09:32:26,0,0,839166864244805632
Donald Trump's chief strategist keeps referring to this French novel 'revered by white supremacists' https://www.indy100.com/article/donald-trump-steve-bannon-french-novel-racism-immigration-camp-of-the-saints-7612116 …,2017-03-07 09:29:45,0,0,839166188743770113
"Americans are preparing for the apocalypse, because Donald Trump https://www.indy100.com/article/american-liberals-trump-apocalypse-bunker-armageddon-nuclear-war-shelter-7613741 …",2017-03-07 09:28:09,0,0,839165788053458945
This emergency room doctor is informing people Donald Trump is president and documenting their reactions https://www.indy100.com/article/donald-trump-president-amnesia-doctor-emergency-services-united-states-7614201 …,2017-03-07 09:27:49,0,0,839165705341796352
@LindaSuhler @DonaldTrump_Rev AWESOME PRESIDENT.. I WOULD LIKE TO TOUR THE WHITE HOUSE AND SEE HIM..,2017-03-07 09:25:25,5,3,839165100695121925
David Letterman calls President Donald Trump 'ignorant' - ABC News - http://abcn.ws/2mOtTax  via @ABC,2017-03-07 09:25:00,0,0,839164996416307200
Exclusive—The Remembrance Project Is Moving to D.C. to Support Donald Trump's VOICE Program - Breitbart http://bit.ly/2mSampw ,2017-03-07 09:24:26,0,0,839164852560146433
Republicans Just Watch as Donald Trump Goes Wild http://thebea.st/2lWBDTM  via @thedailybeast,2017-03-07 09:24:05,0,0,839164764882362368
Donald Trump: Healthcare Bill Up for ‘Review and Negotiation’ http://bit.ly/2n1nKEH ,2017-03-07 09:21:56,0,0,839164223196377088
Trevor Noah smacks down Donald Trump's bizarre tweeting: 'He's a proven troll' http://www.huffingtonpost.com/entry/donald-trump-wiretap-conspiracies-troll-daily-show_us_58be3556e4b09ab537d64ca3?ncid=engmodushpmg00000004 … via @HuffPostComedy,2017-03-07 09:21:19,0,0,839164067021533188
What is Donald Trump hiding in his tax returns? And will they ever see the light of day? http://fw.to/88D6oma ,2017-03-07 09:20:46,0,0,839163929423134720
Donald Trump's wiretap tweets raise his risk of impeachment http://fw.to/g4KI4nE ,2017-03-07 09:20:14,0,0,839163796614754305
D.C.’s toughest gig: Defending Donald Trump http://politi.co/2lVEr3q ,2017-03-07 09:19:41,0,0,839163659477725186
The dangerous rage of Donald Trump http://www.mypalmbeachpost.com/news/the-dangerous-rage-donald-trump/BszM7bDCUsGcmDMPfMf1fK/ …,2017-03-07 09:19:17,0,0,839163556058771456
Chris Rock in Richmond: 'Donald Trump is America's natural state. Obama was an aberration' http://www.richmond.com/news/national-world/ap/chris-rock-in-richmond-donald-trump-is-america-s-natural/article_ee96855a-cf2d-50ea-a5dc-c9832dccb1b4.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @rtdnews,2017-03-07 09:18:53,0,0,839163456905437184
Donald Trump Is Trying to Play Black Americans via @thenationhttps://www.thenation.com/article/donald-trump-is-trying-to-play-black-americans/ …,2017-03-07 09:18:23,0,0,839163330954739713
This is one of many reasons I'm proud President Donald Trump is MY president! https://twitter.com/worldnetdaily/status/839162027801260033 …,2017-03-07 09:16:10,0,0,839162773250658306
Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 08:38:03,1,0,839153179476504577
Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 08:12:02,0,0,839146631547269121
"Donald Trump, Reince Prebus, Paul Ryan, Jason Chaffetz, Mitch McConnell, Steve Bannon, Steve Miller, Sebastian Gorka most hated n America",2017-03-07 07:39:25,0,0,839138424330338305
Donald Trump gets to decide whether you deserve overtime pay http://www.huffingtonpost.com/entry/donald-trump-overtime-pay_us_58b75299e4b019d36d108dd3?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-07 07:33:59,0,0,839137059084386306
"Donald Trump is President, the Bulls suck, and the new QB for the Bears is a dude with a ridiculously long neck. #justshootmenow",2017-03-07 05:30:38,0,0,839106013252972544
"Majority View Establishment Media as 'Opposition Party' to Donald Trump, Says Poll - Breitbart http://www.breitbart.com/big-government/2017/03/06/poll-media-opposition-party-donald-trump/ …",2017-03-07 04:56:19,0,0,839097377445330944
@ivi_xi r.i.p donald trump,2017-03-07 04:25:03,1,0,839089510684086274
Donald Trump's Two Faces: President and Provocateur http://paper.li/Talut/1387026153?read=http%3A%2F%2Ftime.com%2F4691425%2Fdonald%2Dtrump%2Drussia%2Dobama%2Dfbi%2F …,2017-03-07 04:02:24,0,0,839083811774291969
Donald Trump,2017-03-07 02:57:34,0,0,839067493574537216
Donald Trump's tweets about Obama 'wiretapping his phone' could set a dangerous precedent | The Independent http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-wiretap-claim-tweet-barack-obama-backfire-leak-classified-a7612216.html …,2017-03-06 20:58:56,2,0,838977243112165376
Donald Trump's wiretap tweets raise his risk of impeachment - Chicago Tribune -  http://www.chicagotribune.com/news/opinion/commentary/ct-trump-impeachment-wiretapping-20170306-story.html …,2017-03-06 20:32:11,0,0,838970510461583360
Former Trump employee: Donald Trump admitted to illegally wiretapping his employees - Palmer Report https://www.palmerreport.com/politics/former-trump-employee-donald-trump-admitted-wiretapping-phones-employees/1811/ …,2017-03-06 20:31:40,0,0,838970378269650949
"Donald Trump's hotel in Azerbaijan linked with corruption, Iran's Revolutionary Guard... http://ln.is/PVCcX  by #Sam38G via @c0nvey",2017-03-06 19:57:17,0,0,838961728486539265
"@laura_thoman Yes, Flynn being captured on wire tapped line and Donald Trump/Trump Tower being tapped are two different things entirely.",2017-03-06 19:54:32,0,0,838961035679780865
Businessman with links to Russia and Donald Trump dies in unexplained circumstances http://www.independent.co.uk/news/world/americas/ukranian-businesman-russia-and-donald-trump-dies-michael-cohen-michael-flynn-donald-trump-vladimir-a7612866.html …,2017-03-06 19:48:40,0,0,838959558278135808
Spies have ‘considerable intelligence’ of collusion between Russian officials and Donald Trump team http://www.independent.co.uk/news/world/americas/donald-trump-russia-collusion-campaign-us-spies-nsa-agent-considerable-intelligence-a7613266.html …,2017-03-06 19:47:04,1,0,838959153913683970
@WayneDupreeShow @spreaker @POTUS #DonaldTrump beat #obama and he couldn't get it done ,2017-03-06 19:20:13,0,0,838952400794828800
@NewsandGuts #RESISTANCE #Impeach45 #DonaldTrump #CountryBeforePartypic.twitter.com/nE2kbgM0X3,2017-03-06 19:05:38,0,0,838948730065809409
@robertwolf32 @randyprine @RichardHaass Donald Trump,2017-03-06 18:39:46,0,0,838942217314131970
Donald Trump's grandfather begged a German prince not to be deported https://www.indy100.com/article/trump-grandfather-deportation-letter-travel-ban-executive-order-7614656 …,2017-03-06 17:43:06,0,0,838927958119170048
David Letterman calls President Donald Trump 'ignorant' - ABC News - http://abcn.ws/2mOtTax  via @ABC,2017-03-06 17:41:04,0,0,838927446598643712
"Opinion | ‘President for a Day,’ starring Donald Trump http://wapo.st/2lVL9q5?tid=ss_tw …",2017-03-06 17:40:33,0,0,838927317271474176
DC's toughest gig: Defending Donald Trump - http://goo.gl/news/lvzXo  via http://news.google.com ,2017-03-06 17:40:14,0,0,838927236417871879
@thom_hartmann Chris Hedges with Allan Nairn on Donald Trump  (01/28/17) https://youtu.be/Cu9NQnYs-f0  via @YouTube,2017-03-06 17:17:07,0,0,838921420855984128
@SenSchumer YOU have many disguises and their all EVIL GOD IS WATCHING YOU! DONALD TRUMP IS YOUR PRESIDENT you need to accept it & MOVE ON!! pic.twitter.com/FlttCzONzm,2017-03-06 17:16:50,1,0,838921349624172546
@AGLynch Whether you like it or not HE IS YOUR PESIDENT DONALD TRUMP. Disgusting youre calling for fighting in the streets. GOD IS WATCHING! pic.twitter.com/J59A8y30Xb,2017-03-06 16:38:12,1,0,838911624111075329
@Letterman HE IS YOUR PRESIDENT DONALD TRUMP? just another mindless comment from a useless washed up has been YOURE REPULSIVE. SHAMEFUL! pic.twitter.com/OLOsqOKEQV,2017-03-06 16:32:25,0,0,838910171376140288
Donald Trump’s Worst Deal http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal … via @newyorker,2017-03-06 16:21:28,0,0,838907415257104386
