Text,Date,Favorites,Retweets,Tweet ID
"For months now, President Donald Trump has denied that he has ever met with any Russian official during his campaign
http://occupydemocrats.com/2017/03/07/confirmed-trump-personally-met-russian-ambassador/ …",2017-03-07 15:48:21,0,0,839261466876342272
"""Donald Trump is that guy—the guy who treats the company credit card like it’s his personal mint and who buys the... http://fb.me/3lzNatG3l ",2017-03-07 15:41:15,0,1,839259681075957761
@greta Constitutional expert Laurence Tribe says Donald Trump can be impeached for false Obama wiretap claim. - Palmer Report,2017-03-07 15:40:28,0,0,839259485113843712
"Carter Page fires back, says Donald Trump was behind Russia conspiracy at GOP Convention http://www.palmerreport.com/opinion/carter-page-fires-back-says-donald-trump-behind-russia-conspiracy-gop-convention/1781/ … via @PalmerReport",2017-03-07 15:38:53,0,0,839259087800057859
"Who is more afraid of a woman running the free world, Donald Trump or Vladimir Putin?",2017-03-07 15:33:56,0,0,839257840606982144
"I present to you a mosaic of Donald Trump made out of crying liberals
http://ifunny.co/fun/i4JhdSid4 
#iFunnypic.twitter.com/cfofO7kUGZ",2017-03-07 15:31:59,0,1,839257351513341953
@greta Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building. - Palmer Report,2017-03-07 15:30:45,0,1,839257038282706944
@greta CIA provides binders full of classified evidence on Donald Trump and Russia to Senate Intel Committee. - DU,2017-03-07 15:24:55,0,0,839255572629315588
Donald Trump you are the man!!! https://twitter.com/jenniferpalmen2/status/757296991365914624 …,2017-03-07 15:24:42,11,6,839255517952360448
Donald Trump Jr. Trolls SNL and Proves Again He's the Funniest Trump on Social Media http://ijr.com/2017/03/818753-donald-trump-jr-trolls-snl-and-proves-again-hes-the-funniest-trump-on-social-media/?utm_source=twitter&utm_medium=social …,2017-03-07 15:22:57,0,0,839255074811625472
"Donald Trump Met Russian Ambassador During The Campaign, Despite Repeated Denials | The Huffington Post #SmartNewshttp://www.huffingtonpost.com/entry/donald-trump-kislyak-russia_us_58bf087ee4b0e6e6ccb56870 …",2017-03-07 15:20:47,0,0,839254532022538240
You Better Be Applauding Donald Trump for Turning the Tables on the Democrats | The Rush Limbaugh Show https://www.rushlimbaugh.com/daily/2017/03/07/you-better-be-applauding-donald-trump-for-turning-the-tables-on-the-democrats/ …,2017-03-07 15:20:43,0,0,839254514284789762
"The question is not did Obama spy on Donald Trump?
The question is-is there anybody in the US who President Obama didn't spy on?

#Trumpcare pic.twitter.com/kgiT6Lyrjj",2017-03-07 15:02:23,3,3,839249901838008320
"Majority View Establishment Media as ‘Opposition Party’ to Donald Trump, Says Poll http://www.infowars.com/majority-view-establishment-media-as-opposition-party-to-donald-trump-says-poll/ … via @realalexjones",2017-03-07 14:59:54,0,2,839249277088051201
"Our Prez is a LIAR...
Donald Trump wrongly blames Barack Obama 4 former Guantanamo detainees returning to terrorism
http://www.politifact.com/truth-o-meter/statements/2017/mar/07/donald-trump/donald-trump-wrongly-blames-barack-obama-former-gu/ …",2017-03-07 14:57:32,6,7,839248678862925824
Just a reminder to all President Donald Trump supporting patriots! Continue to #BoycottStarbucks & #BoycottPepsi!pic.twitter.com/abqKt76FNH,2017-03-07 14:53:49,7,7,839247743625244672
★Hacker Kim Dotcom on Wikileaks CIA Documents: Donald Trump Was Spied on 24-7 with His Phone➜http://www.thegatewaypundit.com/2017/03/hacker-kim-dotcom-wikileaks-cia-documents-donald-trump-spied-24-7-phone/ … ★#PJNET★#CCOT★,2017-03-07 14:34:36,1,1,839242908620443648
Arnold Schwarzenegger on Donald Trump: 'I Think He's In Love With Me' (Audio) http://flip.it/eFpINl ,2017-03-07 14:29:56,0,0,839241735268143108
"""It's disturbing"" Al Franken DESTROYS Donald Trump and Jeff Sessions LIES https://www.youtube.com/watch?v=1jiZ4zeKvNo&feature=share …",2017-03-07 14:16:31,0,0,839238358719205376
What is Donald Trump hiding in his tax returns? http://flip.it/2A7eGp ,2017-03-07 14:14:19,0,0,839237805737902081
Donald Trump's White House Rejects Reports That James Comey Believes Wiretapping Claims Are False - Newsweek  https://apple.news/AJihlYJuERNSppea_efTubg …,2017-03-07 14:11:31,0,0,839237100121767937
@sarahkendzior @Gabbiedrice78K So now when he looks his daughter in the eye does he see Donald Trump? Sad.,2017-03-07 14:08:40,1,2,839236380731424768
Donald Trump Meets the Surveillance State - The New Yorker https://apple.news/A9YQ1rF94NBm3OunSrNNsgQ …,2017-03-07 14:04:06,0,0,839235234537357315
Hacker Kim Dotcom on Wikileaks CIA Documents: Donald Trump Was Spied on 24-7 with His Phone http://www.thegatewaypundit.com/2017/03/hacker-kim-dotcom-wikileaks-cia-documents-donald-trump-spied-24-7-phone/ …,2017-03-07 14:00:36,64,77,839234351737016320
@realDonaldTrump  Newly released inauguration photos confirm: Donald Trump is a pathetic loser http://www.dailykos.com/story/2017/3/7/1641013/-Newly-released-inauguration-photos-confirm-Donald-Trump-is-a-pathetic-loser …,2017-03-07 13:49:43,0,0,839231611673669635
@Swiggster @KyleKulinski @YouTube Ben Carson and Donald Trump make a powerful case for why drugs should be prohibited.,2017-03-07 13:45:14,4,0,839230487218487300
Congress Can Remove Donald Trump From Office Without Impeaching Him https://www.google.com/amp/amp.timeinc.net/time/4692507/congress-remove-donald-trump-impeachment/%3Fsource%3Ddam …,2017-03-07 13:42:55,2,1,839229904004788225
Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 13:23:04,1,0,839224908328611840
Donald Trump would deport this joke http://fb.me/5Xl2d4jK8 ,2017-03-07 13:21:28,0,0,839224502219386881
"""where the cheerleaders are more orange than donald trump."" - CHS",2017-03-07 13:14:54,11,0,839222853572702209
Donald Trump trolls Hillary in White House @AP photo. LOL!https://twitter.com/ap_politics/status/839162086655688705 …,2017-03-07 13:14:25,1,0,839222728687149057
"Liberal blabbermouths attacking Donald Trump's so-called ""fascism"" should note that this is their darling Barack O… http://ift.tt/2lULLM5 ",2017-03-07 13:10:17,0,0,839221690643136512
"Majority View Establishment Media as 'Opposition Party' to Donald Trump, Says Poll - Breitbart http://www.breitbart.com/big-government/2017/03/06/poll-media-opposition-party-donald-trump/ …",2017-03-07 13:04:53,0,0,839220332754010112
This explains Donald Trump pic.twitter.com/rDK0RRD6Qg,2017-03-07 12:50:46,4,1,839216777439678464
Kellyanne Conway Is Deeply Sad http://bit.ly/2naUdb0  #DonaldTrump #Fail,2017-03-07 12:46:01,0,0,839215581274460164
Donald Trump thinks he was pretty clever shifting the Russia focus to Barack Obama. He wasn't https://www.yahoo.com/news/donald-trump-thinks-pretty-clever-200300512.html?soc_src=community&soc_trk=tw … via @YahooNews,2017-03-07 12:36:19,1,1,839213140466253824
Chevron admits what Donald Trump will not: Climate change is real and poses a problem http://www.salon.com/2017/03/02/chevron-admits-what-donald-trump-will-not-climate-change-is-real-and-could-pose-a-financial-problem/ …pic.twitter.com/WwDKnAJN8s,2017-03-07 12:34:54,0,3,839212784198041600
I liked a @YouTube video from @trump_live http://youtu.be/IN3QP_ckGHI?a  WATCH: Donald Trump Press Secretary Sean Spicer Press Conference,2017-03-07 12:33:43,0,0,839212486612160512
"I liked a @YouTube video http://youtu.be/ZaS_jymdBvI?a  Donald Trump: ""Pedophiles Will Get the Death Penalty.""",2017-03-07 12:29:58,0,0,839211545628459008
@fragilxin I'd believe Donald Trump before I believed the Washington ComPost.,2017-03-07 12:29:44,0,0,839211484781629441
