Text,Date,Favorites,Retweets,Tweet ID
Donald Trump Claims Barack Obama Ordered Wire Tap On Trump Tower Before Election **Who Does This At 4:30 am?** http://www.huffingtonpost.com/entry/donald-trump-twitter-barack-obama-tapped_us_58baadf7e4b0b9989417e736 …,2017-03-04 12:46:12,0,0,838128467271008256
I liked a @YouTube video http://youtu.be/NelXpmqAp78?a  **Donald Trump Gods Choice?** Watch! Mark Taylor Explain Gods Prophecy in Detail,2017-03-04 11:07:58,0,0,838103743207993344
@gregorykorte he should just say Donald Trump is lying rather than beating around the bush.,2017-03-04 09:47:02,1,0,838083376636542976
Thank you Donald Trump for making America hate again. http://fb.me/1MVIkosaJ ,2017-03-04 09:08:35,0,0,838073701568491520
03-04 US President Donald Trump makes his way to board Marine... #governorsbeach http://dlvr.it/NXZw1q  #governorsbeach,2017-03-04 08:24:20,0,0,838062562600091649
All Star Economic News: Donald Trump Under Attack? Paul Martain Interview http://investorshub.advfn.com/boards/read_msg.aspx?message_id=129209689 …,2017-03-04 06:44:26,0,0,838037425779687424
"Donald Trump Under Attack?  Paul Martain Interview

Published on Mar 4, 2017
THE COMMON SENSE SHOW
Freeing America  http://investorshub.advfn.com/boards/read_msg.aspx?message_id=129209689 …",2017-03-04 06:44:18,0,0,838037388471517184
Donald Trump brands Democrats ‘hypocrites’ over Russian links  http://www.telegraph.co.uk/news/2017/03/03/donald-trump-brands-democrats-hypocrites-russian-links/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-04 04:26:07,0,0,838002617175404545
@BullCityVA @Boog1961 @thehill you had to go asking for facts. Can't we all just live in fear like Donald Trump?,2017-03-04 03:43:45,2,0,837991954373738496
"Thursday afternoon briefing: Cat Woman, Andy Murray's mouth, and where's Donald Trump? ##AndyMurrayhttps://goo.gl/fb/X01ZUB ",2017-03-04 00:17:08,0,0,837939957314486274
"No, Donald Trump was not right. Not tired of winning (yet).",2017-03-03 20:03:50,0,0,837876209564413953
"Rick Perry Hates On Donald Trump With A Hilarious 'Harry Potter' Joke, Because #HarryPotterandtheCursedChild…https://goo.gl/fb/gs0B9O ",2017-03-03 17:29:49,0,0,837837452333166593
"Rick Perry Hates On Donald Trump With A Hilarious 'Harry Potter' Joke, Because #HarryPotterandtheCursedChild… https://goo.gl/fb/XLw4aN ",2017-03-03 17:29:47,0,0,837837443831382016
