Text,Date,Favorites,Retweets,Tweet ID
Blaming Julian Assange for Donald Trump is like blaming Woodward & Bernstein for Gerald Ford #FreeJulianAssangepic.twitter.com/tUHOnIE92K,2017-03-02 15:55:05,1,2,837451222743404545
"Full Speech: Donald Trump HUGE Rally in Manchester, NH (2-8-16) - Right Side Broadcasting http://ref.gl/EeWHp9Ke ",2017-03-02 15:05:20,0,0,837438703047868416
"WATCH: Donald Trump Rally in Greeley, CO LIVE Stream - Right Side Broadcasting http://ref.gl/177BbQMD ",2017-03-02 14:54:19,1,1,837435930717868033
"Donald Trump LIED About The Yemen Raid, The Real News Is DEVASTATING [DETAILS] http://fb.me/8BorQijvC ",2017-03-02 14:52:10,0,0,837435388570570752
Bette Midler&#8217;s Attempt To Fact-Check Donald Trump Backfires [Video]http://www.westernjournalism.com/bette-midlers-attempt-to-fact-check-donald-trump-backfires/?utm_source=Twitter&utm_medium=PostBottomSharingButtons&utm_content=2017-03-02&utm_campaign=websitesharingbuttons …,2017-03-02 13:50:39,0,0,837419910540185601
Funny how @NancyPelosi suddenly concerned about lying under oath - Hey Nancy - ever heard of @HillaryClinton ??? #Hannity #DonaldTrump,2017-03-02 13:38:59,0,0,837416974892285952
"WATCH: Donald Trump Rally in Geneva, OH LIVE Stream - Right Side Broadcasting http://ref.gl/bnqcbdWm ",2017-03-02 13:33:41,2,1,837415638167494656
www dot HamptonRoadsFor dot me Donald Trump speaks in Newport News - live blog - CBS News http://ow.ly/cCV0509VilK ,2017-03-02 13:32:31,0,0,837415346755764227
WATCH: DONALD TRUMP'S INSPIRING ELECTION NIGHT REMARKS - Right Side Broadcasting http://ref.gl/o7fsbSdn ,2017-03-02 13:24:56,0,1,837413436535496704
"Donald Trump Is Going On Vacation Again, And Reveals Incredibly UPSETTING Information! http://fb.me/1SNGdHq4f ",2017-03-02 13:19:18,0,0,837412018038652929
Donald Trump made the worst mistake during his recent speech http://www.huffingtonpost.com/entry/donald-trump-made-the-worst-mistake-during-his-recent-speech_us_58b81bbce4b0a8ded67aa463?ncid=engmodushpmg00000004 … via @HuffPostComedy,2017-03-02 13:07:45,0,0,837409112791138307
"Dmitry Rybolovlev, who keeps flying in to meet Donald Trump, owns Russian money laundering bank http://fb.me/56eFQUiDM ",2017-03-02 13:06:30,0,0,837408798755127297
"WATCH: Donald Trump, Mike Pence Hold Rally in Cleveland, OH LIVE Stream - Right Side Broadcasting http://ref.gl/utKBZCb7 ",2017-03-02 13:04:33,0,1,837408306834526208
Veterans Love Donald Trump @RealDonaldTrump #VFWConvention #HesWithVets - Vets For Trump - National Level - Join Us http://ref.gl/5ge0F1sV ,2017-03-02 12:54:03,0,1,837405665664512000
Bookmaker Bets On Donald Trump’s Fourth Marriage As President: Bookers from all around the… https://goo.gl/fb/HtfD7f ,2017-03-02 12:44:38,0,0,837403296910422017
www dot HamptonRoadsFor dot me Donald Trump speaks in Newport News - live blog - CBS News http://ow.ly/hqFT509Vejt ,2017-03-02 12:30:51,0,0,837399825863884800
