Text,Date,Favorites,Retweets,Tweet ID
J'aime une vidéo @YouTube de @fliptfo - JUSTIN TRUDEAU vs DONALD TRUMP http://youtu.be/HZLmiCtEs9A?a ,2017-03-05 15:59:55,1,1,838539603086835713
Barbra Streisand: 'Donald Trump is Making Me Gain Weight' - Breitbart News -  https://donaldtrumpleak.com/barbra-streisand-donald-trump-is-making-me-gain-weight-breitbart-news/ …pic.twitter.com/yPua6jExYR,2017-03-05 15:59:53,26,24,838539596648566784
"Donald Trump is not at war against the Democrats, but he is at war with the senior Republicans as well and the larger deep state.",2017-03-05 15:59:51,0,0,838539584967479299
"Today while teaching Sunday School I got asked: ""is Donald Trump a Christian?""",2017-03-05 15:59:50,2,0,838539582748704768
Donald Trump's Tweets As An Early 2000s Emo Song  @LeeWagoner88https://www.youtube.com/watch?v=CopDK_jI6DI&feature=share …,2017-03-05 15:59:44,0,1,838539559591882757
Donald Trump asks Congress to investigate wiretap report he 'read on the internet' - The Sydney Morning Herald https://apple.news/AnJgpvj5-R22yCetQHAd_5Q …,2017-03-05 15:59:44,0,0,838539557515616256
"@GraysonDolan wanna hear a joke

Donald Trump",2017-03-05 15:59:44,0,0,838539557264056321
Creador de House of Cards pide a Twitter cerrar cuenta de Donald Trump http://mile.io/2lPAxcw pic.twitter.com/TuXq7SUkO8,2017-03-05 15:59:42,83,74,838539547747184641
"http://goo.gl/5QfOjF  Asia and Australia Edition: Donald Trump, Mosul, China: Your Morning Briefing… https://goo.gl/fb/Gy4sml ",2017-03-05 15:59:38,0,0,838539532341493761
Weekend Update: Eric and Donald Trump Jr. - SNL https://youtu.be/-OBiSNOumtU  via @YouTube,2017-03-05 15:59:34,0,0,838539513978896384
Cada que subes o suben una foto contigo cominzo a darme cuenta que estas mejor si mi y es en vano que te recerde a cada instante,2017-03-05 15:59:34,0,0,838539513647497216
@realDonaldTrump @foxandfriends Once you start being too unpredictable Rs will distance themselves because they are self serving politicians,2017-03-05 15:59:32,0,0,838539508685680640
ICYMI: @marklevinshow PROVES Obama Wiretapping on President Donald Trump https://youtu.be/91fNfGjZdM0  #rednationrising #ccot #magapic.twitter.com/7CwP9nWigS,2017-03-05 15:59:26,7,7,838539483284926464
@DonaldTrump Is it that u wern't paying attention or don't u get it NO ONE cares !,2017-03-05 15:59:25,0,0,838539478432112640
Donald Trump's a joke,2017-03-05 15:59:25,0,0,838539477735903232
EXCLUSIVE: Al Franken DESTROYS  Donald Trump and Jeff Sessions https://youtu.be/5hNYRkNt2Lo  via @YouTube,2017-03-05 15:59:23,0,0,838539470878056449
Ten ways Donald Trump has already made America - and the world - great again http://www.haaretz.com/us-news/.premium-1.775333 …,2017-03-05 15:59:21,0,0,838539461554225152
Stop Tweeting-Making sense of Donald Trump’s unsubstantiated accusations against his predecessor http://www.economist.com/blogs/democracyinamerica/2017/03/45th-president … via @TheEconomist,2017-03-05 15:59:18,1,1,838539448149225472
"People are so annoying like Donald trump is our president. Cry about it. 
MAKE AMERICA GREAT AGAIN!!",2017-03-05 15:59:17,1,0,838539443585740800
Donald Trump's Hoodwinking Of Working Class People Now Complete http://www.mediaite.com/online/donald-trumps-hoodwinking-of-working-class-people-now-complete/ … via @mediaite,2017-03-05 15:59:17,0,0,838539442721853440
Congress to probe Donald Trump's explosive claims Barack Obama wiretapped him. https://tiny.iavian.net/fljg ,2017-03-05 15:59:16,0,0,838539440830181376
You know in an alternate universe Donald Trump is the lead singer for the Insane Clown Posse.,2017-03-05 15:59:13,3,0,838539427261603840
Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building http://www.palmerreport.com/opinion/trump-russia-conspirator-alex-oronov-dies-suspiciously-he-lived-in-donald-trumps-building/1786/ … via @PalmerReport.,2017-03-05 15:59:13,0,0,838539425961357318
Congress to probe Donald Trump's explosive claims Barack Obama wiretapped him http://www.telegraph.co.uk/news/2017/03/05/trump-renews-attack-obama/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-05 15:59:08,0,1,838539406025732096
"In Bizarre Series of Tweets, Don Cheadle Claims Donald Trump Used Racist Slur with Friend’s Father http://fb.me/2KWiYEvQ2 ",2017-03-05 15:59:07,0,0,838539400405483520
"@jfreewright This is what Donald Trump means when he says he knows how to win (falsehoods, misdirection, blame game).  No integrity.",2017-03-05 15:59:04,0,0,838539389240242176
@chicagotribune You mean Donald Trump tweeted something that wasn't true? Get. Out.,2017-03-05 15:58:54,3,0,838539349339828224
@RosieGillham donald trump... he comes out with the most sexist and derogatory things in interviews... i give you our potench new union pres,2017-03-05 15:58:54,0,0,838539348391899136
"""Careers are made in the orbit of power, and Donald Trump is now the center.""  - You Don't Know Hannah Arendt https://theoutline.com/post/980/misinterpreting-hannah-arendt …",2017-03-05 15:58:51,0,0,838539335469264900
Streisand: 'Donald Trump is Making Me Gain Weight' http://www.breitbart.com/big-hollywood/2017/03/05/barbra-streisand-trump-making-gain-weight/ …,2017-03-05 15:58:47,2,0,838539319694540800
The 1st President to use #SocialMedia as a main source of communication #DonaldTrump @realDonaldTrump,2017-03-05 15:58:47,0,0,838539316842364928
Donald Trump vs. the Food Snobs https://nyti.ms/2lIZLZ0 ,2017-03-05 15:58:46,0,0,838539315374338048
Trump-Russia conspirator Alex Oronov dies suspiciously; he lived in Donald Trump’s building http://www.palmerreport.com/opinion/trump-russia-conspirator-alex-oronov-dies-suspiciously-he-lived-in-donald-trumps-building/1786/ … via @PalmerReport,2017-03-05 15:58:44,0,0,838539304792174594
Donald Trump's Unfounded Wiretapping Accusations Feel Like a Sad Act of Desperation http://ift.tt/2n3QlIH ,2017-03-05 15:58:40,0,0,838539287440261121
"It's all about Clinton, Obama, Schumer railroading. They want total control of America and Donald Trump is in their way.",2017-03-05 15:58:39,3,0,838539285796118528
Barbra Streisand: 'Donald Trump is Making Me Gain Weight' http://ift.tt/2mJ8lvE ,2017-03-05 15:58:39,0,0,838539284009336832
Horror writer Stephen King enjoys trolling Donald Trump on Twitter http://ift.tt/2n3wnOq ,2017-03-05 15:58:38,0,0,838539281580896261
"Donald Trump is in trouble whether his wiretap claim was true or not, Chuck Schumer says http://fb.me/1dT5kQb5U ",2017-03-05 15:58:38,0,0,838539279273877504
DONALD TRUMP'S CONGRESS SPEECH (FULL VIDEO) 2/28/2017 http://ln.is/www.youtube.com/Ph4NH …,2017-03-05 15:58:35,0,0,838539269866160129
Me ha gustado un vídeo de @YouTube de @trivideochannel (http://youtu.be/5zZoOvCT9VA?a  - LOS SIMPSON han predicho EL MURO DE DONALD TRUMP).,2017-03-05 15:58:34,0,0,838539264933654528
At midnight with Kiran - calls for Donald Trump to provide evidence over claims his predecessor ordered wiretaps on his phones.,2017-03-05 15:58:32,1,2,838539254695354368
Donald Trump's tweets to deflect attention from 'Russiagate' are not working http://www.smh.com.au/world/if-trumps-tweets-are-a-bid-to-deflect-attention-from-russiagate-its-not-working-20170305-gur0tw.html … via @smh,2017-03-05 15:58:32,0,0,838539253592244224
Plot twist: Donald Trump hates Barron and wants to ruin everything before he gets old enough to realize,2017-03-05 15:58:29,1,0,838539241181298688
BBC News - How Donald Trump is viewed by China's Communist Party http://www.bbc.com/news/world-asia-china-39175170 …,2017-03-05 15:58:25,0,0,838539228258525185
Secret Service had to intervene to protect someone FROM Donald Trump http://www.dailykos.com/story/2016/8/10/1558940/-Secret-Service-had-to-intervene-to-protect-someone-FROM-Donald-Trump …,2017-03-05 15:58:25,0,0,838539226027294720
#MAGA! http://ift.tt/2mqVygw  Mark Levin: 'Donald Trump Is the Victim' in Alleged Obama Wiretapping Scandal,2017-03-05 15:58:24,1,1,838539220432130048
@bfraser747 @bn81159 @POTUS Obama has tapes! Maxine Waters knows  http://ln.is/www.youtube.com/7I5NG … #ObamaGate #WireTapping #MAGA #DonaldTrump,2017-03-05 15:58:23,3,0,838539218544635905
Actor accuses Donald Trump of extraordinary racist slur http://www.independent.co.uk/news/world/americas/donald-trump-don-cheadle-racist-misogynistic-golf-slurs-a7612651.html …,2017-03-05 15:58:23,0,0,838539217735045120
@realDonaldTrump @foxandfriends You do realize Pence will give republicans what they want. They don't need you to get their agenda passed.,2017-03-05 15:58:22,0,0,838539213096292353
"""Barbra Streisand: ‘Donald #Trump  is Making Me Gain Weight’""http://www.breitbart.com/big-hollywood/2017/03/05/barbra-streisand-trump-making-gain-weight/amp/ …",2017-03-05 15:58:20,0,1,838539205705871361
‘D.C. insiders seek to defeat Donald Trump - even in aftermath of his victory’ – ex CIA agent https://www.rt.com/op-edge/379495-wiretap-trump-obama-intelligence/#.WLymGNafNss.twitter …,2017-03-05 15:58:19,6,7,838539199267602432
"The United States President, Donald Trump, has accused his predecessor, Barrack Obama, of tapping his telephone... http://fb.me/54OfU6Zqm ",2017-03-05 15:58:17,0,0,838539194452566016
The 45th president: Making sense of Donald Trump’s unsubstantiated accusations against his predecessor http://www.economist.com/blogs/democracyinamerica/2017/03/45th-president …,2017-03-05 15:58:16,0,0,838539189729689600
"Photos show Donald Trump in military uniform, with athletic teams before dodging the Vietnam draft with ‘bull---t’ injury pic.twitter.com/V60HCO8CnI",2017-03-05 15:58:15,1,1,838539186277842944
This is so sad! Latino families are being ripped apart and paying too severe a punishment. This has to end! #donaldtrump #thisiswronghttps://twitter.com/andygreenwald/status/838526444238098434 …,2017-03-05 15:58:15,1,0,838539184155418624
Access for sale. Min. Pres #DonaldTrump with guests outside charity ball at his #MaraLago Club on Saturday.http://www.palmbeachpost.com/news/local/update-trump-mingles-with-mar-lago-guests-outside-charity-ball/xFRbgrtFYNamso8FXmO6PN/ …,2017-03-05 15:58:12,0,0,838539172377837568
"RT {wittier}: Hi ledog9: ""Donald Trump, Mosul, China: Your Morning Briefing"" http://ift.tt/2mt1dmS  #m… pic.twitter.com/cKB5cJ5vyQ …",2017-03-05 15:58:11,0,0,838539167894286336
LOS SIMPSON han predicho EL MURO DE DONALD TRUMP: http://youtu.be/5zZoOvCT9VA?a  vía @YouTube,2017-03-05 15:58:10,0,0,838539162643021824
Cara dan gaya donald trump sdg digunakan oleh paslon 3. Sekali lg sy yakin rakyat jkt lebih pintar dr rakyat amerika #pilkadaDKI2017,2017-03-05 15:58:08,0,0,838539156334637057
White House calls for investigation into unsubstantiated claims Barack Obama ordered 'wiretap' on Donald Trump http://ind.pn/2msfno9 ,2017-03-05 15:58:01,24,16,838539124655140865
"@MalcolmNance @jk_rowling And Donald Trump is Voldemort! And he is surrounded by ""The Dementors""... We need a magic spell, quick...",2017-03-05 15:57:58,15,2,838539113611472896
"It's a complicated world for the Tangerine Tornado, Donald Trump https://shar.es/1Utsqx ",2017-03-05 15:57:57,0,0,838539109299810304
Franken: 'We don't know what the Russians have on Donald Trump' - ABC News https://www.dub.io/s/77128  #this_week #george_stephanopoulospic.twitter.com/DvscaiymwE,2017-03-05 15:57:56,0,0,838539102794416128
"10 Photos Of Donald Trump W/Ivanka That Should Ban Him From Presidency
https://www.youtube.com/watch?v=unpKMjICte0 …",2017-03-05 15:57:53,0,0,838539091918598144
