Text,Date,Favorites,Retweets,Tweet ID
"WALLACE:""I Feel Like Tonight Donald Trump Became the President of the United States"" -- http://squawkingpoints.net/wallace-trump-speech/ …",2017-03-01 15:59:31,0,0,837089953620320256
"WALLACE:""I Feel Like Tonight Donald Trump Became the President of the United States"" .. http://squawkingpoints.net/wallace-trump-speech/ …",2017-03-01 15:59:30,0,0,837089946343206913
Etazini-Politik: Premye Mesaj Prezidan Donald Trump devan 2 Cham Kongrè a Reyini http://www.voanouvel.com/a/3745837.html ,2017-03-01 15:59:14,1,0,837089882203910147
"This is pathetic. It really says more about the needy Alec Baldwin than it does about the President of the United States, Donald Trump. https://twitter.com/RYouBeingServed/status/837089137710751750 …",2017-03-01 15:57:25,4,0,837089422927622145
Alec Baldwin to make even more fun of Donald Trump http://pge.sx/2mekpVp  via @pagesix,2017-03-01 15:56:17,2,0,837089137710751750
"CNN's 2017 Digital Strategy: New Shows, $25M YouTuber, Donald Trump | Hollywood Reporter http://www.hollywoodreporter.com/features/cnn-chief-jeff-zucker-unveils-plan-dominate-digital-new-shows-a-25m-youtuber-donald-trump-c …",2017-03-01 15:56:13,1,0,837089119385833472
"Actually, How Donald Trump Eats His Steak Matters http://www.eater.com/2017/2/28/14753248/trump-steak-well-done-ketchup-personality?utm_campaign=eater&utm_content=entry&utm_medium=social&utm_source=twitter … via @Eater",2017-03-01 15:55:41,1,1,837088985017114625
Almost every big claim Donald Trump just made was false http://fb.me/4XKHudayt ,2017-03-01 15:52:46,0,0,837088251781468160
Storm Chasers Spell Out Bill Paxton’s Name Across 3 Different States to Honor Him http://POTUS.TrumpNewss.com/Irf pic.twitter.com/cUInQYnuEy,2017-03-01 15:50:00,5,2,837087555652841472
"Donald Trump, Master of Low Expectations - The New York Times https://www.nytimes.com/2017/03/01/opinion/donald-trump-master-of-low-expectations.html?_r=0 …",2017-03-01 15:48:34,0,0,837087197849391105
Donald Trump is a liar https://twitter.com/nbcnightlynews/status/837083908957167616 …,2017-03-01 15:46:58,49,33,837086791291318272
@CNN @SenatorLankford I can think of one *cough* Donald Trump *cough*.,2017-03-01 15:45:34,9,1,837086439313653760
