Text,Date,Favorites,Retweets,Tweet ID
"Carlos Slim, Mexican billionaire, sees world of opportunity in what Donald Trump rejects - http://go.shr.lc/2lWpjCK  - @washtimes",2017-03-07 13:00:47,0,0,839219300145725443
"""On Donald Trump’s Wiretapping Allegations"" by PATRICK CHAPPATTE via NYT The New York Times http://ift.tt/2mT6Lrq ",2017-03-07 08:21:33,0,0,839149028071849984
Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 07:53:51,0,1,839142056689807361
Donald Trump Calls Bush's Release of 113 Prisoners a 'Terrible Decision' by Obama http://fb.me/5xYmL984r ,2017-03-07 07:47:16,0,0,839140399776219139
Cartoon Donald Trump Gets Twitter Advice From Ghosts Of Presidents Past - The Huffington Post #notmypresidenthttps://apple.news/A56Rao-7FQUGJ41xEUOww1A …,2017-03-07 05:41:06,1,0,839108648693547009
"""Donald Trump, François Fillon, Erdogan: Your Tuesday Briefing"" by JENNIFER JETT via NYT The New York Times http://ift.tt/2mZDYhp ",2017-03-06 21:11:14,0,0,838980335656390656
Vault 7. Please deliver.  God bless #POTUS Donald Trump.  Lock Obama and Hillary up forever.,2017-03-06 19:44:58,1,1,838958626287013888
I liked a @YouTube video from @nextnewsnet http://youtu.be/ZkWAH0ULG5M?a  SCANDAL OF THE CENTURY! DONALD TRUMP JUST EXPOSED OBAMA FOR,2017-03-06 18:34:19,0,0,838940848905728000
"""It's nonsense"" Jake Tapper DESTROYS Donald Trump's Obama wiretapping claim https://www.youtube.com/watch?v=yB6G6tmYxIs&feature=share …",2017-03-06 18:18:26,0,0,838936852124086276
Donald Trump is way too smart to let petty things like facts or the truth get in the way of solid unfounded accusations.,2017-03-06 17:16:27,4,0,838921251091546112
Donald Trump and Bobby Lashley  Vs  Umaga and Vince Mcmahon WWE Wrestlem... https://youtu.be/qwRly4bbfbs  via @YouTube,2017-03-06 16:52:27,0,0,838915211654545412
3.6.17 Bee-otch of the Day: Donald Trump http://beeotchoftheday.blogspot.com/2017/03/3617-bee-otch-of-day-donald-trump.html …,2017-03-06 16:43:36,0,0,838912985049542656
