,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,"‘D.C. insiders seek to defeat Donald Trump - even in aftermath of his victory’ – ex CIA agent!

https://www.rt.com/op-edge/379495-wiretap-trump-obama-intelligence/#.WLyj_0QAxCA.twitter …",2017-03-05 15:49:53,12,14,838537078459805696,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5093}",0.0764137022719,0.105352373752
1,1,1,1,Either Donald Trump or James Comey is lying. Place your bets. Who's guilty of lying?,2017-03-05 15:36:25,20,48,838533691274063872,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.8625}",0.0764137022719,0.105352373752
2,2,2,2,"BREAKING: Donald Trump DOES IT, Releases Criminal Information on Barack Obama http://www.angrypatriotmovement.com/trump-releases-criminal-information-obama/ …",2017-03-05 15:29:19,0,0,838531902566969344,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",0.0764137022719,0.105352373752
3,3,3,3,WATCH: Donald Trump Releases Short Video and Asks EVERYONE to Watch It http://www.angrypatriotmovement.com/trump-releases-short-video/ …,2017-03-05 15:27:01,0,0,838531324193423361,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0764137022719,0.105352373752
4,4,4,4,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://www.angrypatriotmovement.com/trump-moves-against-pelosi/ …,2017-03-05 15:24:25,0,0,838530671073165313,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0764137022719,0.105352373752
5,5,5,5,Women say donald trump touched them inappropriately _ las vegas review-journal - http://bit.ly/2lPzOrA ,2017-03-05 15:06:50,0,0,838526244618649600,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0764137022719,0.105352373752
6,6,6,6,"I like thinking big. If you’re going to be thinking anything, you might as well think big. – Donald Trump",2017-03-05 15:01:29,0,0,838524898901442560,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.5574}",0.0764137022719,0.105352373752
7,7,7,7,Congress to probe Donald Trump's explosive claims Barack Obama wiretapped him http://www.telegraph.co.uk/news/2017/03/05/trump-renews-attack-obama/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-05 15:01:06,0,0,838524802663137281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0764137022719,0.105352373752
8,8,8,8,"George W. Bush slams Donald Trump: ""I don’t like the racism"" http://ln.is/OtxZB  by #Nikluk via @c0nveypic.twitter.com/ddNq2b82tN",2017-03-05 14:53:58,5,3,838523006699864064,"{'neg': 0.109, 'neu': 0.722, 'pos': 0.17, 'compound': 0.2924}",0.0764137022719,0.105352373752
9,9,9,9,Maybe if Dick Wolf would stop making crime shows about Chicago then Donald Trump would stop talking about how bad it is there.,2017-03-05 13:14:13,1,0,838497902385319940,"{'neg': 0.45, 'neu': 0.55, 'pos': 0.0, 'compound': -0.9287}",0.0764137022719,0.105352373752
10,10,10,10,SNL: The Republican who finally stood up to Donald Trump. ://www.nbc.com/saturday-night-live/video/republican-movie-trailer/3480397?snl=1,2017-03-05 13:12:36,0,0,838497498322898944,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0764137022719,0.105352373752
11,11,11,11,I liked a @YouTube video from @soundslikepizza http://youtu.be/XNFvuOdYyPQ?a  DONALD TRUMP DEPORTS GAMERS in GTA ONLINE!,2017-03-05 13:07:46,1,0,838496280498343942,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.4753}",0.0764137022719,0.105352373752
12,12,12,12,Mark Levin PROVES Obama Wiretapping on President Donald Trump | Fox & Fr... http://ln.is/www.youtube.com/q2zQc … via @YouTube,2017-03-05 12:17:00,0,0,838483506497978370,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0764137022719,0.105352373752
13,13,13,13,I liked a @YouTube video http://youtu.be/O4PlNQ9Uhzg?a  Weekend Update on Donald Trump's Wiretapping Accusation - SNL,2017-03-05 12:07:33,0,0,838481127228723202,"{'neg': 0.135, 'neu': 0.676, 'pos': 0.189, 'compound': 0.2023}",0.0764137022719,0.105352373752
14,14,14,14,Sad that I've to wait 30hrs to hear @maddow about Donald Trump. Why he can't make These Foolish claims when she's on air during the week ,2017-03-05 12:01:24,3,0,838479579920609280,"{'neg': 0.107, 'neu': 0.83, 'pos': 0.063, 'compound': -0.3151}",0.0764137022719,0.105352373752
15,15,15,15,"The true, correct story of what happened at Donald Trump's inauguration https://wpo.st/LFIf2 ",2017-03-05 11:43:01,4,1,838474952714117121,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.0764137022719,0.105352373752
16,16,16,16,"Brian Stelter DESTROYS Donald Trump's Obama wiretapping tweet
http://ln.is/www.youtube.com/ZWKpO …pic.twitter.com/J6EQpy30Ta",2017-03-05 11:39:06,0,0,838473965676941312,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.6523}",0.0764137022719,0.105352373752
17,17,17,17,Donald Trump: Deport George Soros - Sign the Petition! https://www.change.org/p/donald-trump-deport-george-soros?recruiter=16634154&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive … via @Change,2017-03-05 11:31:52,0,0,838472145072238592,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0764137022719,0.105352373752
18,18,18,18,Most UPSET Reactions to Donald Trump Winning Election Against Hillary https://youtu.be/XnTnpN2H34A  via @YouTube I can't stop watching this GoUSA,2017-03-05 11:20:59,0,0,838469407739375618,"{'neg': 0.152, 'neu': 0.627, 'pos': 0.221, 'compound': 0.1685}",0.0764137022719,0.105352373752
19,19,19,19,I accidentally left my good tie at home and had to borrow this one #madeinchina #donaldtrump pic.twitter.com/MQX7z1vPI6,2017-03-05 11:10:34,0,0,838466786421014528,"{'neg': 0.124, 'neu': 0.725, 'pos': 0.15, 'compound': 0.128}",0.0764137022719,0.105352373752
20,20,20,20,"""We don't know what the Russians have on Donald Trump."" @AlFrankenSenate We don't know what the Russians have on you either senator. ;-)",2017-03-05 10:19:22,0,0,838453901984739328,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.25}",0.0764137022719,0.105352373752
21,21,21,21,Weekend Update on Donald Trump's Wiretapping Accusation - SNL https://youtu.be/O4PlNQ9Uhzg  via @YouTube,2017-03-05 10:17:43,2,3,838453484357894144,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.25}",0.0764137022719,0.105352373752
22,22,22,22,BREAKING: Donald Trump Makes Move to TAKE NANCY PELOSI DOWN. Do You Support It? http://www.angrypatriotmovement.com/trump-moves-against-pelosi/ …,2017-03-05 10:04:00,0,0,838450035083849728,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.0764137022719,0.105352373752
23,23,23,23,"Alex Oronov, organizer of Russia-Ukraine blackmail plan sent to Donald Trump, dies suspiciously https://www.palmerreport.com/opinion/alex-oronov-organizer-russia-ukraine-blackmail-plan-sent-donald-trump-dropped-dead/1785/ … via @PalmerReport",2017-03-05 09:59:33,1,1,838448915619930112,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}",0.0764137022719,0.105352373752
