,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,These watchdog groups just accused Donald Trump of breaking campaign finance law https://mic.com/articles/170158/donald-trump-broke-law-campaign-finance-2020-election-clc-common-cause-watchdogs-complaint … via @Mic,2017-03-02 14:37:38,0,0,837431733318361088,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}",0.04552,0.03252
1,1,1,1,Donald Trump has 'total' confidence in Jeff Sessions but 'wasn't aware' of Russia conversations http://fw.to/cEngWzb ,2017-03-02 13:23:19,0,0,837413032284180480,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.2846}",0.04552,0.03252
2,2,2,2,Doublespeak enables a politician to have it both ways while still brown nosing Steve Bannon & Donald Trump https://twitter.com/LVview/status/837334109630259200 …,2017-03-02 11:49:22,0,0,837389386836660224,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
3,3,3,3,"Ah, the poetry! MT @DavidYankovich: Donald Trump is learning why Presidents don't fuck with the Intel community.",2017-03-02 11:03:21,1,0,837377807181201409,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.484}",0.04552,0.03252
4,4,4,4,Donald Trump and the end of American exceptionalism? http://www.bbc.co.uk/news/world-us-canada-39133677 …,2017-03-02 10:33:22,0,0,837370260156080128,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
5,5,5,5,PRESIDENT DONALD TRUMP'S Joint Address to Congress on Feb. 28 drew the following statement Tuesday evening from... http://fb.me/8NWAOY611 ,2017-03-02 08:27:26,0,0,837338569148518401,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
6,6,6,6,"PROTECTING MEDICARE, MEDICAID AND SOCIAL SECURITY is the aim of a letter sent to Pres. Donald Trump today from 16... http://fb.me/5kl7hxAvy ",2017-03-02 08:22:51,0,0,837337417552019456,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.4824}",0.04552,0.03252
7,7,7,7,"IN ADVANCE OF PRES. DONALD TRUMP'S ADDRESS TO CONGRESS, broadcast Tuesday at 4 p.m., Hawai`i time, Ka`u's... http://fb.me/8oZrag4lE ",2017-03-02 08:21:32,0,0,837337085300256768,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
8,8,8,8,Jimmy Fallon Brings Back Donald Trump News Network To Report On U.S. Congress Adress - Watch Here! pic.twitter.com/7q74P51z39,2017-03-02 06:16:28,0,0,837305608457994241,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
9,9,9,9,Investigate Donald Trump http://petitions.moveon.org/s/F_KSyM  @moveon,2017-03-02 03:17:43,0,0,837260626565218304,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
10,10,10,10,"""How Alec Baldwin Gets Into Character as Donald Trump"" by GIOVANNI RUSSONELLO via NYT http://ift.tt/2lgkJDq ",2017-03-02 02:19:52,0,0,837246066881867776,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
11,11,11,11,FIX YOUR EYEBROWS DONALD TRUMP LMAODJDNFNF,2017-03-02 00:39:57,0,0,837220922746527744,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04552,0.03252
