,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,Poll: Do you believe Barack Obama wiretapped Donald Trump?;  https://goo.gl/Qqj9xD  #poll via @opinionstage,2017-03-04 15:59:26,0,0,838177092168728576,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
1,1,1,"Carter Page fires back, says Donald Trump was behind Russia conspiracy at GOP Convention http://www.palmerreport.com/opinion/carter-page-fires-back-says-donald-trump-behind-russia-conspiracy-gop-convention/1781/ … via @PalmerReport",2017-03-04 15:38:57,0,0,838171938245775360,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5267}",0.0826,0.09485
2,2,2,Hillary Clinton cried after Donald Trump Release Photos of her and Obama... https://youtu.be/V-UWA3vri1o  via @YouTube,2017-03-04 14:28:42,1,0,838154261821292546,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}",0.0826,0.09485
3,3,3,".@jack To date, you still have not taken action to ban Donald Trump from Twitter.  His account is creating a NATIONAL SECURITY CRISIS.",2017-03-04 13:49:50,1,0,838144477814472705,"{'neg': 0.265, 'neu': 0.567, 'pos': 0.168, 'compound': -0.6249}",0.0826,0.09485
4,4,4,"@realDonaldTrump Donald Trump is an amazing slight-of-hand magician, I here.",2017-03-04 13:31:54,0,0,838139968145014785,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.5859}",0.0826,0.09485
5,5,5,I liked a @YouTube video from @mattshea http://youtu.be/uftnFJoPV_g?a  WILL I SAVE DONALD TRUMP? - Mr. President,2017-03-04 12:09:33,0,0,838119242742431744,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.796}",0.0826,0.09485
6,6,6,I liked a @YouTube video from @grande1899 http://youtu.be/qiBP7StIBQg?a  Donald Trump - China (Na Na Na),2017-03-04 11:45:22,0,0,838113157486952448,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.0826,0.09485
7,7,7,"Donald Trump is mentally unstable. He suffers from NPD and can't help himself. As president, he is a Clear & Present Danger to the country. https://twitter.com/pittgriffin/status/838081779600920577 …",2017-03-04 09:45:20,0,0,838082947144089600,"{'neg': 0.343, 'neu': 0.578, 'pos': 0.079, 'compound': -0.8252}",0.0826,0.09485
8,8,8,"Donald Trump accuses Barack Obama of wire tapping his phones
 http://dailym.ai/2lK1ttZ ",2017-03-04 09:42:11,0,0,838082157843214336,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0826,0.09485
9,9,9,Donald Trump accuses Barack Obama of wire tapping his phones http://dailym.ai/2lK1ttZ  via @MailOnline,2017-03-04 07:31:45,1,0,838049332741943296,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}",0.0826,0.09485
10,10,10,Donald Trump claims Barack Obama 'had his wires tapped in Trump Tower' https://www.thesun.co.uk/news/3009405/donald-trump-claims-barack-obama-had-his-wires-tapped-in-trump-tower-before-us-election-win/ …,2017-03-04 05:58:49,0,0,838025942924685312,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
11,11,11,Donald Trump brands Democrats ‘hypocrites’ over Russian links  http://www.telegraph.co.uk/news/2017/03/03/donald-trump-brands-democrats-hypocrites-russian-links/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-04 05:07:37,0,0,838013059016835072,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
12,12,12,Donald Trump claim #ObamaCoup #WTF... 'had his wires tapped in Trump Tower' https://www.thesun.co.uk/news/3009405/donald-trump-claims-barack-obama-had-his-wires-tapped-in-trump-tower-before-us-election-win/ …,2017-03-04 05:07:00,0,0,838012902074380288,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
13,13,13,Donald Trump's attempt to shift Russia focus to Chuck Schumer is more than a little desperate http://www.huffingtonpost.com/entry/donald-trump-chuck-schumer-russia_us_58b9b656e4b05cf0f40060d4?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-04 05:06:38,1,0,838012813725548545,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.3117}",0.0826,0.09485
14,14,14,Republicans in the trump era - clay center dispatch on-line_ kansas As Donald Trump was sworn in as the 45th U.S. Kansas city leather ...,2017-03-04 00:41:14,0,0,837946022693326848,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
15,15,15,Donald Trump brands Democrats ‘hypocrites’ over Russian links  http://www.telegraph.co.uk/news/2017/03/03/donald-trump-brands-democrats-hypocrites-russian-links/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-03 22:36:05,0,0,837914525928140800,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
16,16,16,I voted for Donald Trump and Mike Pence. Will you join me? Find your polling place: http://www.vote.gop  #TrumpTrain #Election2016pic.twitter.com/oDfYoph0ro,2017-03-03 21:57:41,0,0,837904863711342594,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}",0.0826,0.09485
17,17,17,Donald Trump and the Demobrats http://dlvr.it/NXLzhP ,2017-03-03 18:25:08,0,0,837851373643284480,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0826,0.09485
18,18,18,Donald Trump doesn't care about poor people. https://twitter.com/cnn/status/837835991712956416 …,2017-03-03 17:32:05,0,0,837838023882641408,"{'neg': 0.235, 'neu': 0.537, 'pos': 0.228, 'compound': -0.0191}",0.0826,0.09485
19,19,19,"Arnold Schwarzenegger Is Leaving Celebrity Apprentice, Blames Donald Trump for His Exit - Vanity Fair https://apple.news/AANWm_SgCTAeBZ0ESlcd4mQ …",2017-03-03 17:14:16,0,0,837833539970301953,"{'neg': 0.243, 'neu': 0.635, 'pos': 0.122, 'compound': -0.3182}",0.0826,0.09485
