,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,DONALD TRUMP REMINDS ME OF A DOMESTIC ABUSER - Frances Drabick- Writes It http://www.francesdrabickwritesit.com/1/post/2017/03/donald-trump-reminds-me-of-a-domestic-abuser.html …,2017-03-01 15:28:47,0,0,837082216215818240,"{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.6523}",0.108900468446,0.0938470445813
1,1,1,"Donald Trump’s Obsession With Applause, via @nytimeshttps://www.nytimes.com/2017/03/01/opinion/donald-trumps-obsession-with-applause.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …",2017-03-01 14:53:29,0,0,837073333019635713,"{'neg': 0.235, 'neu': 0.49, 'pos': 0.275, 'compound': 0.1027}",0.108900468446,0.0938470445813
2,2,2,Sign if you did not watch Donald Trump's speech last night http://fb.me/OgpDChgk ,2017-03-01 13:59:09,0,0,837059662281338883,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108900468446,0.0938470445813
3,3,3,BREAKING - Donald Trump is ENDING Human Trafficking in Epic Move. Where's the MEDIA? http://crwd.fr/2m98ZBG ,2017-03-01 12:40:01,0,1,837039747826610186,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108900468446,0.0938470445813
4,4,4,Don’t Be Fooled. Donald Trump Didn’t Pivot http://ln.is/www.newyorker.com/ne/slkqB … via @JohnCassidy,2017-03-01 12:03:34,0,0,837030571738075139,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}",0.108900468446,0.0938470445813
5,5,5,U.S. Congress: Remove President Donald Trump (Impeachment) http://fb.me/1MWCdCk8A ,2017-03-01 10:59:17,0,0,837014396387930112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108900468446,0.0938470445813
6,6,6,Tell Donald Trump America Does Not Want A Nuclear War http://fb.me/2Fh7s5uNo ,2017-03-01 10:55:30,0,0,837013442745749505,"{'neg': 0.295, 'neu': 0.606, 'pos': 0.098, 'compound': -0.5574}",0.108900468446,0.0938470445813
7,7,7,Twitter: Help urge Twitter to suspend Donald Trump's account! #SuspendTrumphttp://fb.me/1Zb4h8Jj5 ,2017-03-01 10:48:37,0,0,837011712222117889,"{'neg': 0.173, 'neu': 0.602, 'pos': 0.225, 'compound': 0.1759}",0.108900468446,0.0938470445813
8,8,8,Twitter: Help urge Twitter to suspend Donald Trump's account! #SuspendTrump http://fb.me/8tA3dj7EC ,2017-03-01 10:48:04,0,0,837011574602743809,"{'neg': 0.161, 'neu': 0.63, 'pos': 0.209, 'compound': 0.1759}",0.108900468446,0.0938470445813
9,9,9,U.S. House of Representatives: Tell Congress The American Taxpayers Will Not Pay for Donald Trump's Wall http://fb.me/4KJ0Acb5T ,2017-03-01 10:47:01,0,0,837011309287854080,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.1027}",0.108900468446,0.0938470445813
10,10,10,Donald Trump: I CARE. Show the Trump White House that the American people do CARE about his taxes. http://fb.me/8ubzYMMy6 ,2017-03-01 10:35:13,0,0,837008338038767630,"{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.8345}",0.108900468446,0.0938470445813
11,11,11,OH NOES! DONALD TRUMP JUST EXPOSED MASSIVE SCANDAL DEMOCRATS WERE HOPING... https://youtu.be/_uf3Zoq9FEI  #YouTube #TheNextNewsNetwork,2017-03-01 10:29:13,0,0,837006827430821888,"{'neg': 0.332, 'neu': 0.668, 'pos': 0.0, 'compound': -0.7147}",0.108900468446,0.0938470445813
12,12,12,Donald Trump Calls for Huge 'Merit Based' Immigration Reform - Breitbart http://bit.ly/2lx9kuK  #BreitbartNews,2017-03-01 08:18:58,0,0,836974050727636993,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.6249}",0.108900468446,0.0938470445813
13,13,13,President Donald Trump Speech to Congress: ‘Believe Once More in America’ - Breitbart http://bit.ly/2mbl0qA  #BreitbartNews,2017-03-01 08:18:37,0,0,836973962143870977,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108900468446,0.0938470445813
14,14,14,Watch: Donald Trump Full Address to Joint Session of Congress - Breitbart http://bit.ly/2mIHdZV  #BreitbartNews,2017-03-01 08:16:04,0,0,836973322445414400,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108900468446,0.0938470445813
15,15,15,Chris Wallace on Trump Speech: 'I Feel Like Tonight Donald Trump Became the President of the United States' -http://bit.ly/2mbpFcj#BreitbartNews …,2017-03-01 08:10:37,0,0,836971948102074369,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.6486}",0.108900468446,0.0938470445813
16,16,16,Van Jones: Donald Trump Became President of the United States Tonight https://youtu.be/oMspOEVxWfM  #YouTube,2017-03-01 08:09:36,0,0,836971691205066752,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.108900468446,0.0938470445813
17,17,17,Almost every big claim Donald Trump just made was false http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-speech-fact-check-lies-claims-joint-address-congress-jobs-immigration-pipeline-a7604861.html …,2017-03-01 07:31:45,1,0,836962166108381184,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.108900468446,0.0938470445813
18,18,18,Top 10 Did-He-Really-Just-Say-That Moments From President Donald Trump's Address - http://ELLE.com http://dlvr.it/NW8nlh ,2017-03-01 06:46:08,0,0,836950688189931522,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}",0.108900468446,0.0938470445813
