,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,US Congress angrily responds to Donald Trump's request to investigate Barack Obama wiretapping cl... https://www.yahoo.com/news/us-congress-angrily-responds-donald-091400460.html?soc_src=hl-viewer&soc_trk=tw … via @YahooNews,2017-03-07 15:47:37,0,0,839261284386361344,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.4215}",0.0736213243218,0.120009655256
1,1,1,"DEADLINE: Hillary Clinton, Pepe Frog Join Donald Trump’s Surprise White House Visit With School Children http://ift.tt/2mCUtmo ",2017-03-07 14:51:12,0,0,839247085904015362,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.5106}",0.0736213243218,0.120009655256
2,2,2,House GOP Destroying America While Press Is Distracted By Donald Trump’s Meltdowns https://trofire.com/2017/03/06/house-gop-destroying-america-press-distracted-donald-trumps-meltdowns/ …pic.twitter.com/pvzfw2Su31,2017-03-07 14:47:49,1,5,839246234422476800,"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.7184}",0.0736213243218,0.120009655256
3,3,3,Donald Trump+ Illuminati= The world's destruction https://twitter.com/thebhadbhabie/status/839211409552506880 …,2017-03-07 14:28:41,0,0,839241421269917696,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5719}",0.0736213243218,0.120009655256
4,4,4,"The right call our concerns ""hysteria,"" but @KeithOlbermann is spot on. Who will stop Donald Trump from...anything? #resist #ImpeachTrumphttps://twitter.com/keitholbermann/status/839223592445489152 …",2017-03-07 14:14:46,0,0,839237917340012545,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.4215}",0.0736213243218,0.120009655256
5,5,5,Donald Trump Questions ‘Sick Guy’ Barack Obama for ‘Wire Tapping’ His Campaign http://buff.ly/2mqGpMH pic.twitter.com/yseMQ1VyDb,2017-03-07 14:12:02,0,0,839237228551409669,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.5106}",0.0736213243218,0.120009655256
6,6,6,Health Insurance “For Everybody” and the “Government Will Pay” Says “Republican” Donald Trump. AGAIN. http://www.redstate.com/absentee/2017/01/16/health-insurance-everybody-government-will-pay-says-republican-president-elect-donald-trump-again/ …,2017-03-07 14:11:44,0,0,839237154656104448,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1027}",0.0736213243218,0.120009655256
7,7,7,How does one go about impeaching an incompetent President? #AskingForAFriend #DonaldTrump,2017-03-07 14:09:37,2,0,839236619781689346,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}",0.0736213243218,0.120009655256
8,8,8,President Donald Trump - a real President of the people - how inspiring and refreshing for us all. https://twitter.com/bfraser747/status/839226082565877760 …,2017-03-07 13:37:47,1,0,839228610787573760,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",0.0736213243218,0.120009655256
9,9,9,DEADLINE: Sean Spicer: President Donald Trump Has “No Regret” About Claim Obama Wiretapped Trump Tower During Elec… http://ift.tt/2lUEvzD ,2017-03-07 13:11:26,1,1,839221978091425796,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.6124}",0.0736213243218,0.120009655256
10,10,10,RT     HOUSE GOP DESTROYING AMERICA While Press Is Distracted By Donald Trump’s... https://youtu.be/MrGgeQ0IhfY  via @YouTube,2017-03-07 12:51:53,2,2,839217057627521024,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.7739}",0.0736213243218,0.120009655256
11,11,11,"""It's disturbing"" Al Franken DESTROYS Donald Trump and Jeff Sessions LIES https://youtu.be/1jiZ4zeKvNo  via @YouTube",2017-03-07 12:50:37,2,1,839216742618529793,"{'neg': 0.504, 'neu': 0.496, 'pos': 0.0, 'compound': -0.9035}",0.0736213243218,0.120009655256
12,12,12,"Donald Trump's hotel in Azerbaijan linked with corruption, Iran's Revolutionary Guard http://read.bi/2mtIAyG  via @BI_Defense",2017-03-07 12:32:09,0,0,839212094142758912,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0736213243218,0.120009655256
13,13,13,Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 12:31:44,0,0,839211987791937536,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0736213243218,0.120009655256
14,14,14,Congress Can Remove Donald Trump From Office Without Impeaching Him - TIME this could be fun #Trumprussia https://apple.news/AnnJHVXHgSki-OVHFJiX61A …,2017-03-07 12:18:34,6,4,839208675159990276,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}",0.0736213243218,0.120009655256
15,15,15,"Everyone, please remember that tomorrow March 8th is Donald Trump Appreciation Day.",2017-03-07 11:33:29,0,0,839197328661757952,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.6808}",0.0736213243218,0.120009655256
16,16,16,TMZ Live: Donald Trump: Surprise Visit! http://viid.me/qnYbaO pic.twitter.com/ASwKQ8eVXM,2017-03-07 11:23:50,0,0,839194901694701568,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.3382}",0.0736213243218,0.120009655256
