,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,Not even Donald Trump can put the brakes on China’s wealth-creation machine https://www.bloomberg.com/news/articles/2017-03-01/china-s-richest-win-mexican-billionaires-lose-with-trump-effect … via @markets,2017-03-01 15:59:57,1,0,837090059807506435,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.102066970224,0.0686886535082
1,1,1,It's about to hit the fan....https://twitter.com/StollmeyerEU/status/837075513638178818 …,2017-03-01 15:59:52,0,0,837090039368663044,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.102066970224,0.0686886535082
2,2,2,@NBCNightlyNews JUST IN: Donald Trump was and still is a liar !!!!!,2017-03-01 15:59:52,12,0,837090038823469056,"{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.6671}",0.102066970224,0.0686886535082
3,3,3,Donald Trump’s Obsession With Applause https://nyti.ms/2lzBq8G ,2017-03-01 15:59:51,0,0,837090035719634945,"{'neg': 0.261, 'neu': 0.435, 'pos': 0.304, 'compound': 0.1027}",0.102066970224,0.0686886535082
4,4,4,Ivanka Trump Reportedly Added Major Parts To Father Donald Trump’s Pres. Speech: Ivanka… https://goo.gl/fb/qNq5O7 ,2017-03-01 15:59:51,0,0,837090033916051456,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.102066970224,0.0686886535082
5,5,5,"Donald Trump stands by Reince Priebus over obstruction, showing how deep Russia scandal runs http://www.palmerreport.com/politics/donald-trump-stands-reince-priebus-obstruction-showing-deep-russia-scandal-runs/1716/ … via @PalmerReport",2017-03-01 15:59:49,1,1,837090027926605824,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4404}",0.102066970224,0.0686886535082
6,6,6,"Jennifer Garner Wants To Work With Donald Trump, Urges More Liberals To Follow: Jennifer… https://goo.gl/fb/u2wPRj ",2017-03-01 15:59:49,0,0,837090025993089024,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.102066970224,0.0686886535082
7,7,7,"Donald Trump moving forward with plans to kill National Endowment for the Arts, PBS and NPR http://bit.ly/2m6hPRF  via @alexyoung",2017-03-01 15:59:47,0,0,837090019835805696,"{'neg': 0.207, 'neu': 0.793, 'pos': 0.0, 'compound': -0.6908}",0.102066970224,0.0686886535082
8,8,8,Donald Trump’s Inaugural Pastor Creates ‘Safe Haven’ for Immigrants - TIME https://apple.news/ANiD2tvuZTSOZzKXXilktlg …,2017-03-01 15:59:43,0,0,837090002769227777,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",0.102066970224,0.0686886535082
9,9,9,"WATCH: President Donald Trump Speech to Joint Session Of Congress 2/28/2017 https://youtu.be/NCPHh3UxWRE  via @YouTube
no media giving opinions",2017-03-01 15:59:43,0,0,837090001942892545,"{'neg': 0.107, 'neu': 0.777, 'pos': 0.117, 'compound': 0.0516}",0.102066970224,0.0686886535082
10,10,10,A tale of two speeches: The contradictions of Donald Trump’s presidency http://ln.is/77Vzj  by #nelsonbocaranda via @c0nvey,2017-03-01 15:59:42,0,0,837089996297363456,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}",0.102066970224,0.0686886535082
11,11,11,A tale of two speeches: The contradictions of Donald Trump’s presidency http://ln.is/dqclX  by #nelsonbocaranda via @c0nvey,2017-03-01 15:59:42,0,0,837089995764662273,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}",0.102066970224,0.0686886535082
12,12,12,Washington News Times reporting on Donald Trump http://ift.tt/2lAttAo ,2017-03-01 15:59:41,0,0,837089992606420996,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.102066970224,0.0686886535082
13,13,13,Donald Trump still silent a day after Russia bombs and kills U.S. backed troops in Syria http://www.palmerreport.com/opinion/donald-trump-still-silent-a-day-after-russia-bombs-and-kills-u-s-backed-troops-in-syria/1715/ … via @PalmerReport,2017-03-01 15:59:40,1,1,837089988869308416,"{'neg': 0.17, 'neu': 0.777, 'pos': 0.053, 'compound': -0.5267}",0.102066970224,0.0686886535082
14,14,14,Donald Trump and  his supporters are doing all immigrants so dirty. I just hope you all know there's a man above watching this.,2017-03-01 15:59:40,35,7,837089987850027008,"{'neg': 0.135, 'neu': 0.647, 'pos': 0.218, 'compound': 0.3231}",0.102066970224,0.0686886535082
15,15,15,"Donald Trump’s protectionism on trade would be ‘awful’ for the ecomony, BHP war http://bit.ly/2mGWHyu ",2017-03-01 15:59:39,1,0,837089983160791045,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.7845}",0.102066970224,0.0686886535082
16,16,16,"If you like getting fleeced by rapacious health insurers, you’re gonna LOVE Donald Trump’s new healthcare proposal https:/…",2017-03-01 15:59:36,0,0,837089973534851073,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.8143}",0.102066970224,0.0686886535082
17,17,17,Chris Wallace:'I Feel Like Tonight Donald Trump Became the President of the United States' - http://squawkingpoints.net/wallace-trump-speech/ …,2017-03-01 15:59:32,0,0,837089957227417600,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6486}",0.102066970224,0.0686886535082
18,18,18,Gostei de um vídeo @YouTube http://ln.is/www.youtube.com/IUfpF … Donald Trump faz Discurso Histórico ao Congresso Americano (COMPLETO -,2017-03-01 15:59:32,0,0,837089956208197632,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.102066970224,0.0686886535082
19,19,19,"WALLACE:""I Feel Like Tonight Donald Trump Became the President of the United States"" - http://squawkingpoints.net/wallace-trump-speech/ …",2017-03-01 15:59:32,0,0,837089955985960961,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.6486}",0.102066970224,0.0686886535082
