,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,Enjoying speaking to students about what Donald Trump means for Canada at an event hosted by the @Queens_IAApic.twitter.com/AxHbe81D9U,2017-03-02 15:59:59,15,7,837452456795619329,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5267}",0.0677650089834,0.0986050374589
1,1,1,The ultimate case for a special prosecutor and the eventual resignation of Donald Trump http://www.dailykos.com/story/2017/3/2/1639388/-The-ultimate-case-for-a-special-prosecutor-and-the-eventual-resignation-of-Donald-Trump …,2017-03-02 15:59:57,0,0,837452450550317057,"{'neg': 0.13, 'neu': 0.71, 'pos': 0.16, 'compound': 0.128}",0.0677650089834,0.0986050374589
2,2,2,everything is a response to the alt-right and Donald Trump,2017-03-02 15:59:57,1,0,837452448172228608,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
3,3,3,#parisiswaitingforyou #paris #DonaldTrump https://twitter.com/Anne_Hidalgo/status/835175467271475200 …,2017-03-02 15:59:55,0,0,837452441666879488,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
4,4,4,Don't expect President #DonaldTrump to do a damn thing about the #NationalDebt. @KSNewDemocrathttp://fb.me/WdqTXSUV ,2017-03-02 15:59:55,0,0,837452440593104896,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",0.0677650089834,0.0986050374589
5,5,5,I liked a @YouTube video http://youtu.be/gK3ZmAtVIPk?a  Donald Trump Dresses Up His Act: The Daily Show - Between the Scenes,2017-03-02 15:59:54,0,0,837452435266408450,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",0.0677650089834,0.0986050374589
6,6,6,"Donald #Trump was a bit tough on himself for his communication skills,
but I think he may have improved now that... http://fb.me/1kYFIwvq9 ",2017-03-02 15:59:54,0,0,837452435006201856,"{'neg': 0.053, 'neu': 0.769, 'pos': 0.177, 'compound': 0.5994}",0.0677650089834,0.0986050374589
7,7,7,Donald Trump is the most dangerous fascist in the #GOPcoup - but Paul Ryan is the most evil fascist. He's America's Chairman Mao in 1958.https://twitter.com/ofa_tx/status/837437833765924864 …,2017-03-02 15:59:52,0,0,837452427183915008,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.9552}",0.0677650089834,0.0986050374589
8,8,8,"Retweeted Impeach Donald Trump (@Impeach_D_Trump):

Flynn & now #Sessions have now lied about their discussions... http://fb.me/3sNeq2cLs ",2017-03-02 15:59:50,1,0,837452418535272448,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}",0.0677650089834,0.0986050374589
9,9,9,You were for Donald trump? Wowwwwwwww https://twitter.com/ceesplitta/status/837452194970468353 …,2017-03-02 15:59:49,0,0,837452416597520384,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
10,10,10,"Donald Trump warns enemies they are in ‘big, big trouble’ as he launches new warship http://shr.gs/itCzhBj ",2017-03-02 15:59:49,2,1,837452414269673472,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.7906}",0.0677650089834,0.0986050374589
11,11,11,"Donald Trump Jr. was paid $50,000 for meeting to discuss U.S.-Russia cooperation in Syria http://www.dailykos.com/story/2017/3/2/1639449/-Donald-Trump-Jr-was-paid-50-000-for-meeting-to-discuss-U-S-Russia-cooperation-in-Syria …",2017-03-02 15:59:46,0,0,837452403142086656,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
12,12,12,Direct quote from Donald Trump in his ART OF THE DEAL BOOK pic.twitter.com/JiPdN6qLjk,2017-03-02 15:59:46,1,0,837452402286419968,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
13,13,13,"Billionaires and corporations helped fund DonaldTrump transition https://www.publicintegrity.org/2017/02/23/20741/billionaires-and-corporations-helped-fund-donald-trumps-transition … via @Publici
#trump_LIES
#SnoutsInTheTrough#auspol",2017-03-02 15:59:45,0,0,837452397802770432,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
14,14,14,Sessions Revelations Leave Donald Trump in Another Fine Russian Mess http://ln.is/www.newyorker.com/ne/CCX5y … via @JohnCassidy,2017-03-02 15:59:41,0,0,837452382468521984,"{'neg': 0.239, 'neu': 0.645, 'pos': 0.116, 'compound': -0.2263}",0.0677650089834,0.0986050374589
15,15,15,Still worth another watch What can #Plato teach us about Donald #Trumphttp://ln.is/www.youtube.com/LFMfp …,2017-03-02 15:59:41,0,0,837452381369544704,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.2263}",0.0677650089834,0.0986050374589
16,16,16,American defence spending: Donald Trump’s military budget plan is less impressive than he claims http://www.economist.com/news/united-states/21717764-it-would-not-be-enough-finance-new-nuclear-arms-race-president-says-he?fsrc=scn/fb/te/bl/ed/ … via @TheEconomist,2017-03-02 15:59:36,0,1,837452360490311680,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5279}",0.0677650089834,0.0986050374589
17,17,17,He can he is exactly what Donald Trump likes. A liar. https://twitter.com/CNNnewsroom/status/837334437415153664 …,2017-03-02 15:59:34,0,0,837452350696603649,"{'neg': 0.219, 'neu': 0.596, 'pos': 0.185, 'compound': -0.128}",0.0677650089834,0.0986050374589
18,18,18,"Donald Trump Jr. was paid $50,000 for meeting to discuss U.S.-Russia cooperation in Syria http://www.dailykos.com/story/2017/3/2/1639449/-Donald-Trump-Jr-was-paid-50-000-for-meeting-to-discuss-U-S-Russia-cooperation-in-Syria …",2017-03-02 15:59:33,0,0,837452347169193985,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
19,19,19,Pelosi: ‘Very proud’ of the ‘dignity’ Democrats showed during Donald Trump’s speech - http://go.shr.lc/2mdmykb  Only care about themselves!,2017-03-02 15:59:31,0,0,837452340399525888,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.862}",0.0677650089834,0.0986050374589
20,20,20,Donald Trump Jr. Was Likely pd >= $50000 for Event Held by Hosts Allied With Russia-http://goo.gl/news/HOSjv  via http://news.google.com ,2017-03-02 15:59:27,0,0,837452321005133830,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
21,21,21,Estoy casi segura de que Donald Trump debe ser la persona más odiada del mundo,2017-03-02 15:59:26,0,0,837452320229244928,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
22,22,22,Donald trump.. Sorted! https://youtu.be/XTvzcMRHc9I  #trump #buildawall #DonaldTrump #trumpvideo #trumptower #ivankatrump #smallhands,2017-03-02 15:59:26,0,1,837452318127849473,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
23,23,23,Wall Street aplaude el primer discurso de Donald Trump en el Congreso http://economia.elpais.com/economia/2017/03/01/actualidad/1488381545_731236.html?id_externo_rsoc=TW_CC … vía @el_pais,2017-03-02 15:59:25,0,0,837452312423591936,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
24,24,24,"If Donald Trump listens to Paul Ryan, it will kill his political future: http://www.slate.com/articles/news_and_politics/politics/2017/03/if_donald_trump_listens_to_paul_ryan_it_will_kill_his_political_future.html?wpsrc=sh_all_dt_tw_top … via @slate",2017-03-02 15:59:21,1,1,837452296057413637,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.6908}",0.0677650089834,0.0986050374589
25,25,25,"WSJ: RT WSJPolitics: Donald Trump looks to ex-intelligence officer Fiona Hill, a Vladimir Putin critic, for Nation… http://on.wsj.com/2lEAUX8 ",2017-03-02 15:59:20,0,0,837452295407300609,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.2732}",0.0677650089834,0.0986050374589
26,26,26,"RT WSJPolitics: Donald Trump looks to ex-intelligence officer Fiona Hill, a Vladimir Putin critic, for National Security Council  …",2017-03-02 15:59:20,0,0,837452292622278656,"{'neg': 0.108, 'neu': 0.769, 'pos': 0.123, 'compound': 0.0772}",0.0677650089834,0.0986050374589
27,27,27,Colin Powell blasts 'national disgrace' Donald Trump in hacked emails: reports http://www.washingtontimes.com/news/2016/sep/13/colin-powell-blasts-national-disgrace-donald-trump/?utm_source=RSS_Feed&utm_medium=RSS&edT …,2017-03-02 15:59:17,0,0,837452280026759171,"{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}",0.0677650089834,0.0986050374589
28,28,28,"Que pensas de donald Trump?
Yo opino que los medios... — El chabon es como obama, bush y demas. La diferenci... https://curiouscat.me/lauchacabeza/post/112562127?t=1488499157 …",2017-03-02 15:59:17,0,0,837452279133388800,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
29,29,29,@derrickgarcia5 @SportsCenter why are you so fucking ugly you sad virgin,2017-03-02 15:59:15,0,0,837452270937714688,"{'neg': 0.446, 'neu': 0.554, 'pos': 0.0, 'compound': -0.8039}",0.0677650089834,0.0986050374589
30,30,30,It ate my vagina because it fleeced Donald Trump.,2017-03-02 15:59:14,0,0,837452268370870272,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
31,31,31,"RT WSJPolitics: Donald Trump looks to ex-intelligence officer Fiona Hill, a Vladimir Putin critic, for National Se… http://on.wsj.com/2lEAUX8 ",2017-03-02 15:59:13,0,0,837452263488638976,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.2732}",0.0677650089834,0.0986050374589
32,32,32,Defeat the #Wahhabi Ideology to Defeat #Daesh http://pos.li/Bd87  #ISIS #Taliban #AlQaeda #AlNusra #DonaldTrump #MikePence #USA #UK,2017-03-02 15:59:11,0,0,837452255427182592,"{'neg': 0.3, 'neu': 0.7, 'pos': 0.0, 'compound': -0.7184}",0.0677650089834,0.0986050374589
33,33,33,"@realDonaldTrump for all the losers below, Donald Trump won. He's your president :-)",2017-03-02 15:59:11,1,0,837452255175507968,"{'neg': 0.175, 'neu': 0.515, 'pos': 0.309, 'compound': 0.3818}",0.0677650089834,0.0986050374589
34,34,34,"RT WSJPolitics: Donald Trump looks to ex-intelligence officer Fiona Hill, a Vladimir Putin critic, for National Se… http://on.wsj.com/2lEAUX8 ",2017-03-02 15:59:10,0,0,837452252650565632,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.2732}",0.0677650089834,0.0986050374589
35,35,35,"Vedremo  BBC and thought you should see it:

Donald Trump and the end of American exceptionalism? - http://www.bbc.co.uk/news/world-us-canada-39133677 …",2017-03-02 15:59:07,0,0,837452238301855744,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0677650089834,0.0986050374589
