,Unnamed: 0,Unnamed: 0.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,Why Donald Trump isn’t involved with Bioceutica anymore (full review) http://mlmcompanies.org/bioceutica/ ,2017-03-06 15:53:15,0,0,838900313612513281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.1181,0.1326
1,1,1,US travel ban questions answered: what has changed and what's next?: As Donald Trump issues a… http://m.tbnn.it/NYTlbL  | #Election2016,2017-03-06 12:00:28,0,0,838841733223874560,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.5574}",0.1181,0.1326
2,2,2,"President Donald Trump signs new travel ban, exempts Iraq http://via.fox43.com/Zi7Ql  via @fox43",2017-03-06 09:01:06,0,1,838796591360323586,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}",0.1181,0.1326
3,3,3,I liked a @YouTube video http://youtu.be/cb8y39KQZRE?a  Kellyanne Conway Can’t Confirm If Donald trump Definitely Knows He Was Wiretapped,2017-03-06 05:28:23,0,0,838743061849047041,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6705}",0.1181,0.1326
4,4,4,"""President Donald Trump *creates* weekend of fury""

#FixedThatForYouhttps://twitter.com/readingeagle/status/838728403851309059 …",2017-03-06 04:31:19,2,0,838728698866069506,"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.5719}",0.1181,0.1326
5,5,5,"I liked a @YouTube video http://youtu.be/LnfeSitSbRA?a  Russia Oligarch, Donald Trump Camp Seen Intersecting | Rachel Maddow | MSNBC",2017-03-06 03:51:44,0,0,838718737838714880,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",0.1181,0.1326
6,6,6,#Harrisburg: Trump expected to sign new travel ban order - WASHINGTON (AP) — President Donald Trump is preparin... http://ow.ly/s1EJ509Zlfw ,2017-03-06 00:00:34,0,0,838660562376609793,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.5574}",0.1181,0.1326
7,7,7,I liked a @YouTube video http://youtu.be/uAwnXWOBeD8?a  Donald Trump HEATED White House fight CAUGHT ON TAPE!!!,2017-03-05 20:57:36,0,1,838614519261839369,"{'neg': 0.15, 'neu': 0.637, 'pos': 0.213, 'compound': 0.2677}",0.1181,0.1326
8,8,8,I liked a @YouTube video http://youtu.be/P66oaAbOVLU?a  WOW! CNN guest says what we're ALL thinking about Donald Trump,2017-03-05 20:02:50,0,0,838600735549960192,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.8236}",0.1181,0.1326
9,9,9,"I liked a @YouTube video http://youtu.be/UpDaeldGJwk?a  ""There is ZERO proof"" FBI agent DESTROYS Donald Trump's wiretapping story",2017-03-05 17:24:48,0,0,838560965293719552,"{'neg': 0.215, 'neu': 0.646, 'pos': 0.139, 'compound': -0.368}",0.1181,0.1326
