Text,Date,Favorites,Retweets,Tweet ID
@NASA @SpaceX UP UP AND WAYYYYYY -cough-fromdonaldtrump-cough-,2017-02-17 14:02:50,2,0,832711933581107204
@midnight #MyLoveLifeIn5Words  I swear she said yes! @fromdonaldtrump,2017-02-14 20:41:31,0,0,831725100193964032
"The Nation desperatelyWanTs to hear th Truth fromDonaldTrump on these very troubling rumblings regarding his Russia dealings, and activities",2017-01-12 20:13:24,0,0,819759227614789633
Check out @mrmlg7's Tweet: http://crwd.fr/2jbZON6  #FROMDONALDTRUMP pic.twitter.com/oS7S5Ora87,2017-01-09 21:27:06,0,0,818690608286015488
"#JOKER   Say It Ain't So,War On American Soil. #FROMDONALDTRUMP  pic.twitter.com/SNnFxcwqmF",2017-01-09 18:08:46,0,0,818640696131325952
#JessicaRabbit #SavingAmerica #FromDonaldTrump https://www.instagram.com/p/BPC9SFVFCnF/ ,2017-01-09 06:01:10,0,0,818457591407906816
"#JosephStiglitz: #WhatTheUSEconomyNeeds #FromDonaldTrump
https://www.theguardian.com/business/2016/nov/15/joseph-stiglitz-what-the-us-economy-needs-from-donald-trump?CMP=Share_AndroidApp_Tweet …",2016-11-15 20:05:48,0,0,798738817591214080
@villalobossebas jajajaja es lo mismo que estaba pensando!! Tal vez asi podamos desquitarnos!! #LegalizeThePurge #FromDonaldTrump,2016-11-08 21:25:33,0,0,796222171651543041
"@HillaryClinton #SEPERATEYOURSELFCOMPLETELY,
#FROMDONALDTRUMP!
#SETYOURSELFFREE
#EQUALITY!#UNITY!#TRUTH!
#TRUMPWILLCAUSE
#MORERIOTSINTHEUSA!",2016-09-22 11:30:08,0,0,779025002020560896
"Hillary read ""sigh"" off the Teleprompter, She's so fake she has to be told how to feel. @HillaryClinton #fromdonaldtrump",2016-06-27 14:59:47,0,0,747550017943048192
15headlines fromDonaldTrump’s 1st week as the presumptive Republican nominee http://www.hillaryclinton.com/feed/15-headlines-donald-trumps-first-week-presumptive-republican-nominee/?utm_medium=share&utm_source=tw&utm_campaign=feed_share_btn … AND THE HEADLINES AREN'T ANY BETTER NOW,2016-06-19 11:29:49,0,1,744598074295783425
#FromDonaldTrump to #Kenyans https://instagram.com/p/9Y8osHlGVI/ ,2015-10-28 10:33:41,0,0,659422800738959364
"@jonblower 
Are you much of a praying man?? Gud. Your new topic:  #Godsavetheworld fromDonaldTrump!!! Thank you for every syllable!!!!   = l",2015-08-26 18:51:24,0,0,636717617437392897
Have a messy desk. #SobrangMessy #SabiNiBoss #FromDonaldTrump https://instagram.com/p/40hzUfL54M/ ,2015-07-06 21:00:58,0,0,618268445461872640
@AlecBaldwin Solid gold toothpicks are not bullshit! #torussiawithlove #fromdonaldtrump,2011-11-05 12:34:30,0,0,132903636832501760
We've not heard a lot fromDonaldTrump lately....  is he on a deep sea diving expedition??,2011-05-10 03:07:46,0,0,67893585911091200
#FromDonaldTrump..iRequest...1. Death Certificate 2. DNA sample....3.Video Footage of Capture...,2011-05-01 20:03:20,1,0,64887668667973633
